任务ID,任务优先级,任务类型,任务来源,会员ID,会员等级,会员城市,归属门店ID,门店名称,门店城市,店型,门店类型,员工导购ID,员工姓名,岗位,角色标签,人群标签,推荐动作,推荐权益,推荐原因,预计价值,任务生成时间,任务截止时间,任务失效时间,触达状态,触达时间,触达方式,触达后下单,触达后下单金额,任务结果,执行状态,转化阶段
T00000001,P1,沉睡召回,规则生成,M0004787,普卡,郑州,S00145,郑州购物中心0145店,郑州,外卖店,外卖卫星店,E000018,普通导购0018,普通导购,普通导购,活跃,强召回权益+低频触达,拉新返券,60 天未消费,51.08,2026-05-04 09:13:29,2026-05-08 09:13:29,2026-05-11 09:13:29,已触达,1778016640000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000002,P0,流失预警,规则生成,M0072675,银卡,珠海,S00567,珠海写字楼0567店,珠海,旗舰店,旗舰店,E000578,普通导购0578,普通导购,普通导购,沉睡,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,76.95,2026-05-14 08:12:16,2026-05-16 08:12:16,2026-05-21 08:12:16,已触达,1778790118000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000003,P1,沉睡召回,模型生成,M0037877,普卡,东莞,S00798,东莞购物中心0798店,东莞,快取店,快取店,E000314,普通导购0314,普通导购,普通导购,流失,强召回权益+低频触达,拉新返券,60 天未消费,43.32,2026-04-28 07:45:45,2026-05-02 07:45:45,2026-05-05 07:45:45,已触达,1777494054000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000004,P1,新会员首单,规则生成,M0065580,银卡,广州,S01107,广州社区1107店,广州,标准店,社区店,E000365,普通导购0365,普通导购,普通导购,活跃,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,30.76,2026-02-24 09:05:57,2026-03-02 09:05:57,2026-03-03 09:05:57,未触达,,,0,0.0,已失效,已过期,未触达
T00000005,P1,首单后二单,规则生成,M0003302,普卡,天津,S00367,天津校园0367店,天津,标准店,学校店,E000210,金牌导购0210,金牌导购,金牌导购,活跃,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,36.27,2026-04-03 07:29:05,2026-04-06 07:29:05,2026-04-10 07:29:05,未触达,,,0,0.0,已失效,已过期,未触达
T00000006,P2,外卖转到店,规则生成,M0053645,普卡,南通,S00585,南通购物中心0585店,南通,标准店,商场店,E000339,金牌导购0339,金牌导购,金牌导购,高价值,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,64.21,2026-05-14 09:31:08,2026-05-19 09:31:08,2026-05-21 09:31:08,已触达,1778782365000000000,短信,0,0.0,已完成-无转化,已完结,已触达未转化
T00000007,P0,流失预警,规则生成,M0003379,金卡,温州,S00167,温州街边店0167店,温州,标准店,社区店,E000228,金牌导购0228,金牌导购,金牌导购,流失,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,57.96,2026-05-07 08:23:19,2026-05-12 08:23:19,2026-05-14 08:23:19,已触达,1778287698000000000,社群,1,54.34,已完成-有转化,已完结,有转化
T00000008,P1,新会员首单,规则生成,M0003985,金卡,武汉,S00967,武汉CBD0967店,武汉,标准店,写字楼店,E000432,金牌导购0432,金牌导购,金牌导购,沉睡,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,28.01,2026-02-23 09:30:14,2026-02-28 09:30:14,2026-03-02 09:30:14,已触达,1771955556000000000,企微1V1,1,21.26,已完成-有转化,已完结,有转化
T00000009,P0,流失预警,模型生成,M0034335,普卡,南通,S00611,南通购物中心0611店,南通,标准店,商场店,E000544,金牌导购0544,金牌导购,金牌导购,沉睡,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,57.64,2026-05-12 09:22:07,2026-05-18 09:22:07,2026-05-19 09:22:07,未触达,,,0,0.0,已失效,已过期,未触达
T00000010,P2,领券未核销,模型生成,M0009683,普卡,上海,S00003,上海CBD0003店,上海,标准店,写字楼店,E000219,金牌导购0219,金牌导购,金牌导购,新客,到期提醒+门店引导,原券提醒,领券 5 天未核销,32.72,2026-04-02 08:33:00,2026-04-09 08:33:00,2026-04-09 08:33:00,已触达,1775347605000000000,企微1V1,1,26.29,已完成-有转化,已完结,有转化
