门店ID,门店名称,省份,城市,城市层级,门店类型,商圈,加盟商ID,加盟商名称,加盟商类型,合作状态,信用等级,签约日期,月份,月营收,堂食营收,外卖营收,订单数,毛利,店面贡献利润,单店净利润,毛利率,店面贡献利润率,堂食占比,外卖占比,人工占比,房租占比,客单价,同侪门店数,城市同店型_营收_P25,城市同店型_营收_中位数,城市同店型_营收_P75,城市同店型_利润率_P25,城市同店型_利润率_中位数,城市同店型_利润率_P75,城市同店型_堂食占比_中位数,营收_对中位数比,利润率_对中位数差,堂食占比_对中位数差,总投资额,累计店面贡献利润,累计回本率,预计完整回本月数,已开业月数,招商承诺回本月数,回本偏离度,回本风险等级,标杆门店标志,本店位置标签,可改进项,总部本月支持
S00923,郑州交通枢纽0923店,河南,郑州,新一线,交通店,交通枢纽,F0005,加盟商0005,个体投资人,正常合作,C,2024-04-08,2026-05,22568.630000000005,16116.099999999995,6452.53,270,12633.050000000005,125.73000000000502,-944.4299999999967,0.559761491947008,0.005571007190069,0.714092968868735,0.285907031131265,0.191977536961703,0.33188766885717,83.58751851851854,6,21977.510000000002,22568.630000000005,23446.099999999995,-0.030232630365844,-0.014072702922874,0.005571007190069,0.69929699553773,1.0,0.019643710112943,0.014795973331005,954256,-1150.870000000013,-0.001206039050318,999.0,25,30.0,969.0,严重,FALSE,中位 ±10%,"房租压力大, 建议提升日均营收",提供品牌活动 + 私域内容 + 督导巡店
S00965,佛山交通枢纽0965店,广东,佛山,新一线,交通店,交通枢纽,F0026,加盟商0026,个体投资人,正常合作,B,2023-11-28,2026-05,18031.179999999997,12609.149999999996,5422.030000000001,272,9606.649999999996,-545.1300000000047,-1324.5700000000033,0.532779884622082,-0.030232630365844,0.69929699553773,0.30070300446227,0.194330598441145,0.3468619358245,66.29110294117646,6,21977.510000000002,22568.630000000005,23446.099999999995,-0.030232630365844,-0.014072702922874,0.005571007190069,0.69929699553773,0.798948806374157,-0.01615992744297,0.0,1217006,2043.7999999999965,0.001679367234015,2381.8494960367984,29,30.0,2351.8494960367984,严重,FALSE,中下 P25-P50,"亏损中, 建议联系督导专项支持",提供品牌活动 + 私域内容 + 督导巡店
S00908,北京写字楼0908店,北京,北京,一线,写字楼店,写字楼,F0002,加盟商0002,区域代理,正常合作,B,2023-08-21,2026-03,55569.820000000014,38295.31,17274.509999999995,606,31199.09000000001,9495.26000000001,7194.950000000012,0.561439464803017,0.17087080721154,0.689138636763624,0.310861363236375,0.194993073578428,0.156218609309874,91.69937293729376,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,0.965949181556621,0.051386517991432,0.0,1156946,27030.890000000032,0.023364003160044,171.20353787833085,32,22.0,149.20353787833085,严重,FALSE,中位 ±10%,"同侪标杆, 持续优秀!",提供品牌活动 + 私域内容 + 督导巡店
S00961,兰州交通枢纽0961店,甘肃,兰州,三线,交通店,交通枢纽,F0024,加盟商0024,区域代理,正常合作,B,2022-01-30,2026-03,21198.449999999997,13409.689999999999,7788.759999999998,228,10727.149999999998,-253.29000000000178,-1140.8100000000013,0.506034639325045,-0.011948515103699,0.632578797034689,0.367421202965311,0.195926117239704,0.29314360248037,92.97565789473683,1,21198.449999999997,21198.449999999997,21198.449999999997,-0.011948515103699,-0.011948515103699,-0.011948515103699,0.632578797034689,1.0,0.0,0.0,1040865,989.9399999999928,9.51074346817E-4,4205.770046669526,51,30.0,4175.770046669526,严重,FALSE,中位 ±10%,"亏损中, 建议联系督导专项支持",提供品牌活动 + 私域内容 + 督导巡店
S00846,上海社区0846店,上海,上海,一线,社区店,社区,F0115,加盟商0115,个体投资人,续约预警,C,2022-11-07,2026-04,35916.1,27996.22,7919.880000000001,390,19600.97,6754.200000000002,5106.25,0.545743273907802,0.188054939149852,0.779489421178803,0.220510578821197,0.163980498996272,0.154729772998739,92.0925641025641,12,29586.82999999999,34230.62999999999,36342.16,0.186252550756477,0.204724196542853,0.248745299629043,0.720067546893195,1.049238649712261,-0.016669257393001,0.059421874285608,1154085,21195.230000000007,0.01836539769601,217.80089199315123,42,18.0,199.80089199315123,严重,FALSE,中位 ±10%,"运营正常, 继续保持",加强督导 + 专项营销补贴
S00801,深圳写字楼0801店,广东,深圳,一线,写字楼店,写字楼,F0095,加盟商0095,区域代理,正常合作,A,2022-12-12,2026-03,52427.059999999976,38741.56999999997,13685.489999999998,649,29568.999999999975,6264.209999999974,4147.70999999997,0.56400263528033,0.119484289220108,0.738961330274862,0.261038669725138,0.228308816096115,0.174455710467076,80.78129429892138,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,0.911319772106871,0.0,0.049822693511237,1170307,23443.99,0.020032341941046,199.67710274573568,41,22.0,177.67710274573568,严重,FALSE,中位 ±10%,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00880,广州CBD0880店,广东,广州,一线,写字楼店,CBD,F0132,加盟商0132,区域代理,续约预警,B,2021-12-02,2026-03,60324.54,36345.200000000004,23979.34,689,29537.61,3929.170000000002,652.6500000000087,0.489645010140152,0.065133857630742,0.602494440902492,0.397505559097508,0.215493561989863,0.177978481062599,87.55375907111757,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,1.048598682536306,-0.054350431589366,-0.086644195861132,1001308,14898.530000000012,0.014879068178822,268.8340393313969,53,22.0,246.83403933139692,严重,FALSE,中位 ±10%,"运营正常, 继续保持",加强督导 + 专项营销补贴
S00832,南京交通枢纽0832店,江苏,南京,新一线,交通店,交通枢纽,F0109,加盟商0109,区域代理,纠纷处理,C,2023-06-07,2026-05,27157.100000000006,16817.239999999998,10339.859999999999,278,13578.570000000005,-1654.0399999999954,-2799.8399999999965,0.50000073645566,-0.060906355980572,0.619257579049309,0.38074242095069,0.163557596356017,0.3598668488167,97.68741007194247,6,21977.510000000002,22568.630000000005,23446.099999999995,-0.030232630365844,-0.014072702922874,0.005571007190069,0.69929699553773,1.203311853665907,-0.046833653057698,-0.08003941648842,1377526,-227.8200000000047,-1.65383448298E-4,999.0,35,30.0,969.0,严重,FALSE,中上 P50-P75,"亏损中, 建议联系督导专项支持",专项处理
S01068,武汉交通枢纽1068店,湖北,武汉,新一线,交通店,交通枢纽,F0076,加盟商0076,投资公司,正常合作,B,2021-03-23,2026-05,21977.510000000002,18728.34,3249.17,255,12442.650000000001,152.96000000000186,-887.4199999999946,0.566153763551922,0.006959842129522,0.852159321051384,0.147840678948616,0.179645464841103,0.343140328453951,86.18631372549021,6,21977.510000000002,22568.630000000005,23446.099999999995,-0.030232630365844,-0.014072702922874,0.005571007190069,0.69929699553773,0.973807891750629,0.021032545052397,0.152862325513654,1154724,-281.17999999997664,-2.43504075433E-4,999.0,61,30.0,969.0,严重,FALSE,中位 ±10%,"房租压力大, 建议提升日均营收",提供品牌活动 + 私域内容 + 督导巡店
S01056,广州社区1056店,广东,广州,一线,社区店,社区,F0065,加盟商0065,个体投资人,正常合作,B,2022-11-05,2026-04,29538.57999999999,23217.71,6320.870000000001,374,16922.959999999992,7864.7399999999925,6353.949999999993,0.572910410723874,0.266253150963926,0.786013071718411,0.21398692828159,0.156243123399974,0.114999434637684,78.98016042780746,12,29586.82999999999,34230.62999999999,36342.16,0.186252550756477,0.204724196542853,0.248745299629043,0.720067546893195,0.862928318876982,0.061528954421072,0.065945524825216,1291618,23481.359999999993,0.018179802387393,220.02439381705324,42,18.0,202.02439381705324,严重,FALSE,中下 P25-P50,"同侪标杆, 持续优秀!",提供品牌活动 + 私域内容 + 督导巡店
