门店ID,门店名称,省份,城市,城市层级,门店类型,商圈,直营加盟类型,月份,月营收,毛利,店面贡献利润,单店净利润,毛利率,店面贡献利润率,单店净利率,堂食占比,外卖占比,人工占比,房租占比,客单价,房租占比上限,人工占比上限,堂食占比下限,持续亏损预警月数,毛利率塌方阈值pp,适用范围,房租超标,人工超标,堂食衰减,本月亏损,利润健康等级,预警条数,建议动作,历史亏损月数,近3月有亏损,持续亏损标签
S00933,天津购物中心0933店,天津,天津,新一线,商场店,购物中心,直营,2026-04,40361.590000000004,23015.570000000003,4660.220000000003,2092.4900000000052,0.570234472923391,0.11546175460382,0.051843596845417,0.734181185627226,0.265818814372774,0.183191246925604,0.241940666856781,87.55225596529284,0.28,0.22,0.6,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,关注,0,正常运营,0,0,非持续亏损
S00974,长春购物中心0974店,吉林,长春,二线,快取店,购物中心,直营,2026-04,21706.920000000006,11142.490000000005,5822.150000000005,4379.390000000007,0.513315108730304,0.268216310743302,0.201750870229402,0.661836870454214,0.338163129545785,0.11634031912404,0.106598725199153,80.99597014925375,0.1,0.13,0.3,3,0.03,全部,TRUE,FALSE,FALSE,FALSE,标杆,1,考虑闭店或营收提升,0,0,非持续亏损
S00974,长春购物中心0974店,吉林,长春,二线,快取店,购物中心,直营,2026-02,7753.730000000001,4465.430000000002,2946.8400000000024,2399.540000000001,0.57590733750079,0.380054502800588,0.309469120023524,0.66444279076006,0.33555720923994,0.099684925835695,0.072816566994208,86.15255555555557,0.1,0.13,0.3,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,标杆,0,"标杆门店, 复制打法",0,0,非持续亏损
S00933,天津购物中心0933店,天津,天津,新一线,商场店,购物中心,直营,2026-03,39598.33,20255.18,1560.7299999999996,-1283.6499999999942,0.511516015953198,0.039414035894948,-0.032416771111307,0.727218041770953,0.272781958229046,0.185470447869898,0.264445243019087,90.20120728929385,0.28,0.22,0.6,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,微利,0,正常运营,0,0,非持续亏损
S00933,天津购物中心0933店,天津,天津,新一线,商场店,购物中心,直营,2026-02,11729.739999999998,6808.199999999998,1324.579999999998,513.1699999999983,0.580422072441503,0.112924924167117,0.043749477823038,0.790890505671908,0.209109494328093,0.1802444043943,0.247747179391871,74.71171974522292,0.28,0.22,0.6,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,关注,0,正常运营,0,0,非持续亏损
S00933,天津购物中心0933店,天津,天津,新一线,商场店,购物中心,直营,2026-05,28994.790000000005,15147.560000000005,150.4100000000053,-1868.8499999999913,0.522423511258402,0.005187483682413,-0.064454683065475,0.71401758729758,0.28598241270242,0.193951740985191,0.279704733160682,102.81840425531917,0.28,0.22,0.6,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,微利,0,正常运营,0,0,非持续亏损
S00974,长春购物中心0974店,吉林,长春,二线,快取店,购物中心,直营,2026-03,24298.119999999995,11323.759999999995,6668.529999999994,5065.939999999995,0.466034409246477,0.274446335765894,0.208491027289354,0.4612311569784,0.5387688430216,0.101423484615271,0.071313336175803,88.35679999999998,0.1,0.13,0.3,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,标杆,0,"标杆门店, 复制打法",0,0,非持续亏损
S00974,长春购物中心0974店,吉林,长春,二线,快取店,购物中心,直营,2026-05,15586.05,8258.66,5453.62,4364.83,0.529875112680891,0.349903920493005,0.280047221714289,0.754755053397108,0.245244946602892,0.084254188841945,0.077342238732713,88.55710227272726,0.1,0.13,0.3,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,标杆,0,"标杆门店, 复制打法",0,0,非持续亏损
S00804,中山CBD0804店,广东,中山,二线,快取店,CBD,直营,2026-05,19412.099999999995,9832.689999999995,6401.969999999996,5035.649999999996,0.506523766104646,0.329792758125087,0.259407792047228,0.443687184797111,0.556312815202889,0.094523003693573,0.065799681641863,92.88086124401912,0.1,0.13,0.3,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,标杆,0,"标杆门店, 复制打法",0,0,非持续亏损
S00823,绵阳社区0823店,四川,绵阳,三线,社区店,社区,直营,2026-05,11243.030000000004,5710.460000000005,2320.0100000000048,1522.3800000000065,0.507911123602801,0.206350956992911,0.135406558552277,0.658737902504929,0.34126209749507,0.15812018646219,0.110051294001706,106.06632075471703,0.12,0.18,0.5,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,标杆,0,"标杆门店, 复制打法",0,0,非持续亏损
S00818,贵阳购物中心0818店,贵州,贵阳,二线,外卖卫星店,购物中心,加盟,2026-03,20855.75,7935.780000000001,4164.820000000001,3172.0300000000025,0.380508013377606,0.199696486580439,0.152093787085097,0.16787504645002,0.83212495354998,0.108049338911331,0.042558527024921,91.07314410480349,0.08,0.13,0.0,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,健康,0,正常运营,0,0,非持续亏损
S00847,宁波社区0847店,浙江,宁波,新一线,快取店,社区,直营,2026-02,5696.18,2673.75,1456.49,1081.0700000000006,0.469393523378826,0.255695922530538,0.189788595163777,0.552106850555987,0.447893149444013,0.11592154742301,0.0808015196149,64.72931818181819,0.1,0.13,0.3,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,标杆,0,"标杆门店, 复制打法",0,0,非持续亏损
S00823,绵阳社区0823店,四川,绵阳,三线,社区店,社区,直营,2026-04,11206.3,6266.62,3375.5099999999993,2507.9699999999993,0.559205089994021,0.301215387772949,0.223800005354131,0.689390789109697,0.310609210890303,0.132134602857321,0.10344270633483,69.60434782608695,0.12,0.18,0.5,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,标杆,0,"标杆门店, 复制打法",0,0,非持续亏损
S00847,宁波社区0847店,浙江,宁波,新一线,快取店,社区,直营,2026-03,23165.35,11533.439999999999,6860.9299999999985,5139.659999999996,0.497874627406881,0.296172084600492,0.221868437127002,0.55565704813439,0.44434295186561,0.099230100127993,0.078170198162342,87.41641509433961,0.1,0.13,0.3,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,标杆,0,"标杆门店, 复制打法",0,0,非持续亏损
S00804,中山CBD0804店,广东,中山,二线,快取店,CBD,直营,2026-03,24809.829999999994,12998.569999999994,8012.599999999993,6208.319999999996,0.52392821716231,0.322960697433235,0.250236297467576,0.514350964919953,0.485649035080047,0.099543205253724,0.077647448612103,76.33793846153844,0.1,0.13,0.3,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,标杆,0,"标杆门店, 复制打法",0,0,非持续亏损
S00818,贵阳购物中心0818店,贵州,贵阳,二线,外卖卫星店,购物中心,加盟,2026-04,16438.65,6180.5700000000015,2982.250000000002,2132.760000000002,0.375977954394065,0.181416965505075,0.129740580887117,0.153131187780018,0.846868812219982,0.112539046697874,0.060314563543843,75.06232876712329,0.08,0.13,0.0,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,健康,0,正常运营,0,0,非持续亏损
S00847,宁波社区0847店,浙江,宁波,新一线,快取店,社区,直营,2026-04,19178.489999999998,10200.709999999997,6306.279999999998,4919.159999999998,0.531882854176736,0.32882046501054,0.256493602989599,0.56727093738871,0.43272906261129,0.092553689054769,0.085866509824288,79.91037499999999,0.1,0.13,0.3,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,标杆,0,"标杆门店, 复制打法",0,0,非持续亏损
S00823,绵阳社区0823店,四川,绵阳,三线,社区店,社区,直营,2026-02,3761.77,1976.51,808.4699999999999,532.5,0.525420214420339,0.214917445776855,0.141555703830909,0.677524144219344,0.322475855780656,0.152656860998945,0.121846896540724,65.9959649122807,0.12,0.18,0.5,3,0.03,全部,TRUE,FALSE,FALSE,FALSE,标杆,1,考虑闭店或营收提升,0,0,非持续亏损
S00818,贵阳购物中心0818店,贵州,贵阳,二线,外卖卫星店,购物中心,加盟,2026-05,12686.199999999999,5611.6799999999985,2692.4699999999984,2220.0499999999975,0.442345225520644,0.212236130598603,0.174997241096624,0.277100313726727,0.722899686273273,0.117355867005092,0.088228941684665,91.26762589928057,0.08,0.13,0.0,3,0.03,全部,TRUE,FALSE,FALSE,FALSE,标杆,1,考虑闭店或营收提升,0,0,非持续亏损
S00847,宁波社区0847店,浙江,宁波,新一线,快取店,社区,直营,2026-05,14109.879999999997,7572.919999999997,4763.749999999997,3856.0599999999977,0.536710446864183,0.337618037857161,0.273287937246808,0.670211936600453,0.329788063399547,0.104010097888855,0.077620787703368,80.6278857142857,0.1,0.13,0.3,3,0.03,全部,FALSE,FALSE,FALSE,FALSE,标杆,0,"标杆门店, 复制打法",0,0,非持续亏损
