活动ID,活动名称,活动类型,活动渠道,开始日期,结束日期,预算,券发放数,券核销数,已记录权益成本,核销订单数,核销订单GMV,触达人数,查看人数,活动参与人数,触达后关联下单人数,触达后关联订单数,触达后关联GMV,参与后关联下单人数,参与后关联订单数,参与后关联GMV,券核销率,打开率,触达后关联下单率,参与后关联下单率,核销GMV成本比,增量GMV,增量ROI,增量测算状态,归因窗口天数,触达归因规则,活动参与归因规则,数据快照日期
CMP0021,私域专享-0324,私域专享,App,2026-03-24,2026-03-30,10000,23725,5818,131639.28,4538,154292,6318,3577,1264,474,474,17064,139,139,5282,0.245227,0.56616,0.075024,0.109968,1.172082,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0023,拉新活动-0313,拉新活动,App,2026-03-13,2026-03-19,30000,23856,5907,133767.54,4755,173082,6246,3529,1468,543,544,21052.8,188,189,7730.1,0.247611,0.565002,0.086936,0.128065,1.293901,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0029,新品上市-0420,新品上市,App,2026-04-20,2026-05-03,5000,23578,5836,130784.64,4844,187947.2,6275,3637,1694,621,623,25792.2,247,247,10818.6,0.247519,0.579602,0.098964,0.145809,1.437074,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0044,会员日-0423,会员日,全渠道,2026-04-23,2026-05-04,5000,23445,5852,129666.97,5003,206123.6,6073,3441,1852,674,674,29723.4,304,305,14243.5,0.249605,0.566606,0.110983,0.164147,1.589638,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0022,节日活动-0219,节日活动,App,2026-02-19,2026-03-04,10000,23763,5853,137559.2,5151,224583.6,6311,3669,2146,776,777,36363.6,391,391,19393.6,0.246307,0.581366,0.12296,0.182199,1.632632,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0025,拉新活动-0418,拉新活动,企微,2026-04-18,2026-04-28,80000,24038,5990,134860.88,5421,249366,6181,3533,2318,834,836,41382,255,256,13440,0.249189,0.57159,0.13493,0.110009,1.849061,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0027,会员日-0305,会员日,外卖平台,2026-03-05,2026-03-13,30000,23629,5837,128385.22,4553,220365.2,6243,3588,2560,468,468,24429.6,328,328,18171.2,0.247027,0.574724,0.074964,0.128125,1.716437,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0006,复购唤醒-0427,复购唤醒,门店,2026-04-27,2026-05-08,10000,23599,5778,127540.46,4651,236270.8,6112,3564,1222,532,533,29261.7,178,179,6802,0.244841,0.583115,0.087042,0.145663,1.852516,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0014,拉新活动-0403,拉新活动,企微,2026-04-03,2026-04-16,30000,23484,5895,126898.28,4893,260307.6,6108,3528,1435,605,607,21852,235,235,9611.5,0.251022,0.577603,0.09905,0.163763,2.051309,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0020,拉新活动-0404,拉新活动,外卖平台,2026-04-04,2026-04-15,300000,23922,5968,136344.53,5103,173502,6168,3516,1665,685,685,26509.5,303,304,13315.2,0.249477,0.570039,0.111057,0.181982,1.272526,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0028,节日活动-0226,节日活动,门店,2026-02-26,2026-03-04,10000,23702,5900,131800.03,5192,188988.8,6175,3573,1883,760,761,31505.4,207,207,9666.9,0.248924,0.578623,0.123077,0.109931,1.433906,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0033,节日活动-0320,节日活动,全渠道,2026-03-20,2026-03-24,80000,23645,5824,126316,5271,204514.8,6275,3540,2134,847,849,37440.9,273,274,13590.4,0.24631,0.564143,0.13498,0.127929,1.619073,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
