门店ID,门店名称,省份,城市,城市层级,店型,门店类型,商圈,是否90天内新店,新店标签,业务日期,订单数,销售额,平均客单价,会员订单数,到店订单数,外卖订单数,会员订单占比,到店占比,折扣率,当日评分,未回复负评数,今日异常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-02-19,12,989.0999999999999,82.425,6,5,7,0.5,0.416666666666667,0.023593287265548,4.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-02-20,17,1608.19,94.59941176470589,6,12,5,0.352941176470588,0.705882352941177,0.017599266951741,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-02-21,19,1161.16,61.11368421052632,8,7,12,0.421052631578947,0.368421052631579,0.049009009009009,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-02-22,15,1515.94,101.06266666666667,10,5,10,0.666666666666667,0.333333333333333,0.011773142112125,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-02-23,14,1007.45,71.96071428571429,5,8,6,0.357142857142857,0.571428571428571,0.074034926470588,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-02-24,14,848.87,60.63357142857143,6,9,5,0.428571428571429,0.642857142857143,0.068199780461032,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-02-25,13,4702.92,361.76307692307694,5,8,5,0.384615384615385,0.615384615384615,0.015095287958115,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-02-26,11,743.22,67.56545454545454,5,6,5,0.454545454545454,0.545454545454546,0.010359520639148,1.5,0,评分滑坡
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-02-27,13,1101.3700000000001,84.72076923076924,10,10,3,0.769230769230769,0.769230769230769,0.015755138516533,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-02-28,20,1457.9300000000003,72.89650000000002,9,16,4,0.45,0.8,0.045232481990832,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-01,14,851.73,60.837857142857146,10,6,8,0.714285714285714,0.428571428571429,0.125533880903491,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-02,15,965.3,64.35333333333332,8,7,8,0.533333333333333,0.466666666666667,0.0347,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-03,14,1041.1,74.36428571428571,11,10,4,0.785714285714286,0.714285714285714,0.033333333333333,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-04,16,1401.87,87.616875,10,11,5,0.625,0.6875,0.067285429141717,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-05,26,2811.6,108.13846153846154,13,11,15,0.5,0.423076923076923,0.048849797023004,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-06,15,843.35,56.223333333333336,6,7,8,0.4,0.466666666666667,0.023900462962963,2.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-07,18,1287.2899999999997,71.5161111111111,9,13,5,0.5,0.722222222222222,0.058998538011696,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-08,18,2406.1800000000003,133.67666666666668,11,13,5,0.611111111111111,0.722222222222222,0.079150401836969,1.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-09,15,2239.43,149.29533333333333,11,8,7,0.733333333333333,0.533333333333333,0.043387441264417,4.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-10,18,3772.78,209.5988888888889,10,7,11,0.555555555555556,0.388888888888889,0.019547817047817,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-11,17,1267.63,74.5664705882353,11,11,6,0.647058823529412,0.647058823529412,0.015815217391304,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-12,17,1184.06,69.65058823529411,5,9,8,0.294117647058823,0.529411764705882,0.027865353037767,4.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-13,17,2406.15,141.53823529411764,8,9,8,0.470588235294118,0.529411764705882,0.025060777957861,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-14,17,1064.89,62.640588235294125,11,7,10,0.647058823529412,0.411764705882353,0.062596830985915,5.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-15,18,3573.0299999999997,198.50166666666667,13,9,9,0.722222222222222,0.5,0.045665064102564,2.0,0,正常
S00002,广州购物中心0002店,广东,广州,一线,快取店,快取店,购物中心,FALSE,非新店,2026-03-16,18,994.8499999999999,55.26944444444444,12,7,11,0.666666666666667,0.388888888888889,0.07196828358209,5.0,0,正常
