加盟商ID,加盟商名称,加盟商类型,联系人,手机号Hash,签约省份,入网日期,合作状态,信用等级,保证金金额,门店数量
F0001,加盟商0001,个体投资人,联系人0001,H2904500246,广东,2021-04-08,续约预警,C,100000,0
F0002,加盟商0002,区域代理,联系人0002,H4040519060,四川,2025-03-19,正常合作,B,80000,0
F0003,加盟商0003,个体投资人,联系人0003,H3330421690,四川,2021-08-09,正常合作,B,80000,0
F0004,加盟商0004,个体投资人,联系人0004,H8749463949,四川,2021-10-21,正常合作,A,50000,0
F0005,加盟商0005,个体投资人,联系人0005,H9351347004,浙江,2021-06-09,正常合作,C,50000,0
F0006,加盟商0006,个体投资人,联系人0006,H7440837872,北京,2024-12-18,正常合作,B,50000,0
F0007,加盟商0007,餐饮集团子公司,联系人0007,H4982733538,北京,2022-08-10,正常合作,A,200000,0
F0008,加盟商0008,区域代理,联系人0008,H2718309866,广东,2022-04-08,关注名单,B,50000,0
F0009,加盟商0009,个体投资人,联系人0009,H7108580173,陕西,2023-07-20,正常合作,C,80000,0
F0010,加盟商0010,投资公司,联系人0010,H9062416834,广东,2025-05-21,正常合作,B,200000,0
F0011,加盟商0011,餐饮集团子公司,联系人0011,H2000275553,上海,2021-08-24,正常合作,B,50000,0
F0012,加盟商0012,个体投资人,联系人0012,H5756065983,江苏,2024-01-19,正常合作,A,150000,0
F0013,加盟商0013,个体投资人,联系人0013,H5823774436,重庆,2022-08-29,正常合作,C,100000,0
F0014,加盟商0014,个体投资人,联系人0014,H4000833715,重庆,2024-03-21,正常合作,C,150000,0
F0015,加盟商0015,个体投资人,联系人0015,H8155629480,浙江,2024-02-11,续约预警,B,50000,0
F0016,加盟商0016,个体投资人,联系人0016,H5367443646,四川,2023-04-20,正常合作,C,150000,0
F0017,加盟商0017,个体投资人,联系人0017,H3813336106,江苏,2025-06-19,正常合作,B,50000,0
F0018,加盟商0018,个体投资人,联系人0018,H1304794806,陕西,2024-01-28,关注名单,A,80000,0
F0019,加盟商0019,区域代理,联系人0019,H9972227831,陕西,2024-06-16,纠纷处理,A,100000,0
F0020,加盟商0020,餐饮集团子公司,联系人0020,H6723043460,湖北,2025-01-01,纠纷处理,A,50000,0
F0021,加盟商0021,餐饮集团子公司,联系人0021,H3984921979,山东,2023-07-20,正常合作,B,80000,0
F0022,加盟商0022,个体投资人,联系人0022,H4447067567,山东,2021-03-09,正常合作,B,150000,0
F0023,加盟商0023,投资公司,联系人0023,H4194543715,湖北,2022-04-03,正常合作,D,80000,0
F0024,加盟商0024,区域代理,联系人0024,H7951968795,北京,2022-02-10,正常合作,B,200000,0
F0025,加盟商0025,投资公司,联系人0025,H5559888314,山东,2023-09-04,正常合作,B,50000,0
F0026,加盟商0026,个体投资人,联系人0026,H1507414271,重庆,2023-11-30,正常合作,B,100000,0
F0027,加盟商0027,个体投资人,联系人0027,H1854847873,北京,2024-10-03,续约预警,C,50000,0
F0028,加盟商0028,个体投资人,联系人0028,H4528957694,陕西,2024-04-04,正常合作,C,150000,0
F0029,加盟商0029,个体投资人,联系人0029,H2440951694,江苏,2023-11-21,正常合作,C,200000,0
F0030,加盟商0030,区域代理,联系人0030,H9822168308,重庆,2025-03-06,正常合作,A,50000,0
F0031,加盟商0031,个体投资人,联系人0031,H4606683207,湖北,2024-05-25,正常合作,C,50000,0
F0032,加盟商0032,区域代理,联系人0032,H9977045230,广东,2022-03-30,续约预警,C,100000,0
F0033,加盟商0033,个体投资人,联系人0033,H1519812504,陕西,2024-05-20,正常合作,B,50000,0
F0034,加盟商0034,餐饮集团子公司,联系人0034,H9981032743,重庆,2025-05-19,正常合作,B,100000,0
F0035,加盟商0035,区域代理,联系人0035,H9988564883,上海,2023-03-24,正常合作,D,200000,0
F0036,加盟商0036,个体投资人,联系人0036,H9869181254,北京,2023-03-06,续约预警,C,80000,0
F0037,加盟商0037,个体投资人,联系人0037,H2333784421,江苏,2024-06-16,正常合作,B,80000,0
F0038,加盟商0038,个体投资人,联系人0038,H3979138055,重庆,2023-06-08,正常合作,C,200000,0
F0039,加盟商0039,个体投资人,联系人0039,H9819150841,上海,2024-09-20,正常合作,B,100000,0
F0040,加盟商0040,区域代理,联系人0040,H8797401058,重庆,2023-10-20,正常合作,C,80000,0
F0041,加盟商0041,餐饮集团子公司,联系人0041,H1297127831,山东,2022-09-28,正常合作,B,80000,0
F0042,加盟商0042,投资公司,联系人0042,H2599724223,浙江,2022-05-24,正常合作,C,80000,0
F0043,加盟商0043,个体投资人,联系人0043,H7296746699,山东,2025-05-11,续约预警,B,200000,0
F0044,加盟商0044,区域代理,联系人0044,H8270468202,浙江,2022-10-16,正常合作,D,100000,0
F0045,加盟商0045,个体投资人,联系人0045,H8146678338,四川,2024-10-29,正常合作,A,150000,0
F0046,加盟商0046,个体投资人,联系人0046,H3421511979,广东,2021-10-25,正常合作,B,50000,0
F0047,加盟商0047,区域代理,联系人0047,H8769960734,浙江,2025-04-27,纠纷处理,B,80000,0
F0048,加盟商0048,个体投资人,联系人0048,H9578642854,浙江,2024-01-19,正常合作,B,80000,0
F0049,加盟商0049,个体投资人,联系人0049,H9483353473,重庆,2022-04-22,正常合作,B,80000,0
F0050,加盟商0050,个体投资人,联系人0050,H5128525133,山东,2024-12-01,正常合作,A,200000,0
F0051,加盟商0051,个体投资人,联系人0051,H1151693921,上海,2021-12-22,关注名单,C,100000,0
F0052,加盟商0052,区域代理,联系人0052,H2129285913,浙江,2022-05-11,正常合作,B,200000,0
F0053,加盟商0053,个体投资人,联系人0053,H6419112778,上海,2023-11-22,正常合作,C,200000,0
F0054,加盟商0054,个体投资人,联系人0054,H8835513708,四川,2021-07-04,正常合作,C,150000,0
F0055,加盟商0055,个体投资人,联系人0055,H7307214034,山东,2025-06-16,正常合作,B,150000,0
F0056,加盟商0056,个体投资人,联系人0056,H8204415537,陕西,2025-06-18,正常合作,B,150000,0
F0057,加盟商0057,个体投资人,联系人0057,H4180079913,四川,2023-06-20,关注名单,B,50000,0
F0058,加盟商0058,个体投资人,联系人0058,H6709177590,上海,2023-07-20,正常合作,B,100000,0
