商品ID,商品版本ID,商品名称,商品编码,一级类目,二级类目,售价,成本,上架日期,下架日期,是否季节限定,是否在售
P0001,P0001_V1,美式咖啡,PC00001,咖啡,美式,18,4,2025-09-28,,FALSE,TRUE
P0002,P0002_V1,冰美式,PC00002,咖啡,美式,18,4,2025-09-02,,FALSE,TRUE
P0003,P0003_V1,澳白,PC00003,咖啡,美式,22,6,2024-10-12,,FALSE,TRUE
P0004,P0004_V1,经典拿铁,PC00004,咖啡,拿铁,26,7,2024-11-10,,FALSE,TRUE
P0005,P0005_V1,冰拿铁,PC00005,咖啡,拿铁,26,7,2024-12-04,,FALSE,TRUE
P0006,P0006_V1,榛果拿铁,PC00006,咖啡,拿铁,28,8,2024-12-24,,FALSE,TRUE
P0007,P0007_V1,焦糖玛奇朵,PC00007,咖啡,拿铁,30,9,2024-10-19,,FALSE,TRUE
P0008,P0008_V1,海盐焦糖拿铁,PC00008,咖啡,拿铁,30,9,2024-12-18,,FALSE,TRUE
P0009,P0009_V1,椰云拿铁,PC00009,咖啡,拿铁,32,10,2025-12-01,,FALSE,TRUE
P0010,P0010_V1,生椰拿铁,PC00010,咖啡,特调,28,8,2023-11-23,,FALSE,TRUE
P0011,P0011_V1,厚乳拿铁,PC00011,咖啡,特调,30,9,2025-06-05,,FALSE,TRUE
P0012,P0012_V1,丝绒拿铁,PC00012,咖啡,特调,32,10,2025-10-18,,FALSE,TRUE
P0013,P0013_V1,橙C冰美式,PC00013,咖啡,特调,26,7,2024-06-26,,TRUE,TRUE
P0014,P0014_V1,柚C冰美式,PC00014,咖啡,特调,26,7,2025-09-24,,TRUE,TRUE
P0015,P0015_V1,桂花拿铁,PC00015,咖啡,特调,32,10,2025-03-24,,TRUE,TRUE
P0016,P0016_V1,樱花拿铁,PC00016,咖啡,特调,34,11,2024-02-08,,TRUE,TRUE
P0017,P0017_V1,酱香拿铁,PC00017,咖啡,特调,38,13,2025-04-06,,FALSE,TRUE
P0018,P0018_V1,摩卡咖啡,PC00018,咖啡,摩卡,30,9,2023-07-02,,FALSE,TRUE
P0019,P0019_V1,冰摩卡,PC00019,咖啡,摩卡,30,9,2025-02-19,,FALSE,TRUE
P0020,P0020_V1,卡布奇诺,PC00020,咖啡,卡布,26,7,2025-12-03,,FALSE,TRUE
P0021,P0021_V1,冰卡布,PC00021,咖啡,卡布,26,7,2025-03-24,,FALSE,TRUE
P0022,P0022_V1,Dirty,PC00022,咖啡,其他,28,8,2024-09-30,,FALSE,TRUE
P0023,P0023_V1,抹茶拿铁,PC00023,咖啡,其他,30,9,2024-06-03,,FALSE,TRUE
P0024,P0024_V1,可可拿铁,PC00024,咖啡,其他,28,8,2024-07-20,,FALSE,TRUE
P0025,P0025_V1,枫糖拿铁,PC00025,咖啡,其他,32,10,2024-03-03,,TRUE,TRUE
P0026,P0026_V1,茉莉花茶,PC00026,茶饮,纯茶,15,3,2024-12-10,,FALSE,TRUE
P0027,P0027_V1,龙井,PC00027,茶饮,纯茶,18,4,2025-08-01,,FALSE,TRUE
P0028,P0028_V1,乌龙,PC00028,茶饮,纯茶,18,4,2025-04-15,,FALSE,TRUE
P0029,P0029_V1,金桂雪梨,PC00029,茶饮,水果茶,22,6,2024-09-05,,TRUE,TRUE
P0030,P0030_V1,满杯杨梅,PC00030,茶饮,水果茶,26,7,2024-12-01,,TRUE,TRUE
P0031,P0031_V1,葡萄柚茶,PC00031,茶饮,水果茶,24,6,2023-06-29,,FALSE,TRUE
P0032,P0032_V1,百香果茶,PC00032,茶饮,水果茶,24,6,2023-11-19,,FALSE,TRUE
P0033,P0033_V1,柠檬茶,PC00033,茶饮,水果茶,22,5,2025-07-05,,FALSE,TRUE
P0034,P0034_V1,茉香奶绿,PC00034,茶饮,奶茶,22,5,2024-10-06,,FALSE,TRUE
P0035,P0035_V1,红豆奶茶,PC00035,茶饮,奶茶,26,7,2025-02-09,,FALSE,TRUE
P0036,P0036_V1,芋泥啵啵奶茶,PC00036,茶饮,奶茶,30,9,2024-12-10,,FALSE,TRUE
P0037,P0037_V1,椰椰咖啡,PC00037,茶饮,奶茶,28,8,2024-02-01,,FALSE,TRUE
P0038,P0038_V1,柠檬气泡水,PC00038,茶饮,气泡,18,4,2023-11-07,,FALSE,TRUE
P0039,P0039_V1,桃桃气泡,PC00039,茶饮,气泡,20,5,2023-05-27,,TRUE,TRUE
P0040,P0040_V1,原味贝果,PC00040,烘焙,蛋糕,10,3,2025-04-28,,FALSE,TRUE
P0041,P0041_V1,巧克力贝果,PC00041,烘焙,蛋糕,12,4,2024-11-20,,FALSE,TRUE
P0042,P0042_V1,原味提拉米苏,PC00042,烘焙,蛋糕,22,7,2023-08-24,,FALSE,TRUE
P0043,P0043_V1,抹茶提拉米苏,PC00043,烘焙,蛋糕,24,8,2023-10-27,,FALSE,TRUE
P0044,P0044_V1,肉桂卷,PC00044,烘焙,蛋糕,15,5,2023-09-20,,FALSE,TRUE
P0045,P0045_V1,椰子塔,PC00045,烘焙,蛋糕,12,4,2025-07-06,,FALSE,TRUE
P0046,P0046_V1,可颂,PC00046,烘焙,蛋糕,15,5,2025-04-09,,FALSE,TRUE
P0047,P0047_V1,芝士条,PC00047,烘焙,蛋糕,10,3,2024-03-21,,FALSE,TRUE
P0048,P0048_V1,欧包,PC00048,烘焙,蛋糕,18,6,2025-05-20,,FALSE,TRUE
P0049,P0049_V1,原味曲奇,PC00049,烘焙,蛋糕,8,2,2024-08-05,,FALSE,TRUE
P0050,P0050_V1,巧克力曲奇,PC00050,烘焙,蛋糕,8,2,2024-05-14,,FALSE,TRUE
P0051,P0051_V1,北海道吐司,PC00051,烘焙,面包,12,4,2025-09-26,,FALSE,TRUE
P0052,P0052_V1,蒜香面包,PC00052,烘焙,面包,10,3,2023-10-07,,FALSE,TRUE
P0053,P0053_V1,培根芝士面包,PC00053,烘焙,面包,18,7,2024-11-07,,FALSE,TRUE
P0054,P0054_V1,蛋黄酥,PC00054,烘焙,面包,12,4,2024-09-27,,FALSE,TRUE
P0055,P0055_V1,培根芝士三明治,PC00055,轻食,三明治,26,9,2024-05-22,,FALSE,TRUE
P0056,P0056_V1,金枪鱼三明治,PC00056,轻食,三明治,24,8,2024-10-24,,FALSE,TRUE
P0057,P0057_V1,鸡肉牛油果三明治,PC00057,轻食,三明治,28,10,2023-12-13,,FALSE,TRUE
P0058,P0058_V1,素食三明治,PC00058,轻食,三明治,22,7,2025-09-26,,FALSE,TRUE
P0059,P0059_V1,凯撒沙拉,PC00059,轻食,沙拉,32,12,2025-06-12,,FALSE,TRUE
P0060,P0060_V1,鸡肉藜麦沙拉,PC00060,轻食,沙拉,36,14,2025-05-01,,FALSE,TRUE
P0061,P0061_V1,鸡肉饭团,PC00061,轻食,便当,18,6,2023-11-25,,FALSE,TRUE
P0062,P0062_V1,金枪鱼饭团,PC00062,轻食,便当,18,6,2024-08-14,,FALSE,TRUE
P0063,P0063_V1,SOE 咖啡豆 (250g),PC00063,周边,咖啡豆,128,40,2024-07-01,,FALSE,TRUE
P0064,P0064_V1,拼配豆 (250g),PC00064,周边,咖啡豆,98,30,2024-02-25,,FALSE,TRUE
P0065,P0065_V1,低因豆 (250g),PC00065,周边,咖啡豆,118,38,2025-04-03,,FALSE,TRUE
P0066,P0066_V1,深烘豆 (250g),PC00066,周边,咖啡豆,108,34,2025-04-26,,FALSE,TRUE
P0067,P0067_V1,挂耳礼盒 (10片),PC00067,周边,挂耳,58,18,2024-07-28,,FALSE,TRUE
P0068,P0068_V1,挂耳精选 (20片),PC00068,周边,挂耳,108,32,2024-10-14,,FALSE,TRUE
P0069,P0069_V1,品牌马克杯,PC00069,周边,杯子,68,20,2025-01-19,,FALSE,TRUE
P0070,P0070_V1,品牌随行杯,PC00070,周边,杯子,98,32,2024-09-29,,FALSE,TRUE
P0071,P0071_V1,保温杯,PC00071,周边,杯子,128,42,2025-03-29,,FALSE,TRUE
P0072,P0072_V1,品牌帆布袋,PC00072,周边,其他,58,15,2024-11-18,,FALSE,TRUE
P0073,P0073_V1,品牌卫衣,PC00073,周边,其他,288,90,2024-10-18,,FALSE,TRUE
P0074,P0074_V1,咖啡机 (家用),PC00074,周边,其他,1280,420,2025-08-15,,FALSE,TRUE
