事件ID,会员ID,事件类型,事件时间,事件日期,门店ID,渠道,结果
REG00000001,M0000001,注册,2024-03-23 01:12:22,2024-03-23,S00067,App,成功
REG00000002,M0000002,注册,2025-10-15 01:25:25,2025-10-15,S00003,门店扫码,成功
REG00000003,M0000003,注册,2025-07-07 17:16:15,2025-07-07,S00894,门店扫码,成功
REG00000004,M0000004,注册,2024-05-12 05:36:31,2024-05-12,S00434,门店扫码,成功
REG00000005,M0000005,注册,2025-03-12 10:26:04,2025-03-12,S00226,App,成功
REG00000006,M0000006,注册,2024-06-01 17:43:29,2024-06-01,S00427,门店扫码,成功
REG00000007,M0000007,注册,2024-11-16 11:30:52,2024-11-16,S00314,小程序,成功
REG00000008,M0000008,注册,2026-01-28 16:48:46,2026-01-28,S00172,小程序,成功
REG00000009,M0000009,注册,2024-10-25 06:08:57,2024-10-25,S00008,小程序,成功
REG00000010,M0000010,注册,2026-05-09 13:24:28,2026-05-09,S00856,App,成功
REG00000011,M0000011,注册,2024-06-25 09:50:21,2024-06-25,S00249,App,成功
REG00000012,M0000012,注册,2025-08-05 17:03:03,2025-08-05,S00842,App,成功
REG00000013,M0000013,注册,2025-01-05 04:14:23,2025-01-05,S00934,小程序,成功
REG00000014,M0000014,注册,2026-05-01 17:00:02,2026-05-01,S01084,门店扫码,成功
REG00000015,M0000015,注册,2024-07-27 06:08:15,2024-07-27,S00080,小程序,成功
REG00000016,M0000016,注册,2026-05-20 12:27:28,2026-05-20,S00446,小程序,成功
REG00000017,M0000017,注册,2024-09-04 13:51:52,2024-09-04,S00003,小程序,成功
REG00000018,M0000018,注册,2024-05-15 08:37:34,2024-05-15,S00772,App,成功
REG00000019,M0000019,注册,2026-04-14 00:03:37,2026-04-14,S00466,小程序,成功
REG00000020,M0000020,注册,2025-12-25 23:26:57,2025-12-25,S01097,活动拉新,成功
REG00000021,M0000021,注册,2024-09-30 17:03:52,2024-09-30,S00918,App,成功
REG00000022,M0000022,注册,2024-10-12 11:08:02,2024-10-12,S00550,小程序,成功
REG00000023,M0000023,注册,2024-12-14 05:26:47,2024-12-14,S00581,App,成功
REG00000024,M0000024,注册,2025-09-14 11:38:41,2025-09-14,S00566,门店扫码,成功
REG00000025,M0000025,注册,2024-07-31 11:00:56,2024-07-31,S00540,App,成功
REG00000026,M0000026,注册,2024-07-04 11:15:14,2024-07-04,S00280,小程序,成功
REG00000027,M0000027,注册,2026-01-27 19:14:22,2026-01-27,S00277,App,成功
REG00000028,M0000028,注册,2026-01-08 06:23:30,2026-01-08,S00615,小程序,成功
REG00000029,M0000029,注册,2024-08-03 01:38:35,2024-08-03,S00261,门店扫码,成功
REG00000030,M0000030,注册,2026-05-13 01:44:42,2026-05-13,S00503,App,成功
REG00000031,M0000031,注册,2026-04-22 11:25:56,2026-04-22,S00142,门店扫码,成功
REG00000032,M0000032,注册,2025-05-16 18:25:08,2025-05-16,S00760,App,成功
REG00000033,M0000033,注册,2025-09-09 06:26:11,2025-09-09,S00840,小程序,成功
REG00000034,M0000034,注册,2024-09-05 22:59:25,2024-09-05,S00048,活动拉新,成功
REG00000035,M0000035,注册,2024-06-18 08:45:50,2024-06-18,S00564,小程序,成功
REG00000036,M0000036,注册,2026-04-15 16:27:34,2026-04-15,S00797,App,成功
REG00000037,M0000037,注册,2026-02-27 17:24:02,2026-02-27,S00666,小程序,成功
REG00000038,M0000038,注册,2025-01-22 15:11:46,2025-01-22,S00322,小程序,成功
REG00000039,M0000039,注册,2024-06-13 10:22:52,2024-06-13,S01058,活动拉新,成功
REG00000040,M0000040,注册,2024-03-17 18:26:43,2024-03-17,S00682,门店扫码,成功
REG00000041,M0000041,注册,2024-12-24 06:30:41,2024-12-24,S00945,App,成功
REG00000042,M0000042,注册,2026-03-02 13:08:41,2026-03-02,S00524,App,成功
REG00000043,M0000043,注册,2025-08-15 11:42:57,2025-08-15,S00736,App,成功
REG00000044,M0000044,注册,2026-05-20 10:21:04,2026-05-20,S00046,门店扫码,成功
REG00000045,M0000045,注册,2024-06-07 09:16:52,2024-06-07,S00121,门店扫码,成功
REG00000046,M0000046,注册,2025-12-26 12:33:17,2025-12-26,S00246,门店扫码,成功
REG00000047,M0000047,注册,2024-02-29 10:46:59,2024-02-29,S00717,小程序,成功
REG00000048,M0000048,注册,2025-10-24 01:18:49,2025-10-24,S00661,小程序,成功
REG00000049,M0000049,注册,2025-06-07 03:32:49,2025-06-07,S00352,小程序,成功
REG00000050,M0000050,注册,2026-05-20 16:52:58,2026-05-20,S00716,小程序,成功
REG00000051,M0000051,注册,2024-07-16 17:43:26,2024-07-16,S00555,小程序,成功
REG00000052,M0000052,注册,2026-04-05 12:58:33,2026-04-05,S01037,企微邀请,成功
REG00000053,M0000053,注册,2025-05-31 18:57:42,2025-05-31,S00319,门店扫码,成功
REG00000054,M0000054,注册,2026-01-19 15:52:53,2026-01-19,S00600,门店扫码,成功
REG00000055,M0000055,注册,2024-05-07 08:36:41,2024-05-07,S01020,小程序,成功
REG00000056,M0000056,注册,2024-09-08 02:20:28,2024-09-08,S00521,App,成功
REG00000057,M0000057,注册,2024-12-19 22:49:48,2024-12-19,S00548,门店扫码,成功
REG00000058,M0000058,注册,2026-05-18 18:44:40,2026-05-18,S00867,门店扫码,成功
REG00000059,M0000059,注册,2025-02-05 20:35:17,2025-02-05,S00416,App,成功
REG00000060,M0000060,注册,2024-09-07 13:53:22,2024-09-07,S00883,小程序,成功
REG00000061,M0000061,注册,2026-04-13 02:18:46,2026-04-13,S00302,App,成功
REG00000062,M0000062,注册,2024-10-01 08:22:58,2024-10-01,S00456,小程序,成功
REG00000063,M0000063,注册,2025-12-08 07:17:47,2025-12-08,S00763,App,成功
REG00000064,M0000064,注册,2024-11-20 19:51:36,2024-11-20,S00193,App,成功
REG00000065,M0000065,注册,2025-12-16 14:18:05,2025-12-16,S00305,小程序,成功
REG00000066,M0000066,注册,2025-04-19 13:57:07,2025-04-19,S01168,App,成功
REG00000067,M0000067,注册,2026-02-13 01:37:38,2026-02-13,S00519,App,成功
REG00000068,M0000068,注册,2025-11-05 00:08:19,2025-11-05,S00025,小程序,成功
REG00000069,M0000069,注册,2026-03-10 17:49:49,2026-03-10,S00849,企微邀请,成功
REG00000070,M0000070,注册,2026-03-21 12:14:38,2026-03-21,S00980,企微邀请,成功
REG00000071,M0000071,注册,2025-05-07 17:47:49,2025-05-07,S00740,门店扫码,成功
REG00000072,M0000072,注册,2024-07-19 05:34:03,2024-07-19,S00718,小程序,成功
REG00000073,M0000073,注册,2025-12-14 08:08:13,2025-12-14,S00405,小程序,成功
