触达ID,触达时间,触达日期,会员ID,员工ID,触达渠道,内容类型,内容ID,活动ID,是否查看,触达状态
TC000000001,2026-03-28 18:01:00,2026-03-28,M0073637,E000390,企微1V1,新品推荐,CT0106,,1,已发送
TC000000002,2026-03-04 11:38:00,2026-03-04,M0061624,E000174,企微1V1,优惠提醒,CT0182,,0,已发送
TC000000003,2026-03-13 19:27:00,2026-03-13,M0033993,E000487,企微1V1,复购召回,CT0024,,1,已发送
TC000000004,2026-05-10 09:54:00,2026-05-10,M0071971,E000335,社群,新品推荐,CT0091,CMP0010,0,已发送
TC000000005,2026-03-05 20:54:00,2026-03-05,M0028549,E000338,企微1V1,复购召回,CT0188,,1,已发送
TC000000006,2026-03-31 21:46:00,2026-03-31,M0026528,E000566,社群,生日祝福,CT0120,,1,已发送
TC000000007,2026-04-22 11:00:00,2026-04-22,M0048187,E000380,企微1V1,新品推荐,CT0098,,1,已发送
TC000000008,2026-02-28 10:05:00,2026-02-28,M0040930,E000063,朋友圈,会员日提醒,CT0184,,0,已发送
TC000000009,2026-03-20 10:03:00,2026-03-20,M0033495,E000055,朋友圈,优惠提醒,CT0010,,0,已发送
TC000000010,2026-03-17 08:49:00,2026-03-17,M0054373,E000251,社群,优惠提醒,CT0051,CMP0038,0,已发送
TC000000011,2026-03-04 17:51:00,2026-03-04,M0059435,E000339,小程序消息,活动邀请,CT0198,,1,已发送
TC000000012,2026-04-27 13:14:00,2026-04-27,M0033111,E000223,社群,生日祝福,CT0190,CMP0034,1,已发送
TC000000013,2026-04-18 12:50:00,2026-04-18,M0038162,E000011,企微1V1,新品推荐,CT0048,CMP0045,1,已发送
TC000000014,2026-05-16 12:46:00,2026-05-16,M0018535,E000114,社群,新品推荐,CT0049,,0,已发送
TC000000015,2026-04-04 16:38:00,2026-04-04,M0048593,E000070,视频号,复购召回,CT0055,CMP0011,1,已发送
TC000000016,2026-04-17 10:16:00,2026-04-17,M0018415,E000408,社群,新品推荐,CT0049,,0,已发送
TC000000017,2026-05-12 16:33:00,2026-05-12,M0066041,E000438,社群,会员日提醒,CT0092,CMP0011,0,已发送
TC000000018,2026-03-20 08:00:00,2026-03-20,M0013100,E000234,小程序消息,生日祝福,CT0041,CMP0006,1,已发送
TC000000019,2026-04-03 19:02:00,2026-04-03,M0062320,E000394,社群,新品推荐,CT0101,,0,已发送
TC000000020,2026-05-20 19:31:00,2026-05-20,M0043793,E000353,社群,活动邀请,CT0042,CMP0006,1,已发送
TC000000021,2026-03-22 14:26:00,2026-03-22,M0020335,E000277,企微1V1,活动邀请,CT0099,CMP0027,0,已发送
TC000000022,2026-02-20 12:12:00,2026-02-20,M0068474,E000450,视频号,生日祝福,CT0040,CMP0029,1,已发送
TC000000023,2026-04-09 16:34:00,2026-04-09,M0018216,E000305,企微1V1,会员日提醒,CT0039,,0,已发送
TC000000024,2026-04-21 20:27:00,2026-04-21,M0037356,E000220,企微1V1,生日祝福,CT0118,,1,已发送
TC000000025,2026-05-01 13:45:00,2026-05-01,M0069440,E000300,企微1V1,优惠提醒,CT0164,CMP0048,1,已发送
TC000000026,2026-02-24 18:28:00,2026-02-24,M0034212,E000365,企微1V1,生日祝福,CT0061,CMP0039,0,已发送
TC000000027,2026-04-24 18:17:00,2026-04-24,M0079783,E000171,企微1V1,活动邀请,CT0032,CMP0017,0,已发送
TC000000028,2026-05-13 18:37:00,2026-05-13,M0074881,E000599,企微1V1,生日祝福,CT0082,CMP0030,1,已发送
TC000000029,2026-04-11 13:23:00,2026-04-11,M0020628,E000188,小程序消息,优惠提醒,CT0042,CMP0033,1,已发送
TC000000030,2026-03-24 15:39:00,2026-03-24,M0005667,E000071,小程序消息,生日祝福,CT0179,,0,已发送
TC000000031,2026-03-29 08:24:00,2026-03-29,M0038955,E000517,短信,活动邀请,CT0159,CMP0010,1,已发送
TC000000032,2026-05-19 12:45:00,2026-05-19,M0059136,E000535,社群,活动邀请,CT0153,CMP0020,0,已发送
TC000000033,2026-03-17 21:02:00,2026-03-17,M0010633,E000079,社群,会员日提醒,CT0036,CMP0001,1,已发送
TC000000034,2026-03-24 13:08:00,2026-03-24,M0024018,E000562,小程序消息,复购召回,CT0103,CMP0021,1,已发送
TC000000035,2026-04-13 08:24:00,2026-04-13,M0079843,E000258,企微1V1,优惠提醒,CT0102,,0,已发送
TC000000036,2026-04-06 20:36:00,2026-04-06,M0016859,E000261,企微1V1,优惠提醒,CT0052,CMP0011,1,已发送
TC000000037,2026-03-16 10:02:00,2026-03-16,M0077175,E000571,企微1V1,复购召回,CT0046,CMP0033,0,已发送
TC000000038,2026-05-15 09:05:00,2026-05-15,M0059812,E000487,企微1V1,会员日提醒,CT0037,,1,已发送
TC000000039,2026-04-11 09:19:00,2026-04-11,M0040552,E000262,企微1V1,优惠提醒,CT0165,,1,已发送
TC000000040,2026-04-06 15:14:00,2026-04-06,M0018631,E000391,小程序消息,活动邀请,CT0170,CMP0029,0,已发送
TC000000041,2026-04-20 17:40:00,2026-04-20,M0018882,E000469,社群,新品推荐,CT0111,CMP0045,0,已发送
TC000000042,2026-04-16 21:35:00,2026-04-16,M0055228,E000397,企微1V1,生日祝福,CT0051,CMP0039,1,已发送
TC000000043,2026-04-27 14:21:00,2026-04-27,M0009226,E000496,小程序消息,复购召回,CT0056,CMP0045,1,已发送
