投诉ID,会员ID,订单ID,门店ID,投诉类型,投诉时间,状态,处理人ID,处理时长_小时
CP000001,M0027618,O2026031100001019,S00002,出餐慢,2026-03-12 13:00:00,已处理,E000066,5
CP000002,M0005264,O2026050900012379,S00010,卫生,2026-05-10 04:00:00,已处理,E000332,1
CP000003,M0012592,O2026030600331535,S00291,出餐慢,2026-03-07 10:00:00,已处理,E000543,57
CP000004,M0028316,O2026031100998431,S00891,出餐慢,2026-03-12 16:00:00,已处理,E000017,48
CP000005,M0056572,O2026040900424454,S00378,态度,2026-04-09 14:00:00,已处理,E000315,54
CP000006,M0032830,O2026022000597560,S00544,态度,2026-02-21 14:00:00,已处理,E000253,54
CP000007,M0019425,O2026050800801604,S00717,态度,2026-05-09 04:00:00,处理中,E000488,
CP000008,,O2026051600210763,S00188,口味,2026-05-17 18:00:00,已处理,E000543,29
CP000009,,O2026042501086806,S00967,卫生,2026-04-25 19:00:00,已处理,E000334,63
CP000010,M0010139,O2026041100120664,S00111,卫生,2026-04-11 15:00:00,处理中,E000047,
CP000011,M0066535,O2026022400562745,S00510,卫生,2026-02-25 10:00:00,处理中,E000192,
CP000012,M0057746,O2026041900889504,S00793,口味,2026-04-19 15:00:00,已处理,E000192,53
CP000013,,O2026022800827450,S00739,其他,2026-03-01 05:00:00,处理中,E000334,
CP000014,M0032109,O2026051600072511,S00066,卫生,2026-05-16 06:00:00,已处理,E000348,67
CP000015,,O2026030300841952,S00753,口味,2026-03-03 22:00:00,待处理,E000233,
CP000016,M0047907,O2026032800823373,S00734,其他,2026-03-29 07:00:00,已处理,E000192,14
CP000017,,O2026042700849655,S00758,卫生,2026-04-28 21:00:00,已处理,E000059,24
CP000018,,O2026031500138041,S00126,其他,2026-03-16 13:00:00,已处理,E000353,46
CP000019,M0060578,O2026051900029970,S00029,口味,2026-05-19 12:00:00,已处理,E000315,18
CP000020,M0075823,O2026040800177541,S00160,出餐慢,2026-04-09 02:00:00,已处理,E000214,56
CP000021,,O2026042601058835,S00943,卫生,2026-04-27 04:00:00,待处理,E000438,
CP000022,,O2026033000725154,S00647,口味,2026-03-31 14:00:00,处理中,E000488,
