参与ID,会员ID,活动ID,参与时间,参与日期,行为类型,结果
AJ00000001,M0070160,CMP0032,2026-04-13 19:18:22,2026-04-13,参与,成功
AJ00000002,M0066529,CMP0014,2026-04-15 04:21:20,2026-04-15,参与,成功
AJ00000003,M0074580,CMP0013,2026-05-12 10:51:13,2026-05-12,抽奖,成功
AJ00000004,M0070956,CMP0012,2026-04-30 07:50:13,2026-04-30,抽奖,成功
AJ00000005,M0007646,CMP0002,2026-05-14 22:47:26,2026-05-14,抽奖,成功
AJ00000006,M0068903,CMP0022,2026-03-05 10:18:52,2026-03-05,抽奖,成功
AJ00000007,M0043762,CMP0013,2026-03-09 20:03:11,2026-03-09,报名,成功
AJ00000008,M0072512,CMP0031,2026-05-05 08:15:19,2026-05-05,参与,成功
AJ00000009,M0035984,CMP0039,2026-04-04 16:32:46,2026-04-04,参与,成功
AJ00000010,M0057890,CMP0041,2026-04-11 07:01:17,2026-04-11,报名,成功
AJ00000011,M0023008,CMP0042,2026-05-09 10:06:55,2026-05-09,报名,成功
AJ00000012,M0023352,CMP0050,2026-04-28 19:29:35,2026-04-28,报名,成功
AJ00000013,M0079376,CMP0036,2026-04-08 08:51:13,2026-04-08,参与,成功
AJ00000014,M0046456,CMP0040,2026-05-05 02:31:17,2026-05-05,报名,成功
AJ00000015,M0076892,CMP0014,2026-04-20 16:40:48,2026-04-20,报名,成功
AJ00000016,M0074271,CMP0032,2026-04-24 06:28:52,2026-04-24,报名,成功
AJ00000017,M0023692,CMP0022,2026-05-16 12:10:52,2026-05-16,参与,成功
AJ00000018,M0037378,CMP0033,2026-03-11 09:02:52,2026-03-11,参与,成功
AJ00000019,M0025357,CMP0011,2026-03-02 11:44:42,2026-03-02,报名,成功
AJ00000020,M0015604,CMP0047,2026-05-19 21:03:39,2026-05-19,报名,成功
AJ00000021,M0073130,CMP0044,2026-03-23 08:43:51,2026-03-23,中奖,中奖
AJ00000022,M0052471,CMP0037,2026-05-13 04:04:19,2026-05-13,报名,成功
AJ00000023,M0075417,CMP0001,2026-03-12 11:18:10,2026-03-12,抽奖,成功
AJ00000024,M0038451,CMP0028,2026-03-27 02:31:19,2026-03-27,参与,成功
AJ00000025,M0034156,CMP0036,2026-03-28 03:32:21,2026-03-28,参与,成功
AJ00000026,M0060590,CMP0050,2026-03-18 03:05:43,2026-03-18,报名,成功
AJ00000027,M0005767,CMP0019,2026-05-12 23:22:37,2026-05-12,抽奖,成功
AJ00000028,M0030873,CMP0047,2026-05-01 05:10:57,2026-05-01,参与,成功
AJ00000029,M0069308,CMP0014,2026-04-27 00:56:00,2026-04-27,参与,成功
AJ00000030,M0016277,CMP0034,2026-05-01 18:33:03,2026-05-01,参与,成功
AJ00000031,M0034296,CMP0036,2026-02-26 10:58:58,2026-02-26,参与,成功
AJ00000032,M0010973,CMP0034,2026-03-13 07:16:17,2026-03-13,参与,成功
AJ00000033,M0025979,CMP0024,2026-05-20 15:17:04,2026-05-20,抽奖,成功
AJ00000034,M0016142,CMP0005,2026-04-07 14:14:04,2026-04-07,报名,成功
AJ00000035,M0031134,CMP0007,2026-03-27 23:31:07,2026-03-27,兑换,已兑换
AJ00000036,M0028631,CMP0026,2026-05-19 08:25:16,2026-05-19,报名,成功
AJ00000037,M0055271,CMP0016,2026-03-25 22:00:24,2026-03-25,报名,成功
AJ00000038,M0005299,CMP0011,2026-04-28 00:14:05,2026-04-28,中奖,中奖
AJ00000039,M0035841,CMP0009,2026-02-20 10:57:56,2026-02-20,兑换,已兑换
AJ00000040,M0000853,CMP0049,2026-04-23 22:59:07,2026-04-23,参与,成功
AJ00000041,M0072553,CMP0045,2026-04-02 03:45:50,2026-04-02,抽奖,成功
AJ00000042,M0011865,CMP0030,2026-02-27 03:27:39,2026-02-27,参与,成功
AJ00000043,M0044030,CMP0018,2026-04-03 23:40:04,2026-04-03,参与,成功
AJ00000044,M0067133,CMP0030,2026-05-04 08:59:42,2026-05-04,抽奖,成功
AJ00000045,M0018808,CMP0025,2026-03-11 19:10:10,2026-03-11,参与,成功
AJ00000046,M0055704,CMP0027,2026-03-10 11:02:26,2026-03-10,参与,成功
AJ00000047,M0013860,CMP0001,2026-03-15 08:02:16,2026-03-15,抽奖,成功
