事件ID,事件时间,事件日期,事件类型,会员ID,员工ID,门店ID,来源渠道,标签,状态
PE000000001,2026-05-02 17:03:00,2026-05-02,入群,M0057264,E000429,S00046,小程序,宝妈,已完成
PE000000002,2026-01-08 14:50:00,2026-01-08,标签变更,M0034766,E000134,S00430,老客推荐,咖啡爱好者,已完成
PE000000003,2025-11-27 15:26:00,2025-11-27,加友,M0069657,E000040,S00997,门店扫码,周末客,已完成
PE000000004,2025-09-08 09:21:00,2025-09-08,加友,M0043268,E000045,S00724,门店扫码,周末客,已完成
PE000000005,2026-05-17 16:17:00,2026-05-17,标签变更,M0033245,E000473,S00563,小程序,宝妈,已完成
PE000000006,2026-03-03 21:58:00,2026-03-03,加友,M0004449,E000114,S00163,老客推荐,新客,已完成
PE000000007,2025-11-01 20:55:00,2025-11-01,加友,M0011839,E000253,S00359,门店扫码,宝妈,已完成
PE000000008,2025-10-31 11:10:00,2025-10-31,加友,M0037267,E000352,S00442,员工分享,周末客,已完成
PE000000009,2026-04-11 10:24:00,2026-04-11,加友,M0050214,E000359,S01012,广告投放,宝妈,已完成
PE000000010,2026-03-17 16:31:00,2026-03-17,加友,M0025242,E000272,S00028,老客推荐,学生,已完成
PE000000011,2026-03-10 22:53:00,2026-03-10,标签变更,M0049978,E000197,S00270,员工分享,甜品控,已完成
PE000000012,2025-10-01 11:11:00,2025-10-01,标签变更,M0012363,E000145,S00550,老客推荐,宝妈,已完成
PE000000013,2025-12-09 10:46:00,2025-12-09,入群,M0050716,E000378,S00997,员工分享,甜品控,已完成
PE000000014,2025-09-22 13:54:00,2025-09-22,标签变更,M0014858,E000199,S00065,门店扫码,新客,已完成
PE000000015,2025-12-19 17:50:00,2025-12-19,加友,M0013124,E000541,S00800,广告投放,宝妈,已完成
PE000000016,2026-03-02 15:18:00,2026-03-02,加友,M0076836,E000192,S00485,老客推荐,咖啡爱好者,已完成
PE000000017,2025-12-17 13:44:00,2025-12-17,加友,M0004774,E000290,S00423,活动二维码,新客,已完成
PE000000018,2026-04-18 09:12:00,2026-04-18,入群,M0033003,E000061,S00571,门店扫码,VIP,已完成
