订单ID,门店ID,会员ID,顾客识别键,身份匹配置信度,下单时间,业务日期,原价金额,折扣金额,实付金额,收入口径金额,支付方式,销售渠道,履约方式,是否到店,订单状态,是否用券,是否会员首单,商品件数
O2026030500991265,S00883,M0037140,M0037140,1.0,2026-03-05 09:18:00,2026-03-05,56.0,8.67,47.33,47.33,支付宝,堂食,堂食,1,已完成,1,0,2
O2026030500991266,S00883,,GKfc5ac3af0d05,0.0,2026-03-05 11:00:00,2026-03-05,82.0,0.0,82.0,73.8,会员卡,外卖-饿了么,外卖配送,0,已完成,0,0,3
O2026030500991267,S00883,,GKe6d83c403855,0.0,2026-03-05 15:41:00,2026-03-05,69.0,0.0,69.0,69.0,微信,堂食,堂食,1,已完成,0,0,3
O2026030500991268,S00883,,GK8de0884a28ff,0.0,2026-03-05 09:25:00,2026-03-05,28.0,0.0,28.0,28.0,会员卡,堂食,堂食,1,已完成,0,0,1
O2026030500991269,S00883,,GKeb0006c23ba4,0.0,2026-03-05 11:29:00,2026-03-05,50.0,0.0,50.0,45.0,微信,外卖-美团,外卖配送,0,已完成,0,0,2
O2026030500991270,S00883,M0062815,M0062815,1.0,2026-03-05 13:49:00,2026-03-05,54.0,0.0,54.0,48.6,微信,外卖-饿了么,外卖配送,0,已完成,0,0,2
O2026030500991271,S00883,M0002557,M0002557,1.0,2026-03-05 16:34:00,2026-03-05,30.0,10.4,19.6,17.64,会员卡,外卖-美团,外卖配送,0,已完成,1,0,2
O2026030600991272,S00883,,GKdac583cff1b5,0.0,2026-03-06 10:53:00,2026-03-06,108.0,0.0,108.0,108.0,微信,外带,外带,1,已完成,0,0,3
O2026030600991273,S00883,,GKd6af255824e1,0.0,2026-03-06 11:38:00,2026-03-06,56.0,0.0,56.0,56.0,支付宝,团购到店,团购到店,1,已完成,0,0,2
O2026030600991274,S00883,,GK7537fc2a2a28,0.0,2026-03-06 12:50:00,2026-03-06,52.0,0.0,52.0,52.0,微信,堂食,堂食,1,已完成,0,0,2
O2026030600991275,S00883,,GKc5abb4bb56a7,0.0,2026-03-06 08:05:00,2026-03-06,94.0,0.0,94.0,84.6,微信,外卖-饿了么,外卖配送,0,已完成,0,0,3
O2026030600991276,S00883,M0012038,M0012038,1.0,2026-03-06 08:09:00,2026-03-06,60.0,0.0,60.0,54.0,微信,外卖-美团,外卖配送,0,已完成,0,0,1
O2026030600991277,S00883,,GK792eda17209b,0.0,2026-03-06 10:58:00,2026-03-06,84.0,0.0,84.0,84.0,微信,堂食,堂食,1,已完成,0,0,2
O2026030600991278,S00883,M0053064,M0053064,1.0,2026-03-06 16:43:00,2026-03-06,76.0,0.0,76.0,76.0,微信,堂食,堂食,1,已完成,0,1,2
O2026030600991279,S00883,M0008664,M0008664,1.0,2026-03-06 16:45:00,2026-03-06,34.0,10.83,23.17,23.17,微信,堂食,堂食,1,已完成,1,0,1
O2026030600991280,S00883,,GK731d00c1b1a2,0.0,2026-03-06 19:32:00,2026-03-06,94.0,0.0,94.0,94.0,支付宝,外带,外带,1,已完成,0,0,2
O2026030600991281,S00883,,GK01ef6d511aeb,0.0,2026-03-06 12:32:00,2026-03-06,26.0,0.0,26.0,26.0,微信,到店自提,到店自提,1,已完成,0,0,1
O2026030600991282,S00883,M0040422,M0040422,1.0,2026-03-06 17:20:00,2026-03-06,48.0,0.0,48.0,48.0,支付宝,堂食,堂食,1,已完成,0,0,2
O2026030600991283,S00883,M0074793,M0074793,1.0,2026-03-06 17:03:00,2026-03-06,78.0,0.0,78.0,70.2,支付宝,外卖-美团,外卖配送,0,已完成,0,0,2
O2026030600991284,S00883,M0073877,M0073877,1.0,2026-03-06 10:30:00,2026-03-06,154.0,30.61,123.39,123.39,微信,到店自提,到店自提,1,已完成,1,0,5
O2026030600991285,S00883,M0021275,M0021275,1.0,2026-03-06 14:22:00,2026-03-06,24.0,0.0,24.0,21.6,微信,外卖-自有App,外卖配送,0,已完成,0,0,1
O2026030600991286,S00883,,GKad3acd6c03b1,0.0,2026-03-06 16:32:00,2026-03-06,58.0,0.0,58.0,58.0,微信,堂食,堂食,1,已完成,0,0,2
O2026030600991287,S00883,M0001894,M0001894,1.0,2026-03-06 08:47:00,2026-03-06,124.0,24.87,99.13,99.13,会员卡,外带,外带,1,已完成,1,0,3
O2026030600991288,S00883,,GKc9edeae7a58a,0.0,2026-03-06 09:09:00,2026-03-06,56.0,0.0,56.0,50.4,支付宝,外卖-饿了么,外卖配送,0,已退款,0,0,2
O2026030600991289,S00883,M0063701,M0063701,1.0,2026-03-06 07:56:00,2026-03-06,42.0,12.16,29.84,26.86,会员卡,外卖-饿了么,外卖配送,0,已完成,1,0,2
O2026030600991290,S00883,M0065546,M0065546,1.0,2026-03-06 12:50:00,2026-03-06,58.0,0.0,58.0,58.0,会员卡,外带,外带,1,已完成,0,1,2
O2026030700991291,S00883,M0053166,M0053166,1.0,2026-03-07 11:02:00,2026-03-07,71.0,0.0,71.0,71.0,支付宝,到店自提,到店自提,1,已完成,0,0,4
O2026030700991292,S00883,,GK38a13e51c075,0.0,2026-03-07 10:49:00,2026-03-07,68.0,10.45,57.55,57.55,支付宝,外带,外带,1,已完成,1,0,3
O2026030700991293,S00883,M0031169,M0031169,1.0,2026-03-07 16:12:00,2026-03-07,58.0,0.0,58.0,58.0,微信,堂食,堂食,1,已完成,0,0,1
O2026030700991294,S00883,,GK132a47729957,0.0,2026-03-07 16:34:00,2026-03-07,86.0,0.0,86.0,77.4,微信,外卖-自有App,外卖配送,0,已完成,0,0,3
O2026030700991295,S00883,,GK4919b8167f94,0.0,2026-03-07 15:28:00,2026-03-07,58.0,0.0,58.0,52.2,微信,外卖-饿了么,外卖配送,0,已完成,0,0,2
O2026030700991296,S00883,M0012093,M0012093,1.0,2026-03-07 16:28:00,2026-03-07,80.0,25.09,54.91,49.42,微信,外卖-自有App,外卖配送,0,已完成,1,0,3
O2026030700991297,S00883,M0059459,M0059459,1.0,2026-03-07 09:50:00,2026-03-07,142.0,0.0,142.0,142.0,美团,外带,外带,1,已退款,0,0,3
O2026030700991298,S00883,M0006714,M0006714,1.0,2026-03-07 19:13:00,2026-03-07,60.0,0.0,60.0,60.0,微信,堂食,堂食,1,已完成,0,0,2
O2026030700991299,S00883,M0028559,M0028559,1.0,2026-03-07 16:39:00,2026-03-07,52.0,0.0,52.0,52.0,微信,堂食,堂食,1,已完成,0,0,2
O2026030700991300,S00883,,GK768415110052,0.0,2026-03-07 13:19:00,2026-03-07,156.0,0.0,156.0,156.0,美团,堂食,堂食,1,已完成,0,0,3
O2026030700991301,S00883,,GK953bc41224a1,0.0,2026-03-07 11:51:00,2026-03-07,54.0,0.0,54.0,54.0,微信,堂食,堂食,1,已完成,0,0,2
O2026030700991302,S00883,M0019956,M0019956,1.0,2026-03-07 07:50:00,2026-03-07,116.0,29.34,86.66,86.66,支付宝,堂食,堂食,1,已完成,1,0,3
O2026030700991303,S00883,M0062620,M0062620,1.0,2026-03-07 15:26:00,2026-03-07,30.0,0.0,30.0,30.0,微信,外带,外带,1,已完成,0,0,1
O2026030800991304,S00883,,GK7e9363ee8e9e,0.0,2026-03-08 14:44:00,2026-03-08,18.0,0.0,18.0,18.0,微信,外带,外带,1,已完成,0,0,1
O2026030800991305,S00883,,GKf8a23c3f360c,0.0,2026-03-08 12:31:00,2026-03-08,50.0,10.07,39.93,35.94,微信,外卖-自有App,外卖配送,0,已完成,1,0,2
