订单ID,商品序号,商品ID,数量,单价,行金额,是否主商品
O2026050300887670,1,P0044,1,15.0,15.0,1
O2026050300887670,2,P0008,2,30.0,60.0,0
O2026050300887671,1,P0016,1,34.0,34.0,1
O2026050300887671,2,P0019,1,30.0,30.0,0
O2026050300887671,3,P0010,1,28.0,28.0,0
O2026050300887672,1,P0006,2,28.0,56.0,1
O2026050300887672,2,P0010,1,28.0,28.0,0
O2026050300887673,1,P0050,1,8.0,8.0,1
O2026050300887673,2,P0058,1,22.0,22.0,0
O2026050300887674,1,P0073,1,288.0,288.0,1
O2026050300887674,2,P0010,1,28.0,28.0,0
O2026050300887674,3,P0007,1,30.0,30.0,0
O2026050300887675,1,P0049,1,8.0,8.0,1
O2026050300887675,2,P0014,1,26.0,26.0,0
O2026050300887676,1,P0007,1,30.0,30.0,1
O2026050300887676,2,P0009,1,32.0,32.0,0
O2026050300887676,3,P0030,1,26.0,26.0,0
O2026050300887677,1,P0072,1,58.0,58.0,1
O2026050300887677,2,P0013,1,26.0,26.0,0
O2026050300887677,3,P0012,1,32.0,32.0,0
O2026050300887678,1,P0012,2,32.0,64.0,1
O2026050300887679,1,P0052,1,10.0,10.0,1
O2026050300887679,2,P0008,1,30.0,30.0,0
O2026050300887679,3,P0017,2,38.0,76.0,0
O2026050300887679,4,P0016,1,34.0,34.0,0
O2026050300887680,1,P0050,1,8.0,8.0,1
O2026050400887681,1,P0054,1,12.0,12.0,1
O2026050400887681,2,P0020,1,26.0,26.0,0
O2026050400887681,3,P0003,1,22.0,22.0,0
O2026050400887682,1,P0049,1,8.0,8.0,1
O2026050400887682,2,P0015,1,32.0,32.0,0
O2026050400887682,3,P0008,1,30.0,30.0,0
O2026050400887683,1,P0045,2,12.0,24.0,1
O2026050400887683,2,P0010,1,28.0,28.0,0
O2026050400887683,3,P0032,1,24.0,24.0,0
O2026050400887684,1,P0022,1,28.0,28.0,1
O2026050400887684,2,P0007,1,30.0,30.0,0
O2026050400887684,3,P0012,1,32.0,32.0,0
O2026050400887684,4,P0009,1,32.0,32.0,0
O2026050400887685,1,P0043,1,24.0,24.0,1
O2026050400887686,1,P0009,1,32.0,32.0,1
O2026050400887686,2,P0044,1,15.0,15.0,0
O2026050400887686,3,P0050,1,8.0,8.0,0
O2026050400887686,4,P0017,1,38.0,38.0,0
O2026050400887687,1,P0003,2,22.0,44.0,1
O2026050400887687,2,P0008,2,30.0,60.0,0
O2026050400887688,1,P0007,1,30.0,30.0,1
O2026050400887689,1,P0018,1,30.0,30.0,1
O2026050400887689,2,P0008,2,30.0,60.0,0
O2026050400887689,3,P0016,2,34.0,68.0,0
O2026050400887690,1,P0011,1,30.0,30.0,1
O2026050400887690,2,P0003,1,22.0,22.0,0
O2026050400887690,3,P0027,1,18.0,18.0,0
O2026050400887690,4,P0008,1,30.0,30.0,0
O2026050400887691,1,P0007,1,30.0,30.0,1
O2026050400887691,2,P0007,1,30.0,30.0,0
O2026050400887692,1,P0041,1,12.0,12.0,1
O2026050400887692,2,P0024,1,28.0,28.0,0
O2026050400887692,3,P0015,1,32.0,32.0,0
O2026050400887692,4,P0012,1,32.0,32.0,0
O2026050400887693,1,P0037,1,28.0,28.0,1
O2026050400887693,2,P0007,1,30.0,30.0,0
O2026050400887693,3,P0014,1,26.0,26.0,0
O2026050400887694,1,P0007,1,30.0,30.0,1
O2026050400887694,2,P0032,1,24.0,24.0,0
O2026050400887695,1,P0005,1,26.0,26.0,1
O2026050400887696,1,P0031,2,24.0,48.0,1
O2026050400887696,2,P0007,1,30.0,30.0,0
O2026050500887697,1,P0053,1,18.0,18.0,1
O2026050500887697,2,P0015,1,32.0,32.0,0
O2026050500887697,3,P0016,1,34.0,34.0,0
O2026050500887698,1,P0074,1,1280.0,1280.0,1
O2026050500887699,1,P0013,1,26.0,26.0,1
O2026050500887699,2,P0052,1,10.0,10.0,0
O2026050500887700,1,P0005,1,26.0,26.0,1
O2026050500887701,1,P0014,1,26.0,26.0,1
O2026050500887701,2,P0006,1,28.0,28.0,0
O2026050500887701,3,P0011,1,30.0,30.0,0
O2026050500887702,1,P0041,1,12.0,12.0,1
O2026050500887703,1,P0007,1,30.0,30.0,1
O2026050500887703,2,P0012,2,32.0,64.0,0
O2026050500887703,3,P0065,1,118.0,118.0,0
