投资明细ID,门店ID,加盟商ID,投资项,投资金额,投资日期,投资类型,回收性质
INV000001,S00001,F0001,装修工程,525559,2024-05-24,一次性,不可回收
INV000002,S00001,F0001,设备采购,300000,2024-05-24,一次性,可回收
INV000003,S00001,F0001,首批原料,53916,2024-05-24,一次性,不可回收
INV000004,S00001,F0001,人员培训,19370,2024-05-24,一次性,不可回收
INV000005,S00001,F0001,开业营销,46560,2024-05-24,一次性,不可回收
INV000006,S00001,F0001,初始营运资金,127908,2024-05-24,周转金,可回收
INV000007,S00001,F0001,加盟费,150000,2024-05-24,一次性,不可回收
INV000008,S00002,F0002,装修工程,783653,2021-05-30,一次性,不可回收
INV000009,S00002,F0002,设备采购,200000,2021-05-30,一次性,可回收
INV000010,S00002,F0002,首批原料,72415,2021-05-30,一次性,不可回收
INV000011,S00002,F0002,人员培训,33269,2021-05-30,一次性,不可回收
INV000012,S00002,F0002,开业营销,62611,2021-05-30,一次性,不可回收
INV000013,S00002,F0002,初始营运资金,119147,2021-05-30,周转金,可回收
INV000014,S00002,F0002,加盟费,350000,2021-05-30,一次性,不可回收
INV000015,S00005,F0003,装修工程,528746,2023-02-15,一次性,不可回收
INV000016,S00005,F0003,设备采购,300000,2023-02-15,一次性,可回收
INV000017,S00005,F0003,首批原料,51756,2023-02-15,一次性,不可回收
INV000018,S00005,F0003,人员培训,24377,2023-02-15,一次性,不可回收
INV000019,S00005,F0003,开业营销,47089,2023-02-15,一次性,不可回收
INV000020,S00005,F0003,初始营运资金,129829,2023-02-15,周转金,可回收
INV000021,S00005,F0003,加盟费,250000,2023-02-15,一次性,不可回收
INV000022,S00008,F0004,装修工程,509710,2024-11-04,一次性,不可回收
INV000023,S00008,F0004,设备采购,300000,2024-11-04,一次性,可回收
INV000024,S00008,F0004,首批原料,51448,2024-11-04,一次性,不可回收
INV000025,S00008,F0004,人员培训,19729,2024-11-04,一次性,不可回收
INV000026,S00008,F0004,开业营销,42729,2024-11-04,一次性,不可回收
INV000027,S00008,F0004,初始营运资金,90621,2024-11-04,周转金,可回收
INV000028,S00008,F0004,加盟费,80000,2024-11-04,一次性,不可回收
INV000029,S00009,F0005,装修工程,303648,2022-09-08,一次性,不可回收
INV000030,S00009,F0005,设备采购,150000,2022-09-08,一次性,可回收
INV000031,S00009,F0005,首批原料,40145,2022-09-08,一次性,不可回收
INV000032,S00009,F0005,人员培训,11646,2022-09-08,一次性,不可回收
INV000033,S00009,F0005,开业营销,24240,2022-09-08,一次性,不可回收
INV000034,S00009,F0005,初始营运资金,63440,2022-09-08,周转金,可回收
INV000035,S00009,F0005,加盟费,150000,2022-09-08,一次性,不可回收
INV000036,S00011,F0006,装修工程,303086,2021-09-09,一次性,不可回收
INV000037,S00011,F0006,设备采购,450000,2021-09-09,一次性,可回收
INV000038,S00011,F0006,首批原料,42478,2021-09-09,一次性,不可回收
INV000039,S00011,F0006,人员培训,15424,2021-09-09,一次性,不可回收
INV000040,S00011,F0006,开业营销,38314,2021-09-09,一次性,不可回收
INV000041,S00011,F0006,初始营运资金,104671,2021-09-09,周转金,可回收
INV000042,S00011,F0006,加盟费,80000,2021-09-09,一次性,不可回收
INV000043,S00014,F0007,装修工程,323655,2021-07-16,一次性,不可回收
INV000044,S00014,F0007,设备采购,450000,2021-07-16,一次性,可回收
INV000045,S00014,F0007,首批原料,69022,2021-07-16,一次性,不可回收
INV000046,S00014,F0007,人员培训,26951,2021-07-16,一次性,不可回收
INV000047,S00014,F0007,开业营销,50343,2021-07-16,一次性,不可回收
INV000048,S00014,F0007,初始营运资金,113497,2021-07-16,周转金,可回收
INV000049,S00014,F0007,加盟费,350000,2021-07-16,一次性,不可回收
INV000050,S00016,F0008,装修工程,283412,2021-03-31,一次性,不可回收
INV000051,S00016,F0008,设备采购,200000,2021-03-31,一次性,可回收
INV000052,S00016,F0008,首批原料,36482,2021-03-31,一次性,不可回收
INV000053,S00016,F0008,人员培训,18499,2021-03-31,一次性,不可回收
INV000054,S00016,F0008,开业营销,38391,2021-03-31,一次性,不可回收
INV000055,S00016,F0008,初始营运资金,77906,2021-03-31,周转金,可回收
INV000056,S00016,F0008,加盟费,250000,2021-03-31,一次性,不可回收
INV000057,S00018,F0009,装修工程,298471,2025-04-14,一次性,不可回收
INV000058,S00018,F0009,设备采购,450000,2025-04-14,一次性,可回收
INV000059,S00018,F0009,首批原料,39130,2025-04-14,一次性,不可回收
INV000060,S00018,F0009,人员培训,16741,2025-04-14,一次性,不可回收
INV000061,S00018,F0009,开业营销,36006,2025-04-14,一次性,不可回收
INV000062,S00018,F0009,初始营运资金,110190,2025-04-14,周转金,可回收
INV000063,S00018,F0009,加盟费,80000,2025-04-14,一次性,不可回收
INV000064,S00019,F0010,装修工程,283964,2023-11-10,一次性,不可回收
INV000065,S00019,F0010,设备采购,450000,2023-11-10,一次性,可回收
INV000066,S00019,F0010,首批原料,59767,2023-11-10,一次性,不可回收
INV000067,S00019,F0010,人员培训,20731,2023-11-10,一次性,不可回收
INV000068,S00019,F0010,开业营销,43360,2023-11-10,一次性,不可回收
INV000069,S00019,F0010,初始营运资金,101232,2023-11-10,周转金,可回收
INV000070,S00019,F0010,加盟费,250000,2023-11-10,一次性,不可回收
INV000071,S00020,F0011,装修工程,316434,2023-08-10,一次性,不可回收
INV000072,S00020,F0011,设备采购,200000,2023-08-10,一次性,可回收
INV000073,S00020,F0011,首批原料,50041,2023-08-10,一次性,不可回收
INV000074,S00020,F0011,人员培训,21528,2023-08-10,一次性,不可回收
INV000075,S00020,F0011,开业营销,31426,2023-08-10,一次性,不可回收
INV000076,S00020,F0011,初始营运资金,113179,2023-08-10,周转金,可回收
INV000077,S00020,F0011,加盟费,350000,2023-08-10,一次性,不可回收
INV000078,S00021,F0012,装修工程,487916,2025-02-13,一次性,不可回收
INV000079,S00021,F0012,设备采购,300000,2025-02-13,一次性,可回收
INV000080,S00021,F0012,首批原料,69139,2025-02-13,一次性,不可回收
INV000081,S00021,F0012,人员培训,25387,2025-02-13,一次性,不可回收
