目标ID,门店ID,年月,目标指标,目标值
TG0000001,S00001,2026-02-01,销售额,97148
TG0000002,S00001,2026-02-01,新增会员,568
TG0000003,S00001,2026-02-01,会员订单数,608
TG0000004,S00001,2026-03-01,销售额,174852
TG0000005,S00001,2026-03-01,新增会员,514
TG0000006,S00001,2026-03-01,会员订单数,1041
TG0000007,S00001,2026-04-01,销售额,120964
TG0000008,S00001,2026-04-01,新增会员,605
TG0000009,S00001,2026-04-01,会员订单数,1434
TG0000010,S00001,2026-05-01,销售额,75977
TG0000011,S00001,2026-05-01,新增会员,228
TG0000012,S00001,2026-05-01,会员订单数,413
TG0000013,S00002,2026-02-01,销售额,55766
TG0000014,S00002,2026-02-01,新增会员,115
TG0000015,S00002,2026-02-01,会员订单数,337
TG0000016,S00002,2026-03-01,销售额,140186
TG0000017,S00002,2026-03-01,新增会员,506
TG0000018,S00002,2026-03-01,会员订单数,1057
TG0000019,S00002,2026-04-01,销售额,88588
TG0000020,S00002,2026-04-01,新增会员,637
TG0000021,S00002,2026-04-01,会员订单数,1422
TG0000022,S00002,2026-05-01,销售额,60741
TG0000023,S00002,2026-05-01,新增会员,706
TG0000024,S00002,2026-05-01,会员订单数,748
TG0000025,S00003,2026-02-01,销售额,136996
TG0000026,S00003,2026-02-01,新增会员,663
TG0000027,S00003,2026-02-01,会员订单数,829
TG0000028,S00003,2026-03-01,销售额,136110
TG0000029,S00003,2026-03-01,新增会员,595
TG0000030,S00003,2026-03-01,会员订单数,717
TG0000031,S00003,2026-04-01,销售额,142500
TG0000032,S00003,2026-04-01,新增会员,758
TG0000033,S00003,2026-04-01,会员订单数,1019
TG0000034,S00003,2026-05-01,销售额,191985
TG0000035,S00003,2026-05-01,新增会员,398
TG0000036,S00003,2026-05-01,会员订单数,452
TG0000037,S00004,2026-02-01,销售额,66030
TG0000038,S00004,2026-02-01,新增会员,745
TG0000039,S00004,2026-02-01,会员订单数,1495
TG0000040,S00004,2026-03-01,销售额,160946
TG0000041,S00004,2026-03-01,新增会员,312
TG0000042,S00004,2026-03-01,会员订单数,319
TG0000043,S00004,2026-04-01,销售额,50798
TG0000044,S00004,2026-04-01,新增会员,486
TG0000045,S00004,2026-04-01,会员订单数,1386
TG0000046,S00004,2026-05-01,销售额,78856
TG0000047,S00004,2026-05-01,新增会员,492
TG0000048,S00004,2026-05-01,会员订单数,1436
TG0000049,S00005,2026-02-01,销售额,124347
TG0000050,S00005,2026-02-01,新增会员,354
TG0000051,S00005,2026-02-01,会员订单数,503
TG0000052,S00005,2026-03-01,销售额,56749
TG0000053,S00005,2026-03-01,新增会员,374
TG0000054,S00005,2026-03-01,会员订单数,295
TG0000055,S00005,2026-04-01,销售额,62377
TG0000056,S00005,2026-04-01,新增会员,126
TG0000057,S00005,2026-04-01,会员订单数,941
TG0000058,S00005,2026-05-01,销售额,123688
TG0000059,S00005,2026-05-01,新增会员,361
TG0000060,S00005,2026-05-01,会员订单数,275
TG0000061,S00006,2026-02-01,销售额,154878
TG0000062,S00006,2026-02-01,新增会员,405
TG0000063,S00006,2026-02-01,会员订单数,584
TG0000064,S00006,2026-03-01,销售额,183083
TG0000065,S00006,2026-03-01,新增会员,797
TG0000066,S00006,2026-03-01,会员订单数,1266
TG0000067,S00006,2026-04-01,销售额,185714
TG0000068,S00006,2026-04-01,新增会员,768
TG0000069,S00006,2026-04-01,会员订单数,399
TG0000070,S00006,2026-05-01,销售额,61504
TG0000071,S00006,2026-05-01,新增会员,452
TG0000072,S00006,2026-05-01,会员订单数,1244
TG0000073,S00007,2026-02-01,销售额,65241
TG0000074,S00007,2026-02-01,新增会员,584
TG0000075,S00007,2026-02-01,会员订单数,864
TG0000076,S00007,2026-03-01,销售额,126883
TG0000077,S00007,2026-03-01,新增会员,159
TG0000078,S00007,2026-03-01,会员订单数,1364
TG0000079,S00007,2026-04-01,销售额,110292
TG0000080,S00007,2026-04-01,新增会员,609
TG0000081,S00007,2026-04-01,会员订单数,1352
TG0000082,S00007,2026-05-01,销售额,151187
TG0000083,S00007,2026-05-01,新增会员,437
TG0000084,S00007,2026-05-01,会员订单数,238
TG0000085,S00008,2026-02-01,销售额,170258
TG0000086,S00008,2026-02-01,新增会员,460
TG0000087,S00008,2026-02-01,会员订单数,598
TG0000088,S00008,2026-03-01,销售额,57832
TG0000089,S00008,2026-03-01,新增会员,182
TG0000090,S00008,2026-03-01,会员订单数,1457
TG0000091,S00008,2026-04-01,销售额,121252
TG0000092,S00008,2026-04-01,新增会员,672
TG0000093,S00008,2026-04-01,会员订单数,1257
TG0000094,S00008,2026-05-01,销售额,128005
TG0000095,S00008,2026-05-01,新增会员,151
TG0000096,S00008,2026-05-01,会员订单数,1169
TG0000097,S00009,2026-02-01,销售额,135224
TG0000098,S00009,2026-02-01,新增会员,797
TG0000099,S00009,2026-02-01,会员订单数,530
TG0000100,S00009,2026-03-01,销售额,83757
TG0000101,S00009,2026-03-01,新增会员,205
TG0000102,S00009,2026-03-01,会员订单数,690
TG0000103,S00009,2026-04-01,销售额,170052
TG0000104,S00009,2026-04-01,新增会员,363
TG0000105,S00009,2026-04-01,会员订单数,379
TG0000106,S00009,2026-05-01,销售额,80270
TG0000107,S00009,2026-05-01,新增会员,167
TG0000108,S00009,2026-05-01,会员订单数,236
TG0000109,S00010,2026-02-01,销售额,125047
TG0000110,S00010,2026-02-01,新增会员,304
TG0000111,S00010,2026-02-01,会员订单数,1416
TG0000112,S00010,2026-03-01,销售额,71467
TG0000113,S00010,2026-03-01,新增会员,264
TG0000114,S00010,2026-03-01,会员订单数,679
TG0000115,S00010,2026-04-01,销售额,170958
TG0000116,S00010,2026-04-01,新增会员,621
TG0000117,S00010,2026-04-01,会员订单数,979
TG0000118,S00010,2026-05-01,销售额,134850
TG0000119,S00010,2026-05-01,新增会员,258
TG0000120,S00010,2026-05-01,会员订单数,241
TG0000121,S00011,2026-02-01,销售额,50132
TG0000122,S00011,2026-02-01,新增会员,502
TG0000123,S00011,2026-02-01,会员订单数,477
TG0000124,S00011,2026-03-01,销售额,184103
TG0000125,S00011,2026-03-01,新增会员,132
TG0000126,S00011,2026-03-01,会员订单数,351
