会员ID,会员等级,注册渠道,城市,最近消费日期,距今天数,消费次数,消费金额,R分,F分,M分,RFM总分,RFM标签
M0043316,银卡,小程序,杭州,2026-05-19,1,8,576.0,5,2,3,10,一般发展客户
M0043965,银卡,企微邀请,贵阳,2026-05-19,1,7,493.62,5,2,3,10,一般发展客户
M0043322,普卡,门店扫码,长春,2026-05-20,0,44,3917.74,5,4,5,14,重要价值客户
M0041029,普卡,App,佛山,2026-05-12,8,3,134.28,4,1,2,7,一般发展客户
M0065754,金卡,App,泉州,2026-04-24,26,8,697.22,3,2,3,8,中间客群
M0009435,普卡,App,杭州,2026-05-20,0,17,1002.3,5,3,3,11,中间客群
M0014692,金卡,App,北京,2026-05-18,2,33,2192.31,5,4,4,13,重要价值客户
M0061280,普卡,App,宁波,2026-04-09,41,4,284.0,2,2,2,6,一般挽留客户
M0072483,普卡,App,泉州,2026-04-13,37,2,380.91,2,1,2,5,一般挽留客户
M0051552,普卡,企微邀请,唐山,2026-05-17,3,22,2762.6899999999996,5,3,4,12,中间客群
M0015970,黑卡,活动拉新,天津,2026-05-01,19,21,1787.9099999999999,3,3,4,10,中间客群
M0050819,普卡,小程序,苏州,2026-05-20,0,52,7181.570000000001,5,5,5,15,重要价值客户
M0009318,普卡,小程序,石家庄,2026-05-15,5,36,2780.8,5,4,4,13,重要价值客户
M0021476,普卡,App,泉州,2026-04-28,22,4,194.65,3,2,2,7,中间客群
M0032047,黑卡,企微邀请,上海,2026-05-16,4,17,2199.6,5,3,4,12,中间客群
M0036924,银卡,门店扫码,温州,2026-04-27,23,2,115.0,3,1,2,6,中间客群
M0061405,普卡,App,昆明,2026-05-18,2,22,1650.4900000000002,5,3,4,12,中间客群
M0057610,普卡,小程序,珠海,2026-05-19,1,48,2850.3999999999996,5,4,4,13,重要价值客户
M0031916,金卡,门店扫码,杭州,2026-05-17,3,14,2425.48,5,3,4,12,中间客群
M0051432,普卡,App,沈阳,2026-05-18,2,36,2685.3199999999997,5,4,4,13,重要价值客户
M0028073,银卡,小程序,海口,2026-05-17,3,12,1964.97,5,3,4,12,中间客群
M0040347,普卡,活动拉新,昆明,2026-05-19,1,57,5956.589999999999,5,5,5,15,重要价值客户
M0064249,普卡,App,东莞,2026-05-20,0,1,33.96,5,1,1,7,一般发展客户
M0015508,普卡,门店扫码,青岛,2026-05-20,0,3,1528.24,5,1,4,10,重要发展客户
M0072329,普卡,企微邀请,南宁,2026-05-20,0,19,1628.92,5,3,4,12,中间客群
M0065741,普卡,小程序,杭州,2026-05-01,19,22,1680.9699999999998,3,3,4,10,中间客群
M0048065,普卡,小程序,天津,2026-04-30,20,4,264.0,3,2,2,7,中间客群
M0039285,普卡,企微邀请,深圳,2026-05-19,1,17,1296.04,5,3,4,12,中间客群
M0071126,普卡,App,青岛,2026-03-21,60,4,440.0,2,2,3,7,一般挽留客户
M0003394,银卡,小程序,沈阳,2026-04-30,20,6,501.55,3,2,3,8,中间客群
M0046576,银卡,小程序,上海,2026-05-20,0,54,3743.4899999999993,5,5,5,15,重要价值客户
M0022222,银卡,App,大连,2026-05-14,6,23,2006.0300000000002,5,3,4,12,中间客群
M0011518,普卡,App,嘉兴,2026-04-12,38,5,1374.88,2,2,4,8,重要挽留客户
M0070183,普卡,App,沈阳,2026-05-19,1,27,1862.37,5,4,4,13,重要价值客户
M0031487,普卡,App,泉州,2026-05-19,1,34,2051.19,5,4,4,13,重要价值客户
M0044018,普卡,小程序,成都,2026-05-18,2,3,278.0,5,1,2,8,一般发展客户
M0041005,银卡,小程序,重庆,2026-05-20,0,22,1766.74,5,3,4,12,中间客群
M0041442,普卡,小程序,重庆,2026-05-20,0,54,3297.11,5,5,5,15,重要价值客户
M0028675,普卡,小程序,大连,2026-05-19,1,59,4339.42,5,5,5,15,重要价值客户
M0048507,普卡,App,成都,2026-05-18,2,42,2888.3,5,4,4,13,重要价值客户
M0006470,银卡,小程序,杭州,2026-05-16,4,18,1087.63,5,3,3,11,中间客群
M0016732,金卡,小程序,苏州,2026-05-20,0,37,2520.47,5,4,4,13,重要价值客户
M0079980,普卡,App,石家庄,2026-05-17,3,12,664.45,5,3,3,11,中间客群
M0044664,银卡,小程序,南通,2026-05-20,0,54,5099.500000000001,5,5,5,15,重要价值客户
M0073081,银卡,App,常州,2026-05-19,1,8,1101.5400000000002,5,2,3,10,一般发展客户
M0010161,普卡,活动拉新,北京,2026-05-13,7,9,715.2599999999999,5,2,3,10,一般发展客户
M0048558,普卡,小程序,武汉,2026-05-18,2,40,3963.8699999999994,5,4,5,14,重要价值客户
M0068208,普卡,小程序,常州,2026-05-18,2,6,436.0,5,2,3,10,一般发展客户
