同期群月份,同期群人数,留存月份序号,留存月份,留存人数,留存率,是否完整观察期,数据快照日期
2024-12-01,1850,M0,2024-12-01,1850,1,1,2026-06-24
2024-12-01,1850,M1,2025-01-01,956,0.5168,1,2026-06-24
2024-12-01,1850,M2,2025-02-01,796,0.4303,1,2026-06-24
2024-12-01,1850,M3,2025-03-01,668,0.3611,1,2026-06-24
2024-12-01,1850,M4,2025-04-01,565,0.3054,1,2026-06-24
2024-12-01,1850,M5,2025-05-01,409,0.2211,1,2026-06-24
2024-12-01,1850,M6,2025-06-01,345,0.1865,1,2026-06-24
2024-12-01,1850,M7,2025-07-01,295,0.1595,1,2026-06-24
2024-12-01,1850,M8,2025-08-01,257,0.1389,1,2026-06-24
2024-12-01,1850,M9,2025-09-01,228,0.1232,1,2026-06-24
2024-12-01,1850,M10,2025-10-01,204,0.1103,1,2026-06-24
2024-12-01,1850,M11,2025-11-01,204,0.1103,1,2026-06-24
2024-12-01,1850,M12,2025-12-01,204,0.1103,1,2026-06-24
2024-12-01,1850,M13,2026-01-01,204,0.1103,1,2026-06-24
2024-12-01,1850,M14,2026-02-01,204,0.1103,1,2026-06-24
2024-12-01,1850,M15,2026-03-01,204,0.1103,1,2026-06-24
2024-12-01,1850,M16,2026-04-01,204,0.1103,1,2026-06-24
2024-12-01,1850,M17,2026-05-01,204,0.1103,1,2026-06-24
2024-12-01,1850,M18,2026-06-01,,,0,2026-06-24
2025-01-01,1923,M0,2025-01-01,1923,1,1,2026-06-24
2025-01-01,1923,M1,2025-02-01,1009,0.5247,1,2026-06-24
2025-01-01,1923,M2,2025-03-01,843,0.4384,1,2026-06-24
2025-01-01,1923,M3,2025-04-01,709,0.3687,1,2026-06-24
2025-01-01,1923,M4,2025-05-01,526,0.2735,1,2026-06-24
2025-01-01,1923,M5,2025-06-01,441,0.2293,1,2026-06-24
2025-01-01,1923,M6,2025-07-01,374,0.1945,1,2026-06-24
2025-01-01,1923,M7,2025-08-01,322,0.1674,1,2026-06-24
2025-01-01,1923,M8,2025-09-01,282,0.1466,1,2026-06-24
2025-01-01,1923,M9,2025-10-01,212,0.1102,1,2026-06-24
2025-01-01,1923,M10,2025-11-01,212,0.1102,1,2026-06-24
2025-01-01,1923,M11,2025-12-01,212,0.1102,1,2026-06-24
2025-01-01,1923,M12,2026-01-01,212,0.1102,1,2026-06-24
2025-01-01,1923,M13,2026-02-01,212,0.1102,1,2026-06-24
2025-01-01,1923,M14,2026-03-01,212,0.1102,1,2026-06-24
2025-01-01,1923,M15,2026-04-01,212,0.1102,1,2026-06-24
2025-01-01,1923,M16,2026-05-01,212,0.1102,1,2026-06-24
2025-01-01,1923,M17,2026-06-01,,,0,2026-06-24
2025-02-01,1996,M0,2025-02-01,1996,1,1,2026-06-24
2025-02-01,1996,M1,2025-03-01,1063,0.5326,1,2026-06-24
2025-02-01,1996,M2,2025-04-01,891,0.4464,1,2026-06-24
2025-02-01,1996,M3,2025-05-01,672,0.3367,1,2026-06-24
2025-02-01,1996,M4,2025-06-01,562,0.2816,1,2026-06-24
2025-02-01,1996,M5,2025-07-01,474,0.2375,1,2026-06-24
2025-02-01,1996,M6,2025-08-01,404,0.2024,1,2026-06-24
2025-02-01,1996,M7,2025-09-01,350,0.1754,1,2026-06-24
2025-02-01,1996,M8,2025-10-01,229,0.1147,1,2026-06-24
2025-02-01,1996,M9,2025-11-01,220,0.1102,1,2026-06-24
2025-02-01,1996,M10,2025-12-01,220,0.1102,1,2026-06-24
2025-02-01,1996,M11,2026-01-01,220,0.1102,1,2026-06-24
2025-02-01,1996,M12,2026-02-01,220,0.1102,1,2026-06-24
2025-02-01,1996,M13,2026-03-01,220,0.1102,1,2026-06-24
2025-02-01,1996,M14,2026-04-01,220,0.1102,1,2026-06-24
2025-02-01,1996,M15,2026-05-01,220,0.1102,1,2026-06-24
2025-02-01,1996,M16,2026-06-01,,,0,2026-06-24
2025-03-01,2069,M0,2025-03-01,2069,1,1,2026-06-24
2025-03-01,2069,M1,2025-04-01,1119,0.5408,1,2026-06-24
2025-03-01,2069,M2,2025-05-01,857,0.4142,1,2026-06-24
2025-03-01,2069,M3,2025-06-01,714,0.3451,1,2026-06-24
2025-03-01,2069,M4,2025-07-01,599,0.2895,1,2026-06-24
2025-03-01,2069,M5,2025-08-01,507,0.245,1,2026-06-24
2025-03-01,2069,M6,2025-09-01,436,0.2107,1,2026-06-24
2025-03-01,2069,M7,2025-10-01,297,0.1435,1,2026-06-24
2025-03-01,2069,M8,2025-11-01,254,0.1228,1,2026-06-24
2025-03-01,2069,M9,2025-12-01,228,0.1102,1,2026-06-24
2025-03-01,2069,M10,2026-01-01,228,0.1102,1,2026-06-24
2025-03-01,2069,M11,2026-02-01,228,0.1102,1,2026-06-24
2025-03-01,2069,M12,2026-03-01,228,0.1102,1,2026-06-24
2025-03-01,2069,M13,2026-04-01,228,0.1102,1,2026-06-24
2025-03-01,2069,M14,2026-05-01,228,0.1102,1,2026-06-24
2025-03-01,2069,M15,2026-06-01,,,0,2026-06-24
2025-04-01,2142,M0,2025-04-01,2142,1,1,2026-06-24
2025-04-01,2142,M1,2025-05-01,1090,0.5089,1,2026-06-24
2025-04-01,2142,M2,2025-06-01,905,0.4225,1,2026-06-24
2025-04-01,2142,M3,2025-07-01,756,0.3529,1,2026-06-24
2025-04-01,2142,M4,2025-08-01,637,0.2974,1,2026-06-24
2025-04-01,2142,M5,2025-09-01,543,0.2535,1,2026-06-24
2025-04-01,2142,M6,2025-10-01,382,0.1783,1,2026-06-24
2025-04-01,2142,M7,2025-11-01,325,0.1517,1,2026-06-24
2025-04-01,2142,M8,2025-12-01,280,0.1307,1,2026-06-24
2025-04-01,2142,M9,2026-01-01,247,0.1153,1,2026-06-24
2025-04-01,2142,M10,2026-02-01,236,0.1102,1,2026-06-24
2025-04-01,2142,M11,2026-03-01,236,0.1102,1,2026-06-24
2025-04-01,2142,M12,2026-04-01,236,0.1102,1,2026-06-24
2025-04-01,2142,M13,2026-05-01,236,0.1102,1,2026-06-24
2025-04-01,2142,M14,2026-06-01,,,0,2026-06-24
2025-05-01,2215,M0,2025-05-01,2215,1,1,2026-06-24
2025-05-01,2215,M1,2025-06-01,1145,0.5169,1,2026-06-24
2025-05-01,2215,M2,2025-07-01,953,0.4302,1,2026-06-24
2025-05-01,2215,M3,2025-08-01,799,0.3607,1,2026-06-24
2025-05-01,2215,M4,2025-09-01,676,0.3052,1,2026-06-24
2025-05-01,2215,M5,2025-10-01,490,0.2212,1,2026-06-24
2025-05-01,2215,M6,2025-11-01,413,0.1865,1,2026-06-24
2025-05-01,2215,M7,2025-12-01,353,0.1594,1,2026-06-24
2025-05-01,2215,M8,2026-01-01,307,0.1386,1,2026-06-24
