会员ID,会员等级,注册日期,注册渠道,注册门店ID,城市,注册天数,首单日期,末单日期,总订单数,总消费金额,近30天订单,近7天订单,距末单天数,生命周期阶段
M0050969,普卡,2025-05-01,小程序,S00680,珠海,384,2026-03-19,2026-04-06,2,150.0,0,0,44,沉睡
M0050973,普卡,2024-03-21,小程序,S00335,泉州,790,2026-02-25,2026-05-17,25,1624.29,4,1,3,活跃
M0051026,金卡,2026-03-06,企微邀请,S00160,成都,75,2026-03-12,2026-05-04,9,629.13,3,0,16,活跃
M0051033,银卡,2024-08-23,App,S00314,郑州,635,2026-02-19,2026-05-19,22,1994.12,12,4,1,活跃
M0051051,银卡,2026-05-14,门店扫码,S01043,呼和浩特,6,,,0,0.0,0,0,6,新客-未首单
M0051074,金卡,2024-05-16,小程序,S00702,东莞,734,2026-02-23,2026-05-15,19,2684.84,6,1,5,活跃
M0051080,普卡,2025-01-08,门店扫码,S00455,北京,497,2026-02-19,2026-05-17,17,1087.61,5,3,3,活跃
M0051113,普卡,2026-03-04,App,S01078,沈阳,77,2026-03-06,2026-04-24,3,155.0,1,0,26,活跃
M0051118,普卡,2026-04-23,小程序,S01051,常州,27,,,0,0.0,0,0,27,注册未消费
M0051161,金卡,2025-03-22,企微邀请,S00844,武汉,424,2026-03-16,2026-03-16,1,50.0,0,0,65,流失
M0051180,普卡,2025-10-21,小程序,S00288,南昌,211,2026-02-21,2026-04-29,7,552.67,2,0,21,活跃
M0051202,金卡,2024-03-29,企微邀请,S00874,重庆,782,2026-02-23,2026-04-02,4,254.0,0,0,48,沉睡
M0051205,普卡,2024-10-17,门店扫码,S00621,昆明,580,,,0,0.0,0,0,580,注册未消费
M0051311,银卡,2025-06-03,小程序,S00737,宁波,351,2026-02-22,2026-05-19,15,3017.66,4,2,1,活跃
M0051359,普卡,2024-08-16,企微邀请,S00247,常州,642,2026-03-04,2026-03-04,1,88.95,0,0,77,流失
M0051381,普卡,2026-05-09,活动拉新,S00726,西安,11,2026-05-10,2026-05-19,7,402.77,7,5,1,新客-已首单
M0051388,金卡,2025-05-21,企微邀请,S00842,常州,364,2026-03-12,2026-05-17,6,280.51,2,1,3,活跃
M0051404,普卡,2026-03-21,App,S00469,宁波,60,2026-04-25,2026-04-25,1,1328.0,1,0,25,新客-已首单
M0051504,银卡,2024-06-10,企微邀请,S01087,南宁,709,2026-03-12,2026-04-10,2,79.67,0,0,40,沉睡
M0051565,银卡,2026-04-03,App,S01165,深圳,47,2026-04-05,2026-05-18,5,386.87,3,1,2,活跃
M0051664,普卡,2025-07-17,门店扫码,S00456,东莞,307,2026-02-19,2026-05-19,47,3819.43,11,2,1,活跃
M0051730,普卡,2025-03-13,App,S00819,东莞,433,2026-03-03,2026-05-16,4,292.0,1,1,4,活跃
M0051768,银卡,2024-10-21,小程序,S00291,乌鲁木齐,576,2026-02-19,2026-05-20,16,1110.4299999999998,5,2,0,活跃
M0051807,普卡,2024-12-25,小程序,S00495,大连,511,2026-03-08,2026-04-05,7,1327.06,0,0,45,沉睡
M0051815,普卡,2025-07-20,门店扫码,S00877,杭州,304,2026-03-23,2026-05-11,2,146.0,1,0,9,一般活跃
M0051853,普卡,2025-12-10,小程序,S01070,南宁,161,2026-03-22,2026-05-16,4,188.98,1,1,4,活跃
M0051882,金卡,2026-02-11,门店扫码,S00523,深圳,98,2026-02-25,2026-05-19,8,1632.29,3,1,1,活跃
M0051913,金卡,2024-12-27,活动拉新,S01089,中山,509,2026-03-02,2026-04-24,4,269.85,1,0,26,活跃
M0051923,普卡,2026-03-29,门店扫码,S00695,济南,52,2026-04-04,2026-04-05,2,190.0,0,0,45,沉睡
M0051937,银卡,2026-02-26,小程序,S00951,南宁,83,2026-03-10,2026-04-29,6,458.0,1,0,21,活跃
M0051963,普卡,2025-05-01,小程序,S00744,广州,384,2026-03-26,2026-05-07,4,236.0,3,0,13,活跃
M0051975,普卡,2025-11-15,活动拉新,S00732,广州,186,2026-04-01,2026-04-01,1,64.0,0,0,49,沉睡
M0052031,普卡,2025-06-10,App,S00030,北京,344,2026-02-21,2026-05-20,18,1144.03,8,2,0,活跃
M0052041,金卡,2026-03-04,App,S00151,烟台,77,2026-03-07,2026-05-13,15,1233.05,4,1,7,活跃
M0052052,银卡,2026-04-01,小程序,S00744,广州,49,2026-04-01,2026-04-17,3,1742.23,0,0,33,沉睡
M0052056,普卡,2025-01-19,小程序,S01013,南通,486,2026-03-22,2026-03-22,1,90.0,0,0,59,沉睡
M0052064,普卡,2026-03-19,小程序,S00335,泉州,62,2026-04-14,2026-05-18,2,146.0,1,1,2,一般活跃
M0052078,银卡,2024-10-09,小程序,S00099,珠海,588,2026-03-16,2026-05-06,2,138.0,1,0,14,一般活跃
M0052080,普卡,2024-06-03,门店扫码,S00346,贵阳,716,2026-03-15,2026-04-25,8,484.03,1,0,25,活跃
M0052132,普卡,2026-02-20,小程序,S00434,合肥,89,2026-03-02,2026-05-20,6,367.56,3,1,0,活跃
M0052147,银卡,2025-12-07,活动拉新,S00690,深圳,164,2026-03-21,2026-05-15,4,275.0,3,1,5,活跃
M0052198,银卡,2026-02-27,App,S00321,上海,82,2026-05-05,2026-05-07,2,212.0,2,0,13,新客-已首单
M0052220,普卡,2024-05-22,企微邀请,S00706,青岛,728,2026-03-12,2026-04-11,2,143.05,0,0,39,沉睡
M0052283,普卡,2025-01-04,App,S01013,南通,501,2026-04-04,2026-05-20,3,215.53,1,1,0,活跃
M0052315,银卡,2025-01-06,活动拉新,S00156,绵阳,499,2026-02-21,2026-05-20,54,4646.379999999999,18,5,0,活跃
