加盟商ID,加盟商名称,加盟商类型,签约省份,合作状态,信用等级,入网日期,月份,经营门店数,月总营收,月总堂食营收,月总外卖营收,月总订单数,月总毛利,月总店面贡献利润,月总单店净利润,平均贡献利润率,平均堂食占比,亏损门店数,盈利门店数,门均营收,门均贡献利润,亏损率,经营健康等级,续约风险
F0069,加盟商0069,个体投资人,江苏,正常合作,A,2021-11-28,2026-05,4,92328.41999999998,59184.71,33143.71,977,47640.76999999999,12671.98999999999,8235.499999999995,0.150208266726393,0.652440168184529,0,4,23082.104999999996,3167.9974999999977,0.0,健康,低
F0112,加盟商0112,个体投资人,浙江,正常合作,C,2024-08-14,2026-04,4,158447.22999999995,106992.02999999997,51455.200000000004,1801,82974.32999999996,26955.239999999954,20005.489999999947,0.190628841133993,0.668246280229789,0,4,39611.80749999999,6738.809999999989,0.0,健康,低
F0072,加盟商0072,个体投资人,山东,正常合作,B,2022-11-27,2026-02,4,42866.6,25413.36,17453.239999999998,511,21731.67,4067.2,2089.709999999999,0.102658307961893,0.53850567489432,1,3,10716.65,1016.8,0.25,关注,低
F0056,加盟商0056,个体投资人,陕西,正常合作,B,2025-06-18,2026-04,4,135231.5,79429.76999999999,55801.729999999996,1553,70182.21,15102.190000000013,8790.219999999994,0.144674401197827,0.539788086586739,1,3,33807.875,3775.5475000000033,0.25,健康,低
F0007,加盟商0007,餐饮集团子公司,北京,正常合作,A,2022-08-10,2026-02,4,34818.45,24649.11,10169.34,450,18863.53,4172.989999999998,2684.3499999999985,0.134724524481141,0.71301234856628,0,4,8704.6125,1043.2474999999995,0.0,健康,低
F0087,加盟商0087,个体投资人,陕西,正常合作,D,2022-03-30,2026-04,4,148770.73,86600.14000000001,62170.590000000004,1665,75332.69000000002,26533.400000000016,19760.62000000001,0.189164325706161,0.538312594032521,0,4,37192.6825,6633.350000000004,0.0,健康,低
F0003,加盟商0003,个体投资人,四川,正常合作,B,2021-08-09,2026-04,4,116052.35999999999,83620.38999999998,32431.969999999994,1254,63927.72999999998,24702.219999999983,19725.359999999986,0.207455066310144,0.722561725490854,0,4,29013.089999999997,6175.554999999996,0.0,标杆,低
F0137,加盟商0137,餐饮集团子公司,江苏,正常合作,A,2025-07-29,2026-03,3,54167.560000000005,34626.520000000004,19541.04,719,28805.940000000006,15977.130000000005,13646.690000000004,0.293395054719708,0.64107776879908,0,3,18055.853333333336,5325.710000000002,0.0,标杆,低
F0095,加盟商0095,区域代理,上海,正常合作,A,2021-05-05,2026-05,4,106785.65000000001,67063.7,39721.950000000004,1255,55392.91,26010.95,21106.110000000004,0.248262087766025,0.626650968509389,0,4,26696.412500000002,6502.7375,0.0,标杆,低
F0062,加盟商0062,区域代理,重庆,续约预警,C,2023-08-05,2026-04,4,81722.28000000001,49691.2,32031.079999999998,1017,40662.91000000002,23805.740000000016,20191.34000000001,0.280538775809184,0.555840432789601,0,4,20430.570000000003,5951.435000000004,0.0,标杆,高
F0091,加盟商0091,个体投资人,湖北,正常合作,A,2023-08-31,2026-02,4,42482.96,30855.52,11627.439999999999,465,23512.7,5785.200000000003,3985.290000000001,0.168409742651396,0.766948018769043,0,4,10620.74,1446.3000000000006,0.0,健康,低
F0040,加盟商0040,区域代理,重庆,正常合作,C,2023-10-20,2026-05,4,71354.76,36241.990000000005,35112.770000000004,855,34463.25,16812.74,13510.710000000001,0.225793321030195,0.48269158526689,0,4,17838.69,4203.185,0.0,标杆,低
F0026,加盟商0026,个体投资人,重庆,正常合作,B,2023-11-30,2026-03,4,123657.51,69139.02,54518.48999999999,1507,60603.61,8808.719999999992,3656.149999999998,0.073406227116612,0.550979479537744,1,3,30914.3775,2202.179999999998,0.25,关注,中
F0018,加盟商0018,个体投资人,陕西,关注名单,A,2024-01-28,2026-04,4,144130.53999999998,106134.23,37996.31,1416,76549.41999999998,22806.169999999976,16410.319999999978,0.151143308645841,0.733370877604747,1,3,36032.634999999995,5701.542499999994,0.25,健康,中
F0053,加盟商0053,个体投资人,上海,正常合作,C,2023-11-22,2026-02,4,33820.340000000004,17167.75,16652.59,381,17002.13,9001.280000000002,7475.220000000003,0.283032035589038,0.530902567758652,0,4,8455.085000000001,2250.3200000000006,0.0,标杆,低
F0061,加盟商0061,个体投资人,湖北,正常合作,B,2023-01-14,2026-03,4,118012.72,74277.49999999999,43735.219999999994,1356,62073.98999999999,28491.259999999995,23487.32999999999,0.252011777507062,0.621926369905155,0,4,29503.18,7122.814999999999,0.0,标杆,低
F0131,加盟商0131,个体投资人,四川,续约预警,B,2023-08-16,2026-05,4,81902.09999999999,53657.26000000001,28244.840000000004,976,45439.97,19628.849999999995,15685.130000000001,0.23684487826504,0.633996059853697,0,4,20475.524999999998,4907.212499999999,0.0,标杆,高
F0002,加盟商0002,区域代理,四川,正常合作,B,2025-03-19,2026-05,5,140339.98,81184.63,59155.350000000006,1552,70963.98999999999,26387.339999999993,20263.389999999992,0.190346217688626,0.54096576712697,0,5,28067.996000000003,5277.467999999999,0.0,健康,低
F0087,加盟商0087,个体投资人,陕西,正常合作,D,2022-03-30,2026-05,4,99679.51000000002,59320.220000000016,40359.28999999999,1114,52869.04000000003,20101.320000000025,15726.240000000029,0.207123445548368,0.553064718161419,0,4,24919.877500000006,5025.330000000006,0.0,标杆,低
