门店ID,加盟商ID,门店类型,签约日期,合同期年数,到期日,分成模型,续约状态,总投资额,可回收投资,不可回收投资,投资起始日,经营月数,累计营收,累计店面贡献利润,月均店面贡献利润,平均贡献利润率,累计回本率,预计完整回本月数,已开业月数,剩余回本月数,回本状态,预计完整回本日期,招商承诺回本月数,回本偏离度,回本风险等级,标杆门店标志,数据快照日期
S00014,F0007,商场店,2021-07-16,5,2026-07-15,流水分成,未到期,1383468,563497,819971,2021-07-16,4,89545.68000000001,1356.7100000000082,339.17750000000206,0.017388891569519,0.000981,4079,59,4020,测算中,2361-06-16,24.0,4055,严重,FALSE,2026-06-24
S00108,F0048,外卖卫星店,2023-02-25,3,2026-02-24,固定加盟费+流水分成,已续约,1226616,244915,981701,2023-02-25,4,77306.82,16291.860000000008,4072.965000000002,0.218979179606861,0.013282,302,39,263,测算中,2048-04-25,12.0,290,严重,FALSE,2026-06-24
S00167,F0070,社区店,2025-06-05,3,2028-06-04,流水分成,未到期,887228,219172,668056,2025-06-05,4,63212.790000000015,15573.000000000018,3893.2500000000045,0.252284123693409,0.017552,228,12,216,测算中,2044-06-05,18.0,210,严重,FALSE,2026-06-24
S00262,F0109,社区店,2023-08-27,5,2028-08-25,固定加盟费+流水分成,未到期,1585728,292656,1293072,2023-08-27,4,69640.02,18006.36,4501.59,0.253600287367535,0.011355,353,33,320,测算中,2053-01-27,18.0,335,严重,FALSE,2026-06-24
S00345,F0010,快取店,2022-05-18,8,2030-05-16,固定加盟费+流水分成,未到期,1627621,577646,1049975,2022-05-18,4,122363.55999999998,36963.38999999999,9240.847499999998,0.297615757671287,0.02271,177,49,128,测算中,2037-02-18,15.0,162,严重,FALSE,2026-06-24
S00385,F0026,写字楼店,2023-02-08,5,2028-02-07,固定加盟费+流水分成,未到期,985964,246649,739315,2023-02-08,4,98396.49,11478.87,2869.7175,0.116924808331209,0.011642,344,40,304,测算中,2051-10-08,22.0,322,严重,FALSE,2026-06-24
S00405,F0037,写字楼店,2022-02-28,8,2030-02-26,流水分成,未到期,911474,271994,639480,2022-02-28,4,100413.63,13943.460000000003,3485.8650000000007,0.148878014042914,0.015298,262,51,211,测算中,2043-12-28,22.0,240,严重,FALSE,2026-06-24
S00577,F0124,外卖卫星店,2021-11-04,3,2024-11-03,固定加盟费+流水分成,已退出,844149,373623,470526,2021-11-04,4,46574.56,9951.059999999998,2487.7649999999994,0.211009920379245,0.011788,340,55,285,测算中,2050-03-04,12.0,328,严重,FALSE,2026-06-24
S00649,F0021,社区店,2022-01-11,3,2025-01-10,流水分成,已续约,1599932,574273,1025659,2022-01-11,4,67499.18,17571.180000000004,4392.795000000001,0.260713479417705,0.010982,365,53,312,测算中,2052-06-11,18.0,347,严重,FALSE,2026-06-24
S00889,F0136,学校店,2024-01-23,3,2027-01-22,流水分成,未到期,1260831,273236,987595,2024-01-23,4,81083.69,17917.850000000006,4479.4625000000015,0.219445356734565,0.014211,282,29,253,测算中,2047-07-23,20.0,262,严重,FALSE,2026-06-24
S00899,F0140,快取店,2021-03-23,8,2029-03-21,纯固定加盟费,未到期,958671,395731,562940,2021-03-23,4,64249.07,19821.730000000003,4955.432500000001,0.320341317101634,0.020676,194,63,131,测算中,2037-05-23,15.0,179,严重,FALSE,2026-06-24
S00983,F0036,写字楼店,2023-03-05,3,2026-03-04,固定加盟费+流水分成,已续约,1295681,572722,722959,2023-03-05,4,137144.93,20839.460000000014,5209.865000000003,0.148577641929426,0.016084,249,39,210,测算中,2043-12-05,22.0,227,严重,FALSE,2026-06-24
S01141,F0114,外卖卫星店,2026-03-22,8,2034-03-20,固定加盟费+流水分成,未到期,1282188,550586,731602,2026-03-22,2,19905.649999999998,3304.6799999999967,1652.3399999999983,0.178454180180213,0.002577,776,3,773,测算中,2090-11-22,12.0,764,严重,FALSE,2026-06-24
S00234,F0092,商场店,2023-12-25,8,2031-12-23,流水分成,未到期,1390540,429924,960616,2023-12-25,4,144523.28999999998,1509.0899999999856,377.2724999999964,-0.010072193876198,0.001085,3686,29,3657,测算中,2331-02-25,24.0,3662,严重,FALSE,2026-06-24
S00301,F0125,商场店,2024-06-19,8,2032-06-17,纯固定加盟费,未到期,991845,223732,768113,2024-06-19,4,78627.62000000001,7191.119999999999,1797.7799999999997,0.086493135126375,0.00725,552,24,528,测算中,2070-06-19,24.0,528,严重,FALSE,2026-06-24
S00382,F0024,快取店,2022-07-13,5,2027-07-12,固定加盟费+流水分成,未到期,1337060,332969,1004091,2022-07-13,4,69450.87,21412.959999999995,5353.239999999999,0.294253339538071,0.016015,250,47,203,测算中,2043-05-13,15.0,235,严重,FALSE,2026-06-24
S00520,F0094,外卖卫星店,2022-03-28,3,2025-03-27,流水分成,已续约,948258,225166,723092,2022-03-28,4,57898.999999999985,12544.909999999987,3136.227499999997,0.214562055124633,0.013229,303,50,253,测算中,2047-06-28,12.0,291,严重,FALSE,2026-06-24
S00628,F0011,写字楼店,2024-06-16,3,2027-06-16,流水分成,未到期,767855,226829,541026,2024-06-16,4,102101.58999999998,16485.999999999985,4121.499999999996,0.173760696721338,0.02147,187,24,163,测算中,2040-01-16,22.0,165,严重,FALSE,2026-06-24
S00851,F0118,快取店,2024-01-07,8,2032-01-05,流水分成,未到期,1074290,411166,663124,2024-01-07,4,84212.07,25502.05000000001,6375.512500000003,0.302153741419293,0.023739,169,29,140,测算中,2038-02-07,15.0,154,严重,FALSE,2026-06-24
