门店类型,月份,成本科目ID,成本科目名称,成本大类,门店数,成本总额,营收总额,平均占比,中位数占比,P90占比,最低占比,最高占比,科目营收占比,离散度,P90vsP50差异
交通店,2026-02-01,CST_DEP,设备折旧摊销,固定成本,39,10760.359999999999,430166.6499999999,0.024889743589744,0.0246,0.0295,0.02,0.0299,0.025014398489516,0.0099,0.0049
交通店,2026-02-01,CST_HQ,总部分摊,固定成本,39,14611.850000000002,430166.6499999999,0.033984615384615,0.0405,0.0495,0.0177,0.0498,0.033967881982483,0.0321,0.009
交通店,2026-02-01,CST_LBR,门店人工成本,半固定成本,39,78470.15999999999,430166.6499999999,0.181592307692308,0.181,0.1975,0.161,0.1985,0.182418046587294,0.0375,0.0165
交通店,2026-02-01,CST_PKG,包材成本,变动成本,39,6543.290000000002,430166.6499999999,0.015079487179487,0.0153,0.0177,0.0112,0.0186,0.01521105831891,0.0074,0.0024
交通店,2026-02-01,CST_PLAT,平台抽佣,变动成本,39,31995.149999999998,430166.6499999999,0.072487179487179,0.075,0.0988,0.0362,0.1203,0.074378499588473,0.0841,0.0238
交通店,2026-02-01,CST_RAW,原材料成本,变动成本,39,161977.49000000005,430166.6499999999,0.376133333333333,0.3743,0.4138,0.3403,0.4166,0.376545903779384,0.0763,0.0395
交通店,2026-02-01,CST_RENT,房租物业,固定成本,39,156776.37,430166.6499999999,0.358123076923077,0.3508,0.4376,0.2857,0.4646,0.36445496181538,0.1789,0.0868
交通店,2026-02-01,CST_UTL,能耗水电气,半固定成本,39,14686.949999999997,430166.6499999999,0.033717948717949,0.0339,0.0436,0.0223,0.0457,0.034142465484016,0.0234,0.0097
交通店,2026-03-01,CST_DEP,设备折旧摊销,固定成本,40,35639.53,1395459.85,0.0257025,0.0261,0.0292,0.0205,0.0297,0.025539631254887,0.0092,0.0031
交通店,2026-03-01,CST_HQ,总部分摊,固定成本,40,47488.67,1395459.85,0.034385,0.0414,0.0492,0.015,0.0497,0.034030839368112,0.0347,0.0078
交通店,2026-03-01,CST_LBR,门店人工成本,半固定成本,40,250791.43000000002,1395459.85,0.1790125,0.174,0.1973,0.1609,0.1988,0.179719559828253,0.0379,0.0233
交通店,2026-03-01,CST_PKG,包材成本,变动成本,40,20202.619999999995,1395459.85,0.014475,0.0147,0.0161,0.0108,0.018,0.014477392524049,0.0072,0.0014
交通店,2026-03-01,CST_PLAT,平台抽佣,变动成本,40,93827.26999999999,1395459.85,0.067455,0.0689,0.086,0.0349,0.1062,0.067237527471679,0.0713,0.0171
交通店,2026-03-01,CST_RAW,原材料成本,变动成本,40,536705.2100000001,1395459.85,0.3823325,0.3828,0.4142,0.3413,0.419,0.384608134730641,0.0777,0.0314
交通店,2026-03-01,CST_RENT,房租物业,固定成本,40,499182.9599999999,1395459.85,0.3526,0.3473,0.3962,0.2801,0.4642,0.357719328148352,0.1841,0.0489
交通店,2026-03-01,CST_UTL,能耗水电气,半固定成本,40,45673.67999999999,1395459.85,0.0330375,0.0325,0.0435,0.0221,0.0466,0.032730200012562,0.0245,0.011
交通店,2026-04-01,CST_DEP,设备折旧摊销,固定成本,40,32135.23,1332751.32,0.02435,0.0232,0.0287,0.02,0.0299,0.02411194760625,0.0099,0.0055
交通店,2026-04-01,CST_HQ,总部分摊,固定成本,40,44586.49000000002,1332751.32,0.03421,0.0409,0.0489,0.0153,0.0498,0.03345447071101,0.0345,0.008
交通店,2026-04-01,CST_LBR,门店人工成本,半固定成本,40,236922.67999999996,1332751.32,0.177975,0.176,0.1944,0.1612,0.1991,0.17776960821168,0.0379,0.0184
交通店,2026-04-01,CST_PKG,包材成本,变动成本,40,18826.56,1332751.32,0.0141825,0.0138,0.0157,0.0119,0.0184,0.014126086177878,0.0065,0.0019
交通店,2026-04-01,CST_PLAT,平台抽佣,变动成本,40,90186.26000000001,1332751.32,0.067735,0.0667,0.0819,0.0458,0.1014,0.067669233297026,0.0556,0.0152
交通店,2026-04-01,CST_RAW,原材料成本,变动成本,40,500967.44999999995,1332751.32,0.3766,0.3748,0.4044,0.3405,0.4199,0.375889667098585,0.0794,0.0296
