门店ID,门店名称,城市,城市层级,店型,商圈,新店标签,是否90天内新店,开业日期,业务日期,订单数,销售额,会员订单数,开业天数,爬坡阶段,门店成长类型,平均客单价,会员订单占比
S00001,南昌社区0001店,南昌,二线,标准店,社区,非新店,FALSE,2024-06-23,2026-02-27,7,668.0,2,614,Comp老店,Comp老店,95.42857142857143,0.285714285714286
S00001,南昌社区0001店,南昌,二线,标准店,社区,非新店,FALSE,2024-06-23,2026-03-03,6,446.33,3,618,Comp老店,Comp老店,74.38833333333334,0.5
S00001,南昌社区0001店,南昌,二线,标准店,社区,非新店,FALSE,2024-06-23,2026-03-10,6,389.49,4,625,Comp老店,Comp老店,64.915,0.666666666666667
S00001,南昌社区0001店,南昌,二线,标准店,社区,非新店,FALSE,2024-06-23,2026-03-31,8,598.11,6,646,Comp老店,Comp老店,74.76375,0.75
S00002,广州购物中心0002店,广州,一线,快取店,购物中心,非新店,FALSE,2021-07-01,2026-03-20,18,1148.1,13,1723,Comp老店,Comp老店,63.78333333333333,0.722222222222222
S00002,广州购物中心0002店,广州,一线,快取店,购物中心,非新店,FALSE,2021-07-01,2026-03-28,19,1356.3300000000002,10,1731,Comp老店,Comp老店,71.38578947368421,0.526315789473684
S00002,广州购物中心0002店,广州,一线,快取店,购物中心,非新店,FALSE,2021-07-01,2026-04-04,17,1238.72,12,1738,Comp老店,Comp老店,72.86588235294118,0.705882352941177
S00002,广州购物中心0002店,广州,一线,快取店,购物中心,非新店,FALSE,2021-07-01,2026-04-18,17,990.1099999999999,12,1752,Comp老店,Comp老店,58.241764705882346,0.705882352941177
S00002,广州购物中心0002店,广州,一线,快取店,购物中心,非新店,FALSE,2021-07-01,2026-04-19,17,881.0899999999999,10,1753,Comp老店,Comp老店,51.82882352941176,0.588235294117647
S00002,广州购物中心0002店,广州,一线,快取店,购物中心,非新店,FALSE,2021-07-01,2026-05-05,21,1428.0700000000002,14,1769,Comp老店,Comp老店,68.00333333333334,0.666666666666667
S00003,上海CBD0003店,上海,一线,标准店,CBD,非新店,FALSE,2022-01-04,2026-05-13,12,788.58,7,1590,Comp老店,Comp老店,65.715,0.583333333333333
S00004,福州购物中心0004店,福州,二线,快取店,购物中心,非新店,FALSE,2021-09-22,2026-04-29,7,412.93,2,1680,Comp老店,Comp老店,58.99,0.285714285714286
S00005,太原写字楼0005店,太原,二线,标准店,写字楼,非新店,FALSE,2023-04-10,2026-03-21,11,2904.95,8,1076,Comp老店,Comp老店,264.0863636363636,0.727272727272727
S00006,杭州写字楼0006店,杭州,新一线,快取店,写字楼,非新店,FALSE,2025-06-08,2026-03-19,11,598.37,6,284,Comp老店,次新店,54.39727272727273,0.545454545454546
S00006,杭州写字楼0006店,杭州,新一线,快取店,写字楼,非新店,FALSE,2025-06-08,2026-03-20,17,1576.0,8,285,Comp老店,次新店,92.70588235294117,0.470588235294118
S00006,杭州写字楼0006店,杭州,新一线,快取店,写字楼,非新店,FALSE,2025-06-08,2026-04-22,15,921.18,8,318,Comp老店,次新店,61.412,0.533333333333333
S00006,杭州写字楼0006店,杭州,新一线,快取店,写字楼,非新店,FALSE,2025-06-08,2026-04-25,16,3575.0599999999995,8,321,Comp老店,次新店,223.44124999999997,0.5
S00007,深圳购物中心0007店,深圳,一线,标准店,购物中心,非新店,FALSE,2024-08-08,2026-04-06,15,1067.85,7,606,Comp老店,Comp老店,71.19,0.466666666666667
S00007,深圳购物中心0007店,深圳,一线,标准店,购物中心,非新店,FALSE,2024-08-08,2026-05-09,12,1620.8999999999999,6,639,Comp老店,Comp老店,135.075,0.5
S00007,深圳购物中心0007店,深圳,一线,标准店,购物中心,非新店,FALSE,2024-08-08,2026-05-15,17,1050.57,12,645,Comp老店,Comp老店,61.798235294117646,0.705882352941177
S00008,广州校园0008店,广州,一线,标准店,校园,非新店,FALSE,2024-12-15,2026-04-05,16,1363.96,11,476,Comp老店,Comp老店,85.2475,0.6875
S00008,广州校园0008店,广州,一线,标准店,校园,非新店,FALSE,2024-12-15,2026-04-21,11,777.0400000000001,8,492,Comp老店,Comp老店,70.64,0.727272727272727
S00008,广州校园0008店,广州,一线,标准店,校园,非新店,FALSE,2024-12-15,2026-05-08,13,766.07,10,509,Comp老店,Comp老店,58.92846153846154,0.769230769230769
S00008,广州校园0008店,广州,一线,标准店,校园,非新店,FALSE,2024-12-15,2026-05-10,14,796.23,11,511,Comp老店,Comp老店,56.87357142857143,0.785714285714286
S00009,武汉CBD0009店,武汉,新一线,快取店,CBD,非新店,FALSE,2022-11-24,2026-03-16,13,1164.5,6,1208,Comp老店,Comp老店,89.57692307692308,0.461538461538462
S00009,武汉CBD0009店,武汉,新一线,快取店,CBD,非新店,FALSE,2022-11-24,2026-04-29,14,1117.27,7,1252,Comp老店,Comp老店,79.80499999999999,0.5
S00010,哈尔滨购物中心0010店,哈尔滨,二线,标准店,购物中心,非新店,FALSE,2022-04-29,2026-02-24,10,545.18,3,1397,Comp老店,Comp老店,54.517999999999994,0.3
S00010,哈尔滨购物中心0010店,哈尔滨,二线,标准店,购物中心,非新店,FALSE,2022-04-29,2026-03-04,9,710.87,4,1405,Comp老店,Comp老店,78.98555555555555,0.444444444444444
S00010,哈尔滨购物中心0010店,哈尔滨,二线,标准店,购物中心,非新店,FALSE,2022-04-29,2026-05-11,9,752.0999999999999,6,1473,Comp老店,Comp老店,83.56666666666666,0.666666666666667
S00010,哈尔滨购物中心0010店,哈尔滨,二线,标准店,购物中心,非新店,FALSE,2022-04-29,2026-05-20,10,724.24,5,1482,Comp老店,Comp老店,72.424,0.5
S00011,佛山校园0011店,佛山,新一线,快取店,校园,非新店,FALSE,2021-11-07,2026-03-14,12,902.75,6,1588,Comp老店,Comp老店,75.22916666666667,0.5
S00011,佛山校园0011店,佛山,新一线,快取店,校园,非新店,FALSE,2021-11-07,2026-03-29,9,1787.42,6,1603,Comp老店,Comp老店,198.60222222222222,0.666666666666667
S00011,佛山校园0011店,佛山,新一线,快取店,校园,非新店,FALSE,2021-11-07,2026-04-24,8,380.63,2,1629,Comp老店,Comp老店,47.57875,0.25
S00012,海口社区0012店,海口,二线,外卖店,社区,非新店,FALSE,2022-10-29,2026-03-30,5,192.0,1,1248,Comp老店,Comp老店,38.4,0.2
S00012,海口社区0012店,海口,二线,外卖店,社区,非新店,FALSE,2022-10-29,2026-04-03,6,960.36,3,1252,Comp老店,Comp老店,160.06,0.5
S00012,海口社区0012店,海口,二线,外卖店,社区,非新店,FALSE,2022-10-29,2026-05-04,5,250.11,2,1283,Comp老店,Comp老店,50.022000000000006,0.4
S00013,泉州交通枢纽0013店,泉州,二线,标准店,交通枢纽,非新店,FALSE,2022-03-13,2026-05-01,10,3313.4799999999996,4,1510,Comp老店,Comp老店,331.34799999999996,0.4
S00014,南宁购物中心0014店,南宁,二线,标准店,购物中心,非新店,FALSE,2021-08-27,2026-04-15,13,885.2099999999999,8,1692,Comp老店,Comp老店,68.09307692307692,0.615384615384615
S00014,南宁购物中心0014店,南宁,二线,标准店,购物中心,非新店,FALSE,2021-08-27,2026-04-22,10,580.05,6,1699,Comp老店,Comp老店,58.004999999999995,0.6
S00014,南宁购物中心0014店,南宁,二线,标准店,购物中心,非新店,FALSE,2021-08-27,2026-05-16,9,507.73,7,1723,Comp老店,Comp老店,56.41444444444445,0.777777777777778
S00015,天津CBD0015店,天津,新一线,标准店,CBD,非新店,FALSE,2022-12-05,2026-03-15,17,1131.62,11,1196,Comp老店,Comp老店,66.56588235294117,0.647058823529412
S00015,天津CBD0015店,天津,新一线,标准店,CBD,非新店,FALSE,2022-12-05,2026-04-18,24,2020.2399999999998,13,1230,Comp老店,Comp老店,84.17666666666666,0.541666666666667
S00017,大连购物中心0017店,大连,二线,标准店,购物中心,非新店,FALSE,2023-12-17,2026-04-17,9,634.59,5,852,Comp老店,Comp老店,70.51,0.555555555555556
S00017,大连购物中心0017店,大连,二线,标准店,购物中心,非新店,FALSE,2023-12-17,2026-04-18,12,579.3199999999999,6,853,Comp老店,Comp老店,48.276666666666664,0.5
S00017,大连购物中心0017店,大连,二线,标准店,购物中心,非新店,FALSE,2023-12-17,2026-05-07,11,936.38,5,872,Comp老店,Comp老店,85.12545454545455,0.454545454545454
S00018,北京购物中心0018店,北京,一线,快取店,购物中心,非新店,FALSE,2025-05-23,2026-03-31,9,522.64,2,312,Comp老店,次新店,58.07111111111111,0.222222222222222
S00019,武汉校园0019店,武汉,新一线,快取店,校园,非新店,FALSE,2023-12-29,2026-05-13,9,601.53,6,866,Comp老店,Comp老店,66.83666666666666,0.666666666666667
S00020,无锡写字楼0020店,无锡,二线,快取店,写字楼,非新店,FALSE,2023-09-18,2026-02-22,15,729.4599999999999,9,888,Comp老店,Comp老店,48.63066666666666,0.6
S00020,无锡写字楼0020店,无锡,二线,快取店,写字楼,非新店,FALSE,2023-09-18,2026-02-27,7,520.38,2,893,Comp老店,Comp老店,74.34,0.285714285714286
S00021,南宁社区0021店,南宁,二线,标准店,社区,非新店,FALSE,2025-04-28,2026-03-20,11,798.36,7,326,Comp老店,次新店,72.57818181818182,0.636363636363636
S00022,宁波购物中心0022店,宁波,新一线,标准店,购物中心,非新店,FALSE,2025-03-23,2026-05-16,14,1134.6100000000001,10,419,Comp老店,Comp老店,81.04357142857144,0.714285714285714
