会员ID,会员等级,城市,近30天堂食,近30天外卖,前60天堂食,前60天外卖,迁移类型
M0008521,银卡,北京,17,5,21,15,混合渠道
M0012295,银卡,重庆,9,10,23,14,混合渠道
M0049698,普卡,海口,7,2,12,5,混合渠道
M0037739,银卡,济南,6,1,13,3,混合渠道
M0067285,银卡,杭州,0,0,1,2,其他
M0067010,普卡,海口,8,0,8,2,外卖→堂食回流
M0063270,金卡,中山,4,5,1,0,混合渠道
M0024276,普卡,南京,12,7,27,16,混合渠道
M0076769,银卡,大连,7,0,13,6,外卖→堂食回流
M0009762,普卡,温州,4,1,3,1,混合渠道
M0003710,普卡,南宁,7,7,22,8,混合渠道
M0043889,普卡,哈尔滨,21,8,23,15,混合渠道
M0035346,银卡,广州,4,4,10,5,混合渠道
M0063154,普卡,杭州,1,4,1,5,混合渠道
M0004428,普卡,东莞,10,3,18,8,混合渠道
M0078671,普卡,深圳,3,2,0,3,混合渠道
M0025461,普卡,长春,1,0,2,2,外卖→堂食回流
M0046108,银卡,珠海,4,0,4,1,纯堂食
M0027515,普卡,南昌,3,4,6,3,混合渠道
M0073545,金卡,成都,8,5,21,13,混合渠道
M0009626,银卡,温州,6,8,17,20,混合渠道
M0061690,普卡,济南,2,0,0,1,其他
M0061798,普卡,重庆,10,6,12,6,混合渠道
M0075403,普卡,石家庄,7,5,18,12,混合渠道
M0015091,金卡,宜昌,3,6,17,5,混合渠道
M0077670,普卡,佛山,13,4,8,8,混合渠道
M0054967,黑卡,海口,0,1,2,3,堂食→外卖迁移
M0002349,金卡,沈阳,2,4,2,2,混合渠道
M0040468,银卡,杭州,12,6,15,16,混合渠道
M0009137,普卡,上海,2,1,5,4,混合渠道
M0025390,金卡,南京,0,1,3,1,堂食→外卖迁移
M0049001,银卡,海口,1,1,1,1,混合渠道
M0062084,普卡,南通,2,3,0,0,混合渠道
M0014700,普卡,深圳,6,6,6,2,混合渠道
M0066033,普卡,宁波,8,6,11,9,混合渠道
M0014932,普卡,唐山,9,7,16,15,混合渠道
M0025729,银卡,武汉,1,1,2,3,混合渠道
M0072262,普卡,北京,8,3,23,15,混合渠道
M0079069,银卡,泉州,4,4,13,5,混合渠道
M0050846,银卡,济南,1,1,1,1,混合渠道
M0052052,银卡,广州,0,0,3,0,其他
M0006291,银卡,烟台,1,1,0,0,混合渠道
M0077249,普卡,洛阳,4,0,2,2,外卖→堂食回流
M0063933,普卡,宁波,0,0,1,1,其他
M0068119,银卡,合肥,3,6,7,1,混合渠道
M0013865,普卡,天津,6,5,5,5,混合渠道
M0072703,银卡,东莞,2,0,2,1,纯堂食
M0013426,普卡,佛山,1,0,0,0,其他
M0000064,银卡,三亚,0,0,2,1,其他
M0006864,普卡,广州,0,0,0,1,其他
M0062043,金卡,珠海,0,0,2,0,其他
M0034236,普卡,南京,0,1,2,0,堂食→外卖迁移
M0006449,银卡,重庆,16,5,5,1,混合渠道
M0061435,普卡,昆明,0,0,1,0,其他
M0069278,黑卡,南通,4,4,4,2,混合渠道
M0069978,银卡,武汉,15,3,6,4,混合渠道
M0064965,普卡,南昌,2,0,0,0,其他
M0079694,普卡,绵阳,3,0,7,2,外卖→堂食回流
M0043363,普卡,三亚,0,7,16,4,堂食→外卖迁移
M0063441,普卡,洛阳,8,5,14,14,混合渠道
M0004437,普卡,嘉兴,2,1,5,1,混合渠道
M0008140,普卡,贵阳,3,1,6,3,混合渠道
M0023595,金卡,大连,0,1,2,3,堂食→外卖迁移
M0013679,银卡,常州,10,7,22,4,混合渠道
M0062719,普卡,青岛,1,0,4,1,纯堂食
M0051963,普卡,广州,1,2,1,0,混合渠道
M0026179,普卡,无锡,12,4,7,3,混合渠道
M0000891,银卡,深圳,1,0,6,1,纯堂食
M0070499,普卡,重庆,8,9,20,14,混合渠道
M0029800,普卡,成都,3,1,2,2,混合渠道
M0042269,普卡,无锡,1,1,0,0,混合渠道
M0009359,普卡,青岛,5,0,5,2,外卖→堂食回流
M0033980,普卡,厦门,2,3,6,10,混合渠道
M0052315,银卡,绵阳,7,11,19,17,混合渠道
M0048196,银卡,沈阳,3,0,8,1,纯堂食
M0034394,银卡,厦门,0,2,1,1,纯外卖
M0067717,金卡,北京,1,1,2,0,混合渠道
M0026817,普卡,温州,1,1,1,1,混合渠道
M0000898,普卡,长沙,5,2,3,3,混合渠道
M0031756,普卡,深圳,1,1,1,2,混合渠道
M0051565,银卡,深圳,1,2,2,0,混合渠道
M0061946,普卡,天津,1,0,3,3,外卖→堂食回流
M0039287,普卡,贵阳,3,4,3,5,混合渠道
M0032179,普卡,嘉兴,3,2,5,7,混合渠道
M0010893,普卡,重庆,1,3,5,1,混合渠道
M0051359,普卡,常州,0,0,1,0,其他
M0019761,普卡,郑州,13,9,13,8,混合渠道
M0007672,普卡,重庆,4,4,0,0,混合渠道
M0060687,银卡,深圳,2,1,7,3,混合渠道
M0015650,普卡,烟台,14,4,16,6,混合渠道
M0020520,银卡,东莞,7,8,15,11,混合渠道
M0074006,普卡,南宁,8,3,2,0,混合渠道
M0013451,黑卡,长沙,2,1,1,0,混合渠道
M0010067,普卡,广州,4,0,9,2,外卖→堂食回流
M0045830,普卡,广州,4,1,6,1,混合渠道
M0027142,银卡,重庆,3,3,1,2,混合渠道
M0042886,普卡,东莞,4,2,9,4,混合渠道
M0069729,普卡,宁波,0,0,2,0,其他
M0000916,普卡,深圳,2,1,2,0,混合渠道
M0000572,银卡,中山,1,0,0,1,其他
M0026040,普卡,上海,4,1,5,3,混合渠道
M0066029,金卡,合肥,11,3,16,12,混合渠道
M0020541,普卡,东莞,0,1,2,1,堂食→外卖迁移
M0048858,银卡,青岛,0,0,2,0,其他
M0052386,银卡,广州,3,6,10,6,混合渠道
M0030731,普卡,泉州,12,4,20,11,混合渠道
M0017385,普卡,南昌,1,1,2,0,混合渠道
M0000831,普卡,宁波,5,7,14,9,混合渠道
M0037617,银卡,长沙,2,1,2,2,混合渠道
M0028248,普卡,中山,9,4,14,7,混合渠道
M0011693,银卡,泉州,11,5,15,13,混合渠道
M0037769,银卡,武汉,4,2,5,4,混合渠道
M0055998,普卡,无锡,1,0,2,2,外卖→堂食回流
M0062497,普卡,洛阳,8,5,12,12,混合渠道
M0014807,银卡,郑州,0,1,2,0,堂食→外卖迁移
M0036099,普卡,重庆,2,2,5,3,混合渠道
M0056292,金卡,海口,5,6,18,15,混合渠道
M0072256,银卡,北京,8,3,10,5,混合渠道
M0009985,银卡,青岛,1,1,2,1,混合渠道
M0066964,普卡,呼和浩特,0,1,3,2,堂食→外卖迁移
M0005263,黑卡,佛山,6,4,2,0,混合渠道
M0011330,黑卡,沈阳,1,2,1,0,混合渠道
M0000082,银卡,大连,1,0,0,0,其他
M0040526,银卡,温州,6,0,6,6,外卖→堂食回流
M0050054,银卡,青岛,4,2,4,2,混合渠道
