门店ID,年月,目标指标,目标值,实际值,达成率,目标缺口
S00013,2026-05-01,销售额,52515,19828.679999999997,0.37758126249643,32686.320000000003
S00013,2026-05-01,新增会员,122,0.0,0.0,0.0
S00013,2026-05-01,会员订单数,1128,122.0,0.108156028368794,1006.0
S00017,2026-02-01,销售额,143274,7588.05,0.052961807445873,135685.95
S00017,2026-02-01,新增会员,544,0.0,0.0,0.0
S00017,2026-02-01,会员订单数,927,42.0,0.045307443365696,885.0
S00027,2026-05-01,销售额,121108,18227.9,0.150509462628398,102880.1
S00027,2026-05-01,新增会员,729,0.0,0.0,0.0
S00027,2026-05-01,会员订单数,1220,152.0,0.124590163934426,1068.0
S00038,2026-02-01,销售额,129066,7177.06,0.055607673593355,121888.94
S00038,2026-02-01,新增会员,571,0.0,0.0,0.0
S00038,2026-02-01,会员订单数,1326,55.0,0.041478129713424,1271.0
S00050,2026-03-01,销售额,63074,25983.719999999994,0.411956115039477,37090.280000000006
S00050,2026-03-01,新增会员,746,0.0,0.0,0.0
S00050,2026-03-01,会员订单数,1053,162.0,0.153846153846154,891.0
S00069,2026-05-01,销售额,73148,18368.26,0.251110898452453,54779.740000000005
S00069,2026-05-01,新增会员,289,0.0,0.0,0.0
S00069,2026-05-01,会员订单数,798,181.0,0.226817042606516,617.0
S00073,2026-02-01,销售额,197728,8289.46,0.041923551545558,189438.54
S00073,2026-02-01,新增会员,283,0.0,0.0,0.0
S00073,2026-02-01,会员订单数,654,47.0,0.071865443425076,607.0
S00119,2026-03-01,销售额,69710,25328.53,0.363341414431215,44381.47
S00119,2026-03-01,新增会员,365,0.0,0.0,0.0
S00119,2026-03-01,会员订单数,1063,150.0,0.141110065851364,913.0
S00125,2026-05-01,销售额,86389,29412.23,0.340462674646078,56976.770000000004
S00125,2026-05-01,新增会员,736,0.0,0.0,0.0
S00125,2026-05-01,会员订单数,359,195.0,0.543175487465181,164.0
S00134,2026-04-01,销售额,165292,26091.050000000003,0.157848232219345,139200.95
S00134,2026-04-01,新增会员,782,0.0,0.0,0.0
S00134,2026-04-01,会员订单数,595,148.0,0.248739495798319,447.0
S00135,2026-04-01,销售额,119036,29450.050000000003,0.247404566685709,89585.95
S00135,2026-04-01,新增会员,277,0.0,0.0,0.0
S00135,2026-04-01,会员订单数,679,185.0,0.272459499263623,494.0
S00139,2026-05-01,销售额,169079,26050.8,0.154074722467012,143028.2
S00139,2026-05-01,新增会员,137,0.0,0.0,0.0
S00139,2026-05-01,会员订单数,1163,182.0,0.156491831470335,981.0
S00146,2026-05-01,销售额,61224,29995.18,0.489925192734875,31228.82
S00146,2026-05-01,新增会员,320,0.0,0.0,0.0
S00146,2026-05-01,会员订单数,1262,214.0,0.169572107765452,1048.0
S00148,2026-03-01,销售额,63427,35959.79000000001,0.566947672127012,27467.209999999992
S00148,2026-03-01,新增会员,535,0.0,0.0,0.0
S00148,2026-03-01,会员订单数,1357,191.0,0.14075165806927,1166.0
S00165,2026-04-01,销售额,154425,44740.81,0.289725174032702,109684.19
S00165,2026-04-01,新增会员,785,0.0,0.0,0.0
S00165,2026-04-01,会员订单数,974,295.0,0.302874743326489,679.0
S00172,2026-03-01,销售额,143416,59181.149999999994,0.412653748535728,84234.85
S00172,2026-03-01,新增会员,443,0.0,0.0,0.0
S00172,2026-03-01,会员订单数,1027,344.0,0.334956183057449,683.0
S00177,2026-05-01,销售额,60969,11814.16,0.193773229018026,49154.84
S00177,2026-05-01,新增会员,657,0.0,0.0,0.0
S00177,2026-05-01,会员订单数,966,82.0,0.084886128364389,884.0
S00195,2026-02-01,销售额,108226,10453.050000000001,0.096585386136418,97772.95
S00195,2026-02-01,新增会员,661,0.0,0.0,0.0
S00195,2026-02-01,会员订单数,703,75.0,0.106685633001422,628.0
S00226,2026-04-01,销售额,116966,79716.37999999998,0.681534633996204,37249.620000000024
S00226,2026-04-01,新增会员,319,0.0,0.0,0.0
S00226,2026-04-01,会员订单数,1145,496.0,0.433187772925764,649.0
S00228,2026-03-01,销售额,181647,17232.4,0.094867517767979,164414.6
S00228,2026-03-01,新增会员,489,0.0,0.0,0.0
S00228,2026-03-01,会员订单数,1130,93.0,0.082300884955752,1037.0
S00231,2026-04-01,销售额,61908,19680.289999999997,0.317895748530077,42227.71000000001
S00231,2026-04-01,新增会员,339,0.0,0.0,0.0
S00231,2026-04-01,会员订单数,955,146.0,0.152879581151832,809.0
S00231,2026-05-01,销售额,77659,11726.380000000001,0.150998338891822,65932.62
S00231,2026-05-01,新增会员,381,0.0,0.0,0.0
S00231,2026-05-01,会员订单数,490,88.0,0.179591836734694,402.0
S00244,2026-04-01,销售额,153223,24811.980000000003,0.161933782787179,128411.01999999999
S00244,2026-04-01,新增会员,624,0.0,0.0,0.0
S00244,2026-04-01,会员订单数,897,150.0,0.167224080267559,747.0
S00246,2026-05-01,销售额,79300,17568.13,0.221540100882724,61731.869999999995
S00246,2026-05-01,新增会员,392,0.0,0.0,0.0
S00246,2026-05-01,会员订单数,1048,133.0,0.126908396946565,915.0
S00251,2026-04-01,销售额,54145,13493.64,0.249213039061779,40651.36
S00251,2026-04-01,新增会员,273,0.0,0.0,0.0
S00251,2026-04-01,会员订单数,480,100.0,0.208333333333333,380.0
S00262,2026-02-01,销售额,192431,8825.649999999998,0.04586397202114,183605.35
S00262,2026-02-01,新增会员,605,0.0,0.0,0.0
S00262,2026-02-01,会员订单数,898,35.0,0.038975501113586,863.0
S00263,2026-05-01,销售额,121068,21272.88,0.175710179403311,99795.12
S00263,2026-05-01,新增会员,371,0.0,0.0,0.0
S00263,2026-05-01,会员订单数,1032,176.0,0.170542635658915,856.0
S00279,2026-03-01,销售额,149004,26172.72,0.175651123459773,122831.28
S00279,2026-03-01,新增会员,639,0.0,0.0,0.0
S00279,2026-03-01,会员订单数,1269,174.0,0.137115839243499,1095.0
S00289,2026-05-01,销售额,157953,13164.890000000001,0.083346881667331,144788.11
S00289,2026-05-01,新增会员,432,0.0,0.0,0.0
S00289,2026-05-01,会员订单数,400,82.0,0.205,318.0
S00292,2026-03-01,销售额,97066,30898.770000000004,0.318327426699359,66167.23
S00292,2026-03-01,新增会员,720,0.0,0.0,0.0
S00292,2026-03-01,会员订单数,1330,160.0,0.120300751879699,1170.0
S00301,2026-05-01,销售额,153874,16308.489999999998,0.105986001533722,137565.51
S00301,2026-05-01,新增会员,157,0.0,0.0,0.0
S00301,2026-05-01,会员订单数,738,125.0,0.169376693766938,613.0
S00304,2026-03-01,销售额,88055,26616.729999999996,0.302273919709273,61438.270000000004
S00304,2026-03-01,新增会员,613,0.0,0.0,0.0
S00304,2026-03-01,会员订单数,445,145.0,0.325842696629214,300.0
S00306,2026-04-01,销售额,164117,26571.449999999997,0.161905530810337,137545.55
S00306,2026-04-01,新增会员,711,0.0,0.0,0.0
S00306,2026-04-01,会员订单数,546,181.0,0.331501831501831,365.0
S00313,2026-03-01,销售额,177973,29173.42,0.163920482320352,148799.58000000002
S00313,2026-03-01,新增会员,659,0.0,0.0,0.0
S00313,2026-03-01,会员订单数,697,157.0,0.225251076040172,540.0
S00333,2026-04-01,销售额,61772,38220.53,0.618735511234864,23551.47
S00333,2026-04-01,新增会员,105,0.0,0.0,0.0
S00333,2026-04-01,会员订单数,1277,227.0,0.177760375880971,1050.0
S00339,2026-03-01,销售额,169076,34679.3,0.205110719439779,134396.7
S00339,2026-03-01,新增会员,372,0.0,0.0,0.0
S00339,2026-03-01,会员订单数,727,195.0,0.268225584594223,532.0
