活动ID,活动名称,活动类型,业务日期,触达渠道,触达人次,查看人次,触达人数,打开率,触达后关联下单人数,触达后关联订单数,触达后关联GMV,归因窗口天数,归因规则,数据快照日期
CMP0032,节日活动-0327,节日活动,2026-05-01,社群,15,5,15,0.333333,1,1,31,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0048,私域专享-0406,私域专享,2026-05-12,视频号,6,2,6,0.333333,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0006,复购唤醒-0427,复购唤醒,2026-03-21,小程序消息,8,4,8,0.5,1,3,103.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0033,节日活动-0320,节日活动,2026-04-12,视频号,5,2,5,0.4,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0044,会员日-0423,会员日,2026-04-12,企微1V1,21,11,21,0.52381,2,3,113.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0004,拉新活动-0413,拉新活动,2026-03-23,企微1V1,25,15,25,0.6,2,4,158,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0030,复购唤醒-0402,复购唤醒,2026-03-06,社群,23,10,23,0.434783,3,3,123.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0031,会员日-0225,会员日,2026-05-05,社群,22,13,22,0.590909,3,4,171.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0015,新品上市-0316,新品上市,2026-04-17,企微1V1,32,18,32,0.5625,4,6,267.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0046,会员日-0316,会员日,2026-02-20,社群,16,11,16,0.6875,1,1,46.3,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0001,拉新活动-0322,拉新活动,2026-03-31,社群,26,18,26,0.692308,1,2,96,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0008,新品上市-0308,新品上市,2026-04-27,企微1V1,17,7,17,0.411765,1,3,93,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0032,节日活动-0327,节日活动,2026-03-09,企微1V1,21,13,21,0.619048,2,2,65.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0005,新品上市-0424,新品上市,2026-05-04,小程序消息,16,11,16,0.6875,1,2,68.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0033,节日活动-0320,节日活动,2026-03-04,社群,15,12,15,0.8,1,3,108.3,7,下单前最近一次有效触达；每订单唯一,2026-06-24
