门店ID,门店名称,省份,城市,城市层级,店型,门店类型,商圈,品牌线,直营加盟类型,是否90天内新店,新店标签,业务日期,订单数,销售额,原价销售额,折扣金额合计,商品件数合计,会员订单数,到店销售额,外卖销售额,到店订单数,外卖订单数,去重会员数,平均客单价,会员订单占比,折扣率,到店占比,外卖占比,平均件数
S00290,苏州社区0290店,江苏,苏州,新一线,快取店,快取店,社区,主品牌,直营,FALSE,非新店,2026-03-16,9,492.9,504.0,11.1,16,3,320.9,172.0,5,4,3,54.766666666666666,0.333333333333333,0.02202380952381,0.555555555555556,0.444444444444444,1.777777777777778
S00290,苏州社区0290店,江苏,苏州,新一线,快取店,快取店,社区,主品牌,直营,FALSE,非新店,2026-04-05,15,1217.6599999999999,1307.0,89.34,43,11,729.62,488.04,9,6,11,81.17733333333332,0.733333333333333,0.068355011476664,0.6,0.4,2.866666666666667
S00290,苏州社区0290店,江苏,苏州,新一线,快取店,快取店,社区,主品牌,直营,FALSE,非新店,2026-04-26,5,153.31,182.0,28.69,7,3,123.31,30.0,4,1,3,30.662,0.6,0.157637362637363,0.8,0.2,1.4
S00290,苏州社区0290店,江苏,苏州,新一线,快取店,快取店,社区,主品牌,直营,FALSE,非新店,2026-05-04,7,428.86,512.0,83.13999999999999,16,6,358.69,70.17,6,1,6,61.26571428571429,0.857142857142857,0.1623828125,0.857142857142857,0.142857142857143,2.285714285714286
S00291,乌鲁木齐CBD0291店,新疆,乌鲁木齐,三线,标准店,写字楼店,CBD,子品牌-便利,直营,FALSE,非新店,2026-03-30,7,426.61,444.0,17.39,15,3,176.0,250.61,3,4,3,60.94428571428572,0.428571428571429,0.039166666666667,0.428571428571429,0.571428571428571,2.142857142857143
S00291,乌鲁木齐CBD0291店,新疆,乌鲁木齐,三线,标准店,写字楼店,CBD,子品牌-便利,直营,FALSE,非新店,2026-04-17,6,2911.57,2932.0,20.43,13,3,2825.57,86.0,5,1,3,485.2616666666667,0.5,0.006967939972715,0.833333333333333,0.166666666666667,2.166666666666667
S00291,乌鲁木齐CBD0291店,新疆,乌鲁木齐,三线,标准店,写字楼店,CBD,子品牌-便利,直营,FALSE,非新店,2026-04-27,8,646.75,680.0,33.25,13,5,646.75,0.0,8,0,5,80.84375,0.625,0.048897058823529,1.0,0.0,1.625
S00292,南宁CBD0292店,广西,南宁,二线,快取店,快取店,CBD,主品牌,直营,FALSE,非新店,2026-03-30,9,517.0600000000001,578.0,60.94,19,3,314.09000000000003,202.97,5,4,3,57.45111111111112,0.333333333333333,0.105432525951557,0.555555555555556,0.444444444444444,2.111111111111111
S00292,南宁CBD0292店,广西,南宁,二线,快取店,快取店,CBD,主品牌,直营,FALSE,非新店,2026-04-24,13,830.19,900.0,69.81,28,9,458.69,371.5,7,6,9,63.860769230769236,0.692307692307692,0.077566666666667,0.538461538461539,0.461538461538462,2.153846153846154
S00293,中山购物中心0293店,广东,中山,二线,标准店,商场店,购物中心,子品牌-便利,直营,FALSE,非新店,2026-03-17,13,891.27,952.0,60.730000000000004,30,7,631.02,260.25,8,5,7,68.55923076923077,0.538461538461538,0.063792016806723,0.615384615384615,0.384615384615385,2.307692307692307
