分层,名称,ID
ADS,ads_会员私域驾驶舱,n5eed53432fec411f8b3250f
ADS,ads_会员经营任务池,feb59f5aa87e249c681d88da
ADS,ads_门店每日指挥台,dac2c29f10005463a8aea769
ADS,ads_高层经营驾驶舱,s85830984b37045b39c1c816
ADS,etl_ads_加盟商单店报告 (9节点·S+J×2+C),s951c54cfa317c9e7e17524a
ADS,etl_ads_单店利润健康 (6节点·J+C+S),r6e540f679bb0a514080e509
ADS,etl_ads_异常归因清单,teb265115511846f1bc47f0b
ADS,etl_ads_活动权益复盘 (17节点·C+G+F+C+G×2+S+J×3+C),g75c5f907f4bb4e87938fa35
DQC,etl_dqc_归因清单对账,l63a55ec75d7f45418e42823
DWS,etl_dws_会员RFM分层 (10节点·F+C+G+S+J),c4bd62b609bf4449ca4a09fc
DWS,etl_dws_会员同期群留存,ge6799d1eedb34eda93a502b
DWS,etl_dws_会员生命周期,n8c42426e84ac4c81a755a03
DWS,etl_dws_体验口碑汇总,ocfa4fd3c434b418dbdf34f7
DWS,etl_dws_券效益分析,v0a6e6562f9984c789f8a8cc
DWS,etl_dws_加盟商经营汇总 (7节点·S+J+C),h6494295926ddfddc3bc9575
DWS,etl_dws_加盟回本测算 (9节点·S×3+J+C),n844deaa4fe2957780f0f542
DWS,etl_dws_单店利润月汇总 (11节点·F+C+G+S×2+J+C),b4a8c005f26f3a6092d6d4b5
DWS,etl_dws_员工导购效能 (8节点·F+S+J+C),heeb294b1dbc041318ea5aaf
DWS,etl_dws_商品销售分析,l6cf2ad96bdd641c9a02447c
DWS,etl_dws_成本结构汇总 (7节点·J+S+C),rf6700ab6181258fe671c0e7
DWS,etl_dws_新店爬坡_Comp老店 (8节点·F+C+G+J),ac735a03291e64e459a661aa
DWS,etl_dws_渠道迁移分析,c5362567a2d0a402881968b3
DWS,etl_dws_目标达成,dea6744905a504af3ae9e35c
DWS,etl_dws_私域转化漏斗 (10节点·F+C+G+C+G+J+C),g4469ecdd670a4d91bd92055
DWS,etl_dws_门店日报 (10节点·F+C+G+S×2+J+C),e49dac524140f47c6bf8ff76
