分层,名称,ID
ADS,ads_会员私域驾驶舱,p2bcc84756ad94855896dd97
ADS,ads_会员经营任务池,nda316bda403346669b3fa1d
ADS,ads_加盟商单店报告,n7e1bd96a3dcf48e88f18022
ADS,ads_单店利润健康,p39cc9d0866ac442bb777c63
ADS,ads_异常归因清单,tf166544dfa5b407593e22ec
ADS,ads_活动权益复盘,q2154240ed0334aec8883ae8
ADS,ads_门店每日指挥台,nd177a0ac0eda44ac98c75bc
ADS,ads_高层经营驾驶舱,r9024c50adcdb45c397cde0a
DIM,dim_会员主档,h551155a12fc04d88a57d319
DIM,dim_会员身份桥,t4e218b665ef647018afdc28
DIM,dim_券模板,m5e3bf1eed73f434280fa950
DIM,dim_加盟商主档,e620121168c3447c3abe4948
DIM,dim_员工导购,m6fdb5eaefa5742ef9e0ac58
DIM,dim_商品主档,hef208f72e96a4a16a4ebf71
DIM,dim_成本科目,id526a80527504299850cc18
DIM,dim_日期,h516380c018b04b1b90dadf3
DIM,dim_活动主档,le21397bebf6c4ffaa81d9cc
DIM,dim_门店主档,sedfdd84abacc4cb496c15e7
DQC,dqc_归因清单对账,q3393c3949cbb4592a529d6c
DWD,dwd_会员注册绑定,o08749b089e1c445299b3026
DWD,dwd_会员经营任务,u494a5b2caaf446b5b1ed8bf
DWD,dwd_会员触达,xc82fb232ecdc474f84cd43d
DWD,dwd_券事件,fc906172fbf4b443d92acc24
DWD,dwd_加盟分账明细,lecec5a5b95314eada3fe69e
DWD,dwd_加盟合同明细,w55d0570b98a143579807416
DWD,dwd_投诉,l1b7c38276d9d483b9e1f712
DWD,dwd_活动参与,d05ecb0ab6b7d4852a95aaf3
DWD,dwd_私域事件,o0d4c4a0f11dd4411b832c5a
DWD,dwd_积分事件,q7bffd8bfc6dd4600acdd507
DWD,dwd_订单,j23ea7e60564e47458b71d82
DWD,dwd_订单商品,gb9ba62434aa54e3eadc082a
DWD,dwd_评价,af8234caa4e90486793eaab8
DWD,dwd_门店成本明细,ff7b4cae808ca4ecab894f53
DWD,dwd_门店投资明细,dd5f37d14b97f4ee38c4b0dc
DWD,dwd_门店目标,g7d7bf84e1e96448f9c0dfe3
DWS,dws_会员RFM分层,i2e9c28c8e656429ca007f68
DWS,dws_会员同期群留存,t2a6721b5e2d04f58ad6b8f9
DWS,dws_会员生命周期,x808f7e31adc4423e9471801
DWS,dws_体验口碑汇总,g52a667122e214eefb542bf6
DWS,dws_券效益分析,h6c06660548ba4d8daaf2bd3
DWS,dws_加盟商经营汇总,e2189adc50d654868b2724d3
DWS,dws_加盟回本测算,vf66c6e915ad048c49cbcf25
DWS,dws_单店利润月汇总,l6ee75fc812be413583215e4
DWS,dws_员工导购效能,v3db361c104114ea8b5997ae
DWS,dws_商品销售分析,u4551251219e445cab03355f
DWS,dws_成本结构汇总,c77fc2f1d0a4d4459bd02859
DWS,dws_新店爬坡_Comp老店,o88b336d58b5047de98993b1
DWS,dws_渠道迁移分析,s44dad3e0887d41dcb5dfc52
DWS,dws_目标达成,me754bd92ca384667a33a6d1
DWS,dws_私域转化漏斗,u37d100614fbd4abe89f7731
DWS,dws_门店日报,l335bc476e2f343ed8c721bd
其他,param_会员生命周期阈值,jc8be722fd6cb49fa87206f0
其他,param_利润健康阈值,l9312c8ef7ec14877889f06b
其他,param_豁免日历,idc628b87ed3a4f1d91e5e1c
