业务日期,总销售,会员销售,到店销售,私域贡献销售,会员销售占比,到店订单占比,私域贡献收入占比,活跃会员数,新增会员数
2026-03-19,1108324.690000,584069.660000,681008.760000,372655.780000,0.526984,0.614449,0.336233,5857.000000,593.000000
2026-03-02,1176004.590000,600177.010000,702541.940000,338370.510000,0.510353,0.597397,0.287729,5457.000000,1185.000000
2026-03-18,1176556.130000,654833.600000,745468.280000,374398.690000,0.556568,0.633602,0.318216,5956.000000,588.000000
2026-03-26,1165381.380000,674364.400000,708133.620000,375428.190000,0.578664,0.607641,0.322150,6232.000000,503.000000
2026-02-21,1322602.910000,673527.340000,797586.290000,350078.740000,0.509244,0.603043,0.264689,6005.000000,3549.000000
2026-04-03,1191781.250000,697647.920000,721969.090000,391708.200000,0.585383,0.605790,0.328675,6418.000000,451.000000
2026-04-07,1190564.890000,691371.080000,741703.090000,408206.540000,0.580708,0.622984,0.342868,6493.000000,409.000000
2026-05-14,1234379.430000,832544.050000,744117.940000,447844.170000,0.674464,0.602828,0.362809,7629.000000,294.000000
2026-02-25,1154070.890000,588763.430000,720212.260000,316683.260000,0.510162,0.624062,0.274405,5360.000000,1727.000000
2026-05-11,1204886.630000,804351.710000,716302.470000,455257.550000,0.667575,0.594498,0.377843,7493.000000,315.000000
2026-04-06,1185265.120000,690079.130000,710040.330000,420348.380000,0.582215,0.599056,0.354645,6415.000000,374.000000
2026-03-08,1334502.760000,716228.300000,843298.080000,360659.060000,0.536701,0.631919,0.270257,6510.000000,974.000000
2026-04-28,1202871.450000,768061.800000,739737.980000,467281.810000,0.638524,0.614977,0.388472,7199.000000,378.000000
2026-02-20,1518604.030000,754636.270000,933367.590000,358129.720000,0.496928,0.614622,0.235828,6582.000000,5097.000000
2026-04-17,1180051.270000,726593.170000,716662.610000,424999.330000,0.615730,0.607315,0.360153,6773.000000,367.000000
2026-04-16,1191686.570000,725782.380000,728459.610000,436655.870000,0.609038,0.611285,0.366418,6819.000000,380.000000
2026-04-30,1245260.360000,782640.710000,768167.740000,452807.490000,0.628496,0.616873,0.363625,7141.000000,319.000000
2026-05-05,1561309.820000,1004148.930000,962512.460000,479158.390000,0.643145,0.616478,0.306895,9179.000000,423.000000
2026-03-22,1312822.260000,725687.550000,794518.720000,384362.930000,0.552769,0.605199,0.292776,6792.000000,607.000000
2026-03-16,1161489.230000,635454.750000,724167.440000,369698.520000,0.547103,0.623482,0.318297,5914.000000,606.000000
2026-04-29,1159864.120000,746843.460000,710747.360000,459452.830000,0.643906,0.612785,0.396126,7164.000000,337.000000
2026-03-27,1150833.610000,649428.550000,700161.680000,394838.570000,0.564311,0.608395,0.343089,6145.000000,460.000000
2026-02-19,1136489.650000,568169.720000,704435.060000,339174.710000,0.499934,0.619834,0.298441,5291.000000,5284.000000
2026-04-04,1353161.540000,811665.330000,831788.560000,430282.320000,0.599829,0.614700,0.317983,7410.000000,527.000000
2026-04-14,1231102.690000,730027.110000,734483.170000,430536.250000,0.592986,0.596606,0.349716,6736.000000,361.000000
