门店类型,任务类型,任务ID,触达后下单金额
外卖卫星店,新会员首单,1614.000000,8538.680000
商场店,沉睡召回,959.000000,9119.610000
夜市店,新会员首单,90.000000,823.820000
快取店,流失预警,1781.000000,19940.050000
社区店,沉睡召回,814.000000,7057.920000
旗舰店,沉睡召回,355.000000,2921.440000
快取店,高价值维护,1444.000000,20991.060000
学校店,外卖转到店,326.000000,3275.180000
交通店,高价值维护,187.000000,2925.820000
外卖卫星店,领券未核销,362.000000,1783.160000
交通店,新会员首单,356.000000,1684.040000
外卖卫星店,流失预警,925.000000,10019.670000
交通店,负评修复,86.000000,754.860000
夜市店,外卖转到店,41.000000,759.650000
商场店,新会员首单,1244.000000,6600.560000
学校店,高价值维护,349.000000,5822.620000
旗舰店,外卖转到店,211.000000,2030.190000
学校店,新会员首单,720.000000,3621.960000
外卖卫星店,负评修复,370.000000,2421.060000
商场店,首单后二单,1105.000000,7281.520000
商场店,外卖转到店,577.000000,5638.810000
学校店,首单后二单,626.000000,3715.050000
社区店,外卖转到店,543.000000,5431.870000
快取店,领券未核销,720.000000,3743.370000
交通店,沉睡召回,255.000000,2223.850000
商场店,高价值维护,584.000000,9762.550000
外卖卫星店,堂食老客召回,406.000000,4687.250000
快取店,沉睡召回,2258.000000,18433.390000
外卖卫星店,首单后二单,1460.000000,10175.050000
外卖卫星店,高价值维护,763.000000,14171.630000
交通店,外卖转到店,178.000000,1919.780000
交通店,堂食老客召回,80.000000,615.740000
社区店,堂食老客召回,261.000000,2987.160000
夜市店,领券未核销,22.000000,70.360000
快取店,负评修复,703.000000,4725.030000
写字楼店,首单后二单,1501.000000,10896.150000
学校店,领券未核销,178.000000,766.390000
旗舰店,负评修复,116.000000,1023.120000
社区店,流失预警,600.000000,8182.400000
学校店,堂食老客召回,169.000000,1192.370000
夜市店,流失预警,51.000000,546.470000
写字楼店,沉睡召回,1324.000000,11607.840000
旗舰店,首单后二单,387.000000,2508.560000
写字楼店,负评修复,394.000000,2563.260000
商场店,流失预警,722.000000,7070.800000
外卖卫星店,沉睡召回,1175.000000,9294.520000
学校店,负评修复,165.000000,898.590000
夜市店,负评修复,18.000000,82.750000
旗舰店,领券未核销,110.000000,598.630000
社区店,首单后二单,930.000000,6426.260000
写字楼店,领券未核销,430.000000,2499.530000
快取店,新会员首单,2906.000000,16490.550000
旗舰店,新会员首单,403.000000,2167.830000
外卖卫星店,外卖转到店,766.000000,8154.640000
写字楼店,流失预警,1003.000000,11384.600000
学校店,沉睡召回,535.000000,4376.330000
快取店,首单后二单,2642.000000,18215.420000
夜市店,沉睡召回,66.000000,469.490000
写字楼店,外卖转到店,855.000000,7900.050000
交通店,领券未核销,81.000000,373.830000
写字楼店,新会员首单,1691.000000,8848.700000
商场店,负评修复,297.000000,1557.750000
快取店,堂食老客召回,729.000000,8707.450000
旗舰店,高价值维护,207.000000,3357.430000
写字楼店,堂食老客召回,458.000000,5756.010000
社区店,负评修复,241.000000,1125.870000
社区店,新会员首单,1009.000000,5368.570000
旗舰店,流失预警,257.000000,2904.370000
夜市店,高价值维护,36.000000,709.140000
商场店,堂食老客召回,300.000000,2859.690000
夜市店,堂食老客召回,18.000000,190.390000
快取店,外卖转到店,1495.000000,14092.310000
学校店,流失预警,389.000000,4238.840000
交通店,流失预警,219.000000,2029.860000
交通店,首单后二单,281.000000,2024.490000
旗舰店,堂食老客召回,116.000000,1615.480000
商场店,领券未核销,287.000000,1488.730000
社区店,高价值维护,535.000000,8261.960000
写字楼店,高价值维护,820.000000,12731.490000
社区店,领券未核销,251.000000,1240.240000
夜市店,首单后二单,62.000000,456.520000
