门店类型,任务优先级,转化阶段,任务ID,触达后下单金额
写字楼店,P0,有转化,249.000000,13947.860000
学校店,P0,已触达未转化,301.000000,0.000000
社区店,P0,已触达未转化,428.000000,0.000000
商场店,P0,有转化,155.000000,8628.550000
交通店,P2,已触达未转化,277.000000,0.000000
学校店,P0,有转化,86.000000,5137.430000
交通店,P1,有转化,153.000000,5932.380000
社区店,P1,已触达未转化,1447.000000,0.000000
社区店,P2,有转化,287.000000,17921.230000
社区店,P0,有转化,161.000000,9308.270000
快取店,P1,已触达未转化,4138.000000,0.000000
外卖卫星店,P1,有转化,716.000000,28008.250000
夜市店,P0,未触达,16.000000,0.000000
夜市店,P1,已触达未转化,111.000000,0.000000
旗舰店,P2,未触达,177.000000,0.000000
旗舰店,P2,已触达未转化,343.000000,0.000000
写字楼店,P2,有转化,472.000000,28887.080000
夜市店,P2,有转化,25.000000,1729.540000
夜市店,P0,已触达未转化,42.000000,0.000000
社区店,P2,已触达未转化,827.000000,0.000000
商场店,P2,已触达未转化,919.000000,0.000000
旗舰店,P1,已触达未转化,603.000000,0.000000
学校店,P0,未触达,167.000000,0.000000
外卖卫星店,P1,已触达未转化,2237.000000,0.000000
夜市店,P2,未触达,40.000000,0.000000
快取店,P0,已触达未转化,1287.000000,0.000000
社区店,P0,未触达,252.000000,0.000000
商场店,P0,已触达未转化,565.000000,0.000000
写字楼店,P1,已触达未转化,2350.000000,0.000000
写字楼店,P0,已触达未转化,711.000000,0.000000
社区店,P2,未触达,476.000000,0.000000
旗舰店,P0,有转化,73.000000,3927.490000
交通店,P2,有转化,93.000000,5835.170000
快取店,P2,有转化,776.000000,47534.190000
快取店,P2,已触达未转化,2220.000000,0.000000
交通店,P2,未触达,156.000000,0.000000
夜市店,P1,有转化,44.000000,1749.830000
外卖卫星店,P0,未触达,392.000000,0.000000
外卖卫星店,P2,未触达,691.000000,0.000000
学校店,P1,未触达,591.000000,0.000000
外卖卫星店,P2,有转化,449.000000,28796.680000
商场店,P2,有转化,306.000000,19749.780000
夜市店,P1,未触达,63.000000,0.000000
外卖卫星店,P2,已触达未转化,1157.000000,0.000000
夜市店,P0,有转化,11.000000,629.220000
学校店,P1,有转化,301.000000,11713.340000
外卖卫星店,P0,有转化,226.000000,12440.730000
写字楼店,P2,已触达未转化,1318.000000,0.000000
快取店,P1,有转化,1384.000000,53139.360000
写字楼店,P2,未触达,773.000000,0.000000
社区店,P1,未触达,828.000000,0.000000
快取店,P2,未触达,1392.000000,0.000000
快取店,P1,未触达,2284.000000,0.000000
交通店,P1,未触达,261.000000,0.000000
旗舰店,P1,有转化,190.000000,7597.830000
交通店,P0,有转化,56.000000,2784.720000
学校店,P2,已触达未转化,544.000000,0.000000
商场店,P0,未触达,299.000000,0.000000
旗舰店,P0,未触达,110.000000,0.000000
写字楼店,P1,有转化,802.000000,31352.690000
社区店,P1,有转化,478.000000,18852.750000
商场店,P1,有转化,585.000000,23001.690000
学校店,P2,有转化,177.000000,11056.560000
商场店,P1,已触达未转化,1711.000000,0.000000
旗舰店,P0,已触达未转化,190.000000,0.000000
夜市店,P2,已触达未转化,52.000000,0.000000
交通店,P0,未触达,94.000000,0.000000
写字楼店,P1,未触达,1364.000000,0.000000
交通店,P1,已触达未转化,478.000000,0.000000
交通店,P0,已触达未转化,155.000000,0.000000
快取店,P0,有转化,441.000000,24665.080000
商场店,P2,未触达,523.000000,0.000000
旗舰店,P2,有转化,124.000000,7601.730000
学校店,P1,已触达未转化,989.000000,0.000000
商场店,P1,未触达,1012.000000,0.000000
写字楼店,P0,未触达,437.000000,0.000000
快取店,P0,未触达,756.000000,0.000000
学校店,P2,未触达,301.000000,0.000000
旗舰店,P1,未触达,352.000000,0.000000
外卖卫星店,P0,已触达未转化,677.000000,0.000000
外卖卫星店,P1,未触达,1296.000000,0.000000
