员工导购ID,员工姓名,岗位,门店类型,任务ID,触达后下单,触达后下单金额
E000573,普通导购0573,普通导购,写字楼店,11.000000,3.000000,121.620000
E000179,普通导购0179,普通导购,学校店,6.000000,2.000000,167.080000
E000102,金牌导购0102,金牌导购,写字楼店,50.000000,11.000000,539.740000
E000106,金牌导购0106,金牌导购,社区店,46.000000,7.000000,319.010000
E000088,普通导购0088,普通导购,交通店,4.000000,0.000000,0.000000
E000062,新人导购0062,新人导购,社区店,4.000000,1.000000,38.850000
E000157,普通导购0157,普通导购,外卖卫星店,8.000000,2.000000,80.020000
E000015,普通导购0015,普通导购,写字楼店,13.000000,2.000000,75.600000
E000532,普通导购0532,普通导购,写字楼店,18.000000,3.000000,74.740000
E000481,新人导购0481,新人导购,快取店,6.000000,2.000000,67.870000
E000143,普通导购0143,普通导购,外卖卫星店,12.000000,2.000000,140.690000
E000534,普通导购0534,普通导购,写字楼店,16.000000,5.000000,234.800000
E000245,金牌导购0245,金牌导购,快取店,91.000000,14.000000,656.000000
E000462,普通导购0462,普通导购,外卖卫星店,14.000000,2.000000,89.360000
E000168,普通导购0168,普通导购,社区店,14.000000,1.000000,25.570000
E000136,金牌导购0136,金牌导购,夜市店,6.000000,1.000000,61.380000
E000598,金牌导购0598,金牌导购,学校店,18.000000,4.000000,193.060000
E000023,金牌导购0023,金牌导购,写字楼店,63.000000,6.000000,238.910000
E000544,金牌导购0544,金牌导购,交通店,6.000000,0.000000,0.000000
E000155,金牌导购0155,金牌导购,学校店,25.000000,6.000000,301.170000
E000334,店长0334,店长,写字楼店,12.000000,2.000000,91.540000
E000539,普通导购0539,普通导购,社区店,9.000000,3.000000,120.440000
E000054,普通导购0054,普通导购,快取店,24.000000,7.000000,264.930000
E000570,普通导购0570,普通导购,交通店,3.000000,2.000000,82.390000
E000165,金牌导购0165,金牌导购,快取店,92.000000,13.000000,436.660000
E000284,普通导购0284,普通导购,快取店,20.000000,7.000000,596.330000
E000063,金牌导购0063,金牌导购,交通店,9.000000,1.000000,70.920000
E000487,金牌导购0487,金牌导购,交通店,11.000000,3.000000,95.840000
E000110,新人导购0110,新人导购,社区店,3.000000,2.000000,101.150000
E000338,普通导购0338,普通导购,快取店,30.000000,5.000000,284.910000
E000353,店长0353,店长,商场店,5.000000,0.000000,0.000000
E000042,普通导购0042,普通导购,社区店,7.000000,1.000000,52.880000
E000040,普通导购0040,普通导购,旗舰店,2.000000,0.000000,0.000000
E000155,金牌导购0155,金牌导购,商场店,49.000000,7.000000,366.350000
E000245,金牌导购0245,金牌导购,交通店,11.000000,2.000000,113.750000
E000296,普通导购0296,普通导购,快取店,28.000000,4.000000,167.690000
E000098,普通导购0098,普通导购,外卖卫星店,22.000000,4.000000,187.640000
E000272,普通导购0272,普通导购,交通店,3.000000,0.000000,0.000000
E000106,金牌导购0106,金牌导购,旗舰店,12.000000,2.000000,186.400000
E000570,普通导购0570,普通导购,旗舰店,5.000000,1.000000,48.590000
E000246,普通导购0246,普通导购,商场店,12.000000,3.000000,170.250000
E000193,普通导购0193,普通导购,写字楼店,9.000000,1.000000,141.470000
E000394,金牌导购0394,金牌导购,写字楼店,62.000000,9.000000,530.510000
E000077,普通导购0077,普通导购,外卖卫星店,19.000000,5.000000,175.650000
E000367,普通导购0367,普通导购,写字楼店,14.000000,3.000000,245.970000
E000517,普通导购0517,普通导购,交通店,4.000000,0.000000,0.000000
E000402,普通导购0402,普通导购,外卖卫星店,11.000000,0.000000,0.000000
E000538,普通导购0538,普通导购,外卖卫星店,11.000000,4.000000,132.800000
E000128,普通导购0128,普通导购,商场店,11.000000,1.000000,45.360000
E000342,普通导购0342,普通导购,商场店,16.000000,4.000000,112.700000
E000194,普通导购0194,普通导购,写字楼店,16.000000,0.000000,0.000000
E000095,普通导购0095,普通导购,外卖卫星店,17.000000,0.000000,0.000000
E000088,普通导购0088,普通导购,快取店,26.000000,2.000000,76.270000
E000516,普通导购0516,普通导购,外卖卫星店,13.000000,4.000000,222.220000
E000446,普通导购0446,普通导购,社区店,7.000000,2.000000,96.250000
E000274,普通导购0274,普通导购,写字楼店,16.000000,4.000000,168.950000
E000218,新人导购0218,新人导购,学校店,1.000000,0.000000,0.000000
E000553,普通导购0553,普通导购,快取店,28.000000,7.000000,271.080000
E000575,金牌导购0575,金牌导购,交通店,7.000000,4.000000,177.770000
E000337,普通导购0337,普通导购,外卖卫星店,13.000000,2.000000,114.790000
E000021,金牌导购0021,金牌导购,旗舰店,6.000000,0.000000,0.000000
E000552,普通导购0552,普通导购,外卖卫星店,10.000000,0.000000,0.000000
E000326,普通导购0326,普通导购,写字楼店,13.000000,1.000000,28.000000
E000267,普通导购0267,普通导购,快取店,23.000000,3.000000,168.450000
E000360,普通导购0360,普通导购,学校店,7.000000,2.000000,170.250000
E000557,普通导购0557,普通导购,快取店,27.000000,5.000000,206.530000
E000556,新人导购0556,新人导购,交通店,1.000000,0.000000,0.000000
E000212,普通导购0212,普通导购,旗舰店,4.000000,1.000000,28.920000
E000578,普通导购0578,普通导购,交通店,6.000000,0.000000,0.000000
E000251,普通导购0251,普通导购,商场店,10.000000,1.000000,51.450000
E000003,普通导购0003,普通导购,商场店,10.000000,0.000000,0.000000
E000459,普通导购0459,普通导购,旗舰店,4.000000,0.000000,0.000000
E000506,普通导购0506,普通导购,旗舰店,8.000000,3.000000,117.030000
E000353,店长0353,店长,社区店,4.000000,0.000000,0.000000
E000272,普通导购0272,普通导购,学校店,7.000000,0.000000,0.000000
E000044,普通导购0044,普通导购,学校店,7.000000,2.000000,70.710000
E000488,店长0488,店长,外卖卫星店,9.000000,0.000000,0.000000
E000559,普通导购0559,普通导购,外卖卫星店,11.000000,2.000000,112.070000
E000328,普通导购0328,普通导购,交通店,4.000000,1.000000,48.050000
E000046,新人导购0046,新人导购,写字楼店,4.000000,0.000000,0.000000
E000370,普通导购0370,普通导购,外卖卫星店,15.000000,3.000000,76.490000
E000120,普通导购0120,普通导购,旗舰店,4.000000,0.000000,0.000000
E000460,普通导购0460,普通导购,夜市店,2.000000,1.000000,27.650000
E000055,金牌导购0055,金牌导购,交通店,13.000000,3.000000,129.330000
E000343,普通导购0343,普通导购,社区店,9.000000,2.000000,105.980000
E000327,普通导购0327,普通导购,学校店,7.000000,0.000000,0.000000
E000204,普通导购0204,普通导购,夜市店,1.000000,0.000000,0.000000
E000451,普通导购0451,普通导购,交通店,4.000000,1.000000,29.390000
E000549,普通导购0549,普通导购,快取店,26.000000,3.000000,89.410000
E000011,普通导购0011,普通导购,交通店,1.000000,1.000000,41.950000
E000010,普通导购0010,普通导购,旗舰店,7.000000,1.000000,55.600000
E000414,普通导购0414,普通导购,外卖卫星店,7.000000,0.000000,0.000000
E000422,普通导购0422,普通导购,交通店,4.000000,1.000000,94.450000
E000486,普通导购0486,普通导购,外卖卫星店,16.000000,4.000000,204.660000
E000337,普通导购0337,普通导购,交通店,6.000000,0.000000,0.000000
E000079,新人导购0079,新人导购,社区店,1.000000,0.000000,0.000000
E000401,普通导购0401,普通导购,交通店,2.000000,0.000000,0.000000
E000276,新人导购0276,新人导购,写字楼店,4.000000,1.000000,28.360000
E000011,普通导购0011,普通导购,学校店,10.000000,2.000000,142.410000
E000582,普通导购0582,普通导购,商场店,9.000000,2.000000,50.350000
E000009,普通导购0009,普通导购,交通店,3.000000,1.000000,27.820000
E000366,普通导购0366,普通导购,社区店,6.000000,2.000000,93.630000
E000464,普通导购0464,普通导购,写字楼店,10.000000,0.000000,0.000000
E000317,新人导购0317,新人导购,写字楼店,7.000000,1.000000,50.340000
E000449,金牌导购0449,金牌导购,夜市店,3.000000,1.000000,85.300000
E000266,普通导购0266,普通导购,旗舰店,5.000000,0.000000,0.000000
E000337,普通导购0337,普通导购,夜市店,2.000000,2.000000,85.120000
E000292,普通导购0292,普通导购,学校店,9.000000,2.000000,118.140000
E000052,普通导购0052,普通导购,交通店,2.000000,1.000000,39.580000
E000290,普通导购0290,普通导购,学校店,6.000000,0.000000,0.000000
E000271,普通导购0271,普通导购,旗舰店,4.000000,3.000000,145.160000
E000352,新人导购0352,新人导购,快取店,3.000000,0.000000,0.000000
E000459,普通导购0459,普通导购,夜市店,2.000000,0.000000,0.000000
E000338,普通导购0338,普通导购,旗舰店,4.000000,2.000000,158.030000
E000080,新人导购0080,新人导购,外卖卫星店,5.000000,2.000000,208.810000
E000008,普通导购0008,普通导购,旗舰店,3.000000,0.000000,0.000000
E000352,新人导购0352,新人导购,写字楼店,3.000000,2.000000,52.850000
E000593,普通导购0593,普通导购,社区店,7.000000,2.000000,179.150000
E000225,新人导购0225,新人导购,商场店,3.000000,0.000000,0.000000
E000383,普通导购0383,普通导购,商场店,6.000000,0.000000,0.000000
E000393,普通导购0393,普通导购,学校店,9.000000,1.000000,37.540000
E000575,金牌导购0575,金牌导购,商场店,45.000000,4.000000,160.840000
E000341,普通导购0341,普通导购,学校店,6.000000,2.000000,79.560000
E000453,店长0453,店长,交通店,3.000000,0.000000,0.000000
E000251,普通导购0251,普通导购,快取店,35.000000,4.000000,220.980000
