活动ID,活动名称,活动类型,活动渠道,券发放数,券核销数,券核销率,总折扣,触达人数,查看人数,转化人数,拉动销售,总体转化率,券ROI,预算
CMP0034,会员日-0429,会员日,App,23531.000000,5982.000000,0.254218,138184.760000,6278.000000,3554.000000,2267.000000,473804.830000,0.361102,3.428778,30000.000000
CMP0037,拉新活动-0428,拉新活动,外卖平台,23855.000000,6008.000000,0.251855,131273.310000,6220.000000,3530.000000,2300.000000,492913.230000,0.369775,3.754863,5000.000000
CMP0047,新品上市-0403,新品上市,小程序,23840.000000,5950.000000,0.249581,131942.200000,6291.000000,3640.000000,2366.000000,475512.680000,0.376093,3.603947,30000.000000
CMP0009,复购唤醒-0303,复购唤醒,小程序,23496.000000,5819.000000,0.247659,131806.800000,6224.000000,3635.000000,2294.000000,440601.010000,0.368573,3.342779,80000.000000
CMP0027,会员日-0305,会员日,外卖平台,23629.000000,5837.000000,0.247027,128385.220000,6243.000000,3588.000000,2240.000000,459838.590000,0.358802,3.581710,30000.000000
CMP0028,节日活动-0226,节日活动,门店,23702.000000,5900.000000,0.248924,131800.030000,6175.000000,3573.000000,2210.000000,466971.980000,0.357895,3.543034,10000.000000
CMP0024,节日活动-0223,节日活动,小程序,23593.000000,5836.000000,0.247362,127278.410000,6294.000000,3586.000000,2310.000000,460374.350000,0.367016,3.617066,5000.000000
CMP0017,私域专享-0224,私域专享,App,23678.000000,5934.000000,0.250612,130115.580000,6248.000000,3554.000000,2246.000000,456499.010000,0.359475,3.508412,300000.000000
CMP0029,新品上市-0420,新品上市,App,23578.000000,5836.000000,0.247519,130784.640000,6275.000000,3637.000000,2266.000000,472672.500000,0.361116,3.614129,5000.000000
CMP0044,会员日-0423,会员日,全渠道,23445.000000,5852.000000,0.249605,129666.970000,6073.000000,3441.000000,2185.000000,452892.420000,0.359789,3.492735,5000.000000
CMP0046,会员日-0316,会员日,App,23628.000000,5897.000000,0.249577,130254.150000,6301.000000,3628.000000,2370.000000,496046.520000,0.376131,3.808297,30000.000000
CMP0042,会员日-0409,会员日,小程序,23585.000000,5968.000000,0.253042,139331.840000,6212.000000,3541.000000,2312.000000,472432.830000,0.372183,3.390703,10000.000000
CMP0011,私域专享-0326,私域专享,企微,23697.000000,5991.000000,0.252817,128796.930000,6360.000000,3571.000000,2305.000000,493535.110000,0.362421,3.831886,30000.000000
CMP0035,复购唤醒-0302,复购唤醒,App,23766.000000,5898.000000,0.248170,131294.000000,6253.000000,3535.000000,2268.000000,494185.250000,0.362706,3.763959,5000.000000
CMP0010,复购唤醒-0403,复购唤醒,小程序,23536.000000,5862.000000,0.249065,124625.850000,6214.000000,3591.000000,2257.000000,420091.140000,0.363212,3.370819,80000.000000
CMP0045,新品上市-0305,新品上市,外卖平台,23524.000000,5943.000000,0.252636,126366.350000,6328.000000,3696.000000,2305.000000,460382.780000,0.364254,3.643239,30000.000000
CMP0012,节日活动-0416,节日活动,外卖平台,23853.000000,5993.000000,0.251247,133023.970000,6421.000000,3688.000000,2302.000000,475459.390000,0.358511,3.574238,10000.000000
CMP0033,节日活动-0320,节日活动,全渠道,23645.000000,5824.000000,0.246310,126316.000000,6275.000000,3540.000000,2250.000000,443367.490000,0.358566,3.509987,80000.000000
CMP0026,拉新活动-0313,拉新活动,企微,23377.000000,5798.000000,0.248022,129542.440000,6260.000000,3620.000000,2241.000000,465957.500000,0.357987,3.596949,30000.000000
CMP0049,拉新活动-0418,拉新活动,外卖平台,23793.000000,5975.000000,0.251124,133173.940000,6287.000000,3561.000000,2245.000000,475107.440000,0.357086,3.567571,10000.000000
CMP0015,新品上市-0316,新品上市,外卖平台,23860.000000,5923.000000,0.248240,124067.090000,6145.000000,3531.000000,2315.000000,485812.770000,0.376729,3.915726,80000.000000
CMP0039,会员日-0422,会员日,企微,23715.000000,5970.000000,0.251739,142591.950000,6277.000000,3653.000000,2264.000000,458468.250000,0.360682,3.215246,5000.000000
CMP0025,拉新活动-0418,拉新活动,企微,24038.000000,5990.000000,0.249189,134860.880000,6181.000000,3533.000000,2279.000000,500388.590000,0.368711,3.710406,80000.000000
CMP0020,拉新活动-0404,拉新活动,外卖平台,23922.000000,5968.000000,0.249477,136344.530000,6168.000000,3516.000000,2260.000000,480548.470000,0.366407,3.524516,300000.000000
