门店ID,门店名称,城市,城市层级,店型,门店类型,平均评分,负评数,投诉数,未回复负评数,平均处理时长
S00025,无锡购物中心0025店,无锡,二线,外卖店,外卖卫星店,4.333333,1.000000,0.000000,0.000000,0.000000
S00036,兰州交通枢纽0036店,兰州,三线,快取店,快取店,3.727273,3.000000,0.000000,1.000000,0.000000
S00050,温州交通枢纽0050店,温州,二线,标准店,交通店,4.250000,2.000000,0.000000,1.000000,0.000000
S00070,南通购物中心0070店,南通,二线,旗舰店,旗舰店,4.348837,3.000000,2.000000,1.000000,0.232558
S00081,嘉兴CBD0081店,嘉兴,二线,校园店,学校店,3.950000,3.000000,0.000000,0.000000,0.000000
S00194,青岛校园0194店,青岛,新一线,快取店,快取店,4.739130,0.000000,1.000000,0.000000,0.000000
S00199,上海社区0199店,上海,一线,标准店,社区店,4.220000,3.000000,0.000000,0.000000,0.000000
S00407,杭州CBD0407店,杭州,新一线,标准店,写字楼店,4.236842,4.000000,4.000000,2.000000,3.184211
S00447,南宁校园0447店,南宁,二线,快取店,快取店,4.285714,1.000000,0.000000,0.000000,0.000000
S00489,厦门交通枢纽0489店,厦门,二线,快取店,快取店,4.425000,3.000000,3.000000,0.000000,4.550000
S00532,南宁购物中心0532店,南宁,二线,标准店,商场店,4.363636,3.000000,2.000000,1.000000,1.545455
S00542,泉州社区0542店,泉州,二线,标准店,社区店,4.366667,2.000000,1.000000,0.000000,1.133333
S00576,北京CBD0576店,北京,一线,外卖店,外卖卫星店,4.532258,0.000000,2.000000,0.000000,2.548387
S00654,广州购物中心0654店,广州,一线,快取店,快取店,3.916667,3.000000,3.000000,1.000000,5.700000
S00691,南宁社区0691店,南宁,二线,标准店,社区店,4.272727,1.000000,0.000000,1.000000,0.000000
S00699,长春写字楼0699店,长春,二线,标准店,写字楼店,4.500000,1.000000,1.000000,0.000000,1.777778
S00731,海口社区0731店,海口,二线,快取店,快取店,4.076923,2.000000,1.000000,0.000000,2.846154
S00774,珠海写字楼0774店,珠海,二线,外卖店,外卖卫星店,4.250000,1.000000,1.000000,0.000000,0.285714
S00785,上海社区0785店,上海,一线,标准店,社区店,4.103448,3.000000,1.000000,1.000000,1.275862
S00787,佛山社区0787店,佛山,新一线,标准店,社区店,4.136364,3.000000,1.000000,1.000000,0.000000
S00853,珠海购物中心0853店,珠海,二线,标准店,商场店,4.450617,3.000000,1.000000,2.000000,1.407407
S00855,温州交通枢纽0855店,温州,二线,快取店,快取店,4.125000,2.000000,0.000000,0.000000,0.000000
S00865,佛山社区0865店,佛山,新一线,快取店,快取店,4.304348,1.000000,0.000000,0.000000,0.000000
S00883,佛山写字楼0883店,佛山,新一线,标准店,写字楼店,4.353535,1.000000,0.000000,1.000000,0.000000
S00924,苏州CBD0924店,苏州,新一线,外卖店,外卖卫星店,4.269231,3.000000,2.000000,2.000000,1.692308
S00950,广州社区0950店,广州,一线,快取店,快取店,4.105263,3.000000,1.000000,0.000000,0.421053
S00957,南昌交通枢纽0957店,南昌,二线,标准店,交通店,4.444444,1.000000,1.000000,0.000000,1.333333
S00977,厦门校园0977店,厦门,二线,旗舰店,旗舰店,4.069444,7.000000,2.000000,2.000000,1.861111
S01017,郑州CBD1017店,郑州,新一线,标准店,写字楼店,4.270115,2.000000,1.000000,1.000000,0.000000
S01021,南通购物中心1021店,南通,二线,标准店,商场店,4.562500,0.000000,1.000000,0.000000,1.187500
S01069,合肥社区1069店,合肥,二线,标准店,社区店,4.714286,0.000000,0.000000,0.000000,0.000000
S01104,嘉兴购物中心1104店,嘉兴,二线,标准店,商场店,4.295455,1.000000,1.000000,0.000000,1.227273
S01119,重庆购物中心1119店,重庆,新一线,外卖店,外卖卫星店,4.394737,1.000000,1.000000,0.000000,0.000000
S01125,北京社区1125店,北京,一线,外卖店,外卖卫星店,4.750000,0.000000,0.000000,0.000000,0.000000
S01156,成都购物中心1156店,成都,新一线,快取店,快取店,4.500000,1.000000,0.000000,0.000000,0.000000
S01198,济南写字楼1198店,济南,二线,标准店,写字楼店,3.600000,4.000000,0.000000,1.000000,0.000000
S00012,海口社区0012店,海口,二线,外卖店,外卖卫星店,4.333333,0.000000,0.000000,0.000000,0.000000
