门店类型,合作状态,月营收,店面贡献利润,店面贡献利润率,门店ID,加盟商ID
写字楼店,正常合作,9558873.550000,1378319.090000,0.145571,82.000000,65.000000
社区店,续约预警,856901.900000,203484.820000,0.237884,12.000000,10.000000
交通店,纠纷处理,366011.280000,-15539.620000,-0.035791,3.000000,3.000000
商场店,正常合作,5222448.960000,243897.340000,0.050458,50.000000,40.000000
交通店,关注名单,223044.130000,-12348.510000,-0.041280,2.000000,2.000000
外卖卫星店,正常合作,5025765.430000,1075503.520000,0.215629,75.000000,67.000000
外卖卫星店,纠纷处理,432985.600000,91765.690000,0.215942,6.000000,4.000000
商场店,续约预警,1217004.570000,52318.960000,0.047141,12.000000,11.000000
夜市店,续约预警,77310.900000,20581.330000,0.252903,1.000000,1.000000
交通店,续约预警,258135.500000,-19099.280000,-0.087215,2.000000,2.000000
写字楼店,纠纷处理,449473.830000,54197.240000,0.124055,4.000000,4.000000
写字楼店,关注名单,274540.100000,41718.930000,0.152235,2.000000,2.000000
快取店,关注名单,621141.630000,182574.590000,0.298047,7.000000,4.000000
外卖卫星店,续约预警,826903.720000,173761.050000,0.210923,13.000000,9.000000
学校店,续约预警,470481.900000,107815.460000,0.233471,5.000000,5.000000
商场店,关注名单,181312.180000,6042.740000,0.038316,2.000000,1.000000
学校店,纠纷处理,254474.940000,54210.500000,0.209593,4.000000,4.000000
夜市店,正常合作,192969.500000,45890.450000,0.230352,2.000000,2.000000
社区店,关注名单,184242.880000,44964.400000,0.245523,3.000000,3.000000
写字楼店,续约预警,1386782.810000,189301.190000,0.143331,11.000000,10.000000
学校店,正常合作,2254029.380000,490928.660000,0.217614,27.000000,25.000000
商场店,纠纷处理,75603.150000,1432.470000,0.010148,1.000000,1.000000
夜市店,关注名单,99893.160000,22331.360000,0.222409,1.000000,1.000000
社区店,纠纷处理,136351.820000,37061.510000,0.269004,2.000000,2.000000
快取店,纠纷处理,296479.520000,85580.070000,0.287874,4.000000,4.000000
快取店,续约预警,1616087.240000,499690.200000,0.308085,25.000000,14.000000
社区店,正常合作,3841952.580000,930620.930000,0.243366,52.000000,46.000000
外卖卫星店,关注名单,514760.820000,111597.350000,0.218770,8.000000,5.000000
快取店,正常合作,11804214.330000,3608567.470000,0.306484,134.000000,83.000000
交通店,正常合作,1050983.120000,-23798.380000,-0.017828,11.000000,9.000000
学校店,关注名单,244189.430000,55786.790000,0.224336,3.000000,2.000000
