门店类型,本店位置标签,门店ID,月营收,店面贡献利润率
快取店,尾部 Bottom 25%,49.000000,12380.115529,0.310493
商场店,中位 ±10%,58.000000,28763.700391,0.046512
学校店,中下 P25-P50,20.000000,16066.434412,0.221084
社区店,中上 P50-P75,48.000000,20436.554286,0.241823
外卖卫星店,中位 ±10%,80.000000,17150.826241,0.216617
学校店,中上 P50-P75,23.000000,25613.230233,0.222811
快取店,中上 P50-P75,98.000000,27245.832600,0.307707
快取店,中下 P25-P50,85.000000,17655.329865,0.304196
学校店,顶部 Top 25%,4.000000,37278.660000,0.226524
外卖卫星店,尾部 Bottom 25%,27.000000,10571.603265,0.219538
快取店,顶部 Top 25%,11.000000,25565.557273,0.291465
商场店,顶部 Top 25%,1.000000,27764.020000,0.084746
写字楼店,中位 ±10%,93.000000,32533.273581,0.143804
社区店,中下 P25-P50,42.000000,14484.640169,0.248158
写字楼店,中上 P50-P75,64.000000,30723.942683,0.144125
交通店,尾部 Bottom 25%,1.000000,16108.075000,-0.001685
夜市店,中位 ±10%,4.000000,24388.205385,0.238992
社区店,顶部 Top 25%,3.000000,14471.393333,0.224885
学校店,尾部 Bottom 25%,7.000000,10440.890000,0.207572
写字楼店,顶部 Top 25%,2.000000,18801.230000,0.144195
外卖卫星店,中下 P25-P50,51.000000,13503.826538,0.220966
交通店,中下 P25-P50,5.000000,17954.428000,-0.030457
外卖卫星店,顶部 Top 25%,13.000000,17896.609231,0.198485
交通店,中上 P50-P75,12.000000,31611.860714,-0.060077
写字楼店,尾部 Bottom 25%,7.000000,13138.055000,0.131975
社区店,尾部 Bottom 25%,8.000000,7724.781818,0.215081
交通店,中位 ±10%,18.000000,26149.405686,-0.024415
商场店,尾部 Bottom 25%,6.000000,3290.735000,0.092482
商场店,中下 P25-P50,37.000000,19914.141458,0.051562
写字楼店,中下 P25-P50,50.000000,24721.911746,0.150184
外卖卫星店,中上 P50-P75,61.000000,23019.518929,0.209728
学校店,中位 ±10%,31.000000,22407.193898,0.217764
夜市店,中下 P25-P50,2.000000,17708.963333,0.212390
快取店,中位 ±10%,122.000000,23094.562757,0.304331
社区店,中位 ±10%,60.000000,21015.401855,0.244831
商场店,中上 P50-P75,41.000000,30473.151364,0.046692
