城市层级,门店类型,门店ID,月营收,店面贡献利润率,城市同店型_利润率_中位数
二线,夜市店,1.000000,19327.725000,0.252903,0.252903
一线,写字楼店,17.000000,41363.851148,0.122294,0.120220
新一线,社区店,22.000000,20223.115814,0.248131,0.251444
新一线,商场店,31.000000,28896.867350,0.057514,0.055045
三线,写字楼店,8.000000,19135.932187,0.152255,0.152772
三线,快取店,13.000000,11182.220392,0.308122,0.302470
三线,交通店,1.000000,15133.380000,0.017468,0.017468
二线,商场店,23.000000,21519.112135,0.055234,0.060010
一线,快取店,35.000000,29127.488000,0.295057,0.293838
新一线,交通店,6.000000,26447.428750,-0.001640,-0.001924
三线,外卖卫星店,10.000000,10624.233750,0.220022,0.207235
一线,外卖卫星店,20.000000,24624.492222,0.200535,0.201154
二线,外卖卫星店,32.000000,13484.581349,0.215035,0.213996
新一线,夜市店,3.000000,24405.221667,0.227704,0.228628
一线,社区店,12.000000,26514.650870,0.220128,0.212111
新一线,学校店,16.000000,21340.960345,0.223789,0.221422
一线,学校店,10.000000,28257.412250,0.207817,0.200977
新一线,外卖卫星店,40.000000,18731.777613,0.221108,0.219951
二线,交通店,5.000000,19944.817000,-0.013544,-0.006028
二线,学校店,13.000000,16444.297308,0.223754,0.216738
新一线,快取店,69.000000,23286.767154,0.310065,0.312322
一线,交通店,6.000000,33500.245000,-0.083397,-0.094137
三线,社区店,3.000000,11012.758333,0.263742,0.268206
一线,商场店,9.000000,36383.353714,0.000251,-0.000307
二线,社区店,32.000000,15678.326667,0.246654,0.248830
新一线,写字楼店,39.000000,33513.605390,0.147726,0.145332
三线,商场店,2.000000,15852.127500,0.062005,0.046195
二线,快取店,53.000000,17648.057415,0.307087,0.307602
二线,写字楼店,35.000000,24620.659197,0.149439,0.146969
