门店类型,加盟商类型,加盟商ID,月营收,店面贡献利润率
夜市店,个体投资人,3.000000,268954.160000,0.238155
学校店,餐饮集团子公司,2.000000,192822.650000,0.216394
快取店,区域代理,30.000000,4249091.660000,0.303199
学校店,区域代理,14.000000,1119034.190000,0.215735
外卖卫星店,个体投资人,54.000000,4309004.640000,0.216161
交通店,投资公司,2.000000,189315.610000,-0.009982
学校店,个体投资人,19.000000,1846049.800000,0.222383
快取店,餐饮集团子公司,9.000000,1091000.750000,0.309332
社区店,投资公司,5.000000,596825.420000,0.237714
社区店,餐饮集团子公司,6.000000,551067.290000,0.246636
快取店,个体投资人,58.000000,7615966.240000,0.306119
写字楼店,区域代理,22.000000,2899814.080000,0.140042
夜市店,投资公司,1.000000,101219.400000,0.221551
写字楼店,个体投资人,48.000000,7351619.820000,0.145642
写字楼店,餐饮集团子公司,6.000000,801028.750000,0.149414
商场店,投资公司,4.000000,479443.570000,0.015407
外卖卫星店,区域代理,20.000000,1599065.900000,0.215791
快取店,投资公司,8.000000,1381864.070000,0.309958
社区店,个体投资人,36.000000,2861984.870000,0.242208
社区店,区域代理,14.000000,1009571.600000,0.247551
写字楼店,投资公司,5.000000,617207.640000,0.146988
交通店,餐饮集团子公司,2.000000,187748.560000,-0.018344
交通店,区域代理,4.000000,444746.690000,-0.042830
商场店,区域代理,17.000000,1998734.330000,0.048705
外卖卫星店,餐饮集团子公司,6.000000,576668.570000,0.202368
商场店,餐饮集团子公司,2.000000,291386.230000,0.050635
学校店,投资公司,1.000000,65269.010000,0.216638
交通店,个体投资人,8.000000,1076363.170000,-0.033251
商场店,个体投资人,30.000000,3926804.730000,0.052373
外卖卫星店,投资公司,5.000000,315676.460000,0.218585
