城市,月营收,店面贡献利润,店面贡献利润率,堂食占比,门店ID
东莞,3062124.810000,554315.530000,0.205183,0.561608,30.000000
佛山,3490829.960000,516921.380000,0.172863,0.597722,35.000000
常州,1473570.060000,279324.140000,0.202315,0.632949,19.000000
温州,1375753.160000,112244.180000,0.135427,0.615452,16.000000
乌鲁木齐,701096.260000,164859.390000,0.247144,0.528059,13.000000
南通,1374476.920000,172473.130000,0.160913,0.575211,18.000000
重庆,3547079.210000,577938.430000,0.209669,0.601754,33.000000
北京,8508615.030000,818342.490000,0.146325,0.605018,63.000000
泉州,2488779.540000,331005.250000,0.178918,0.563747,30.000000
厦门,1290658.500000,194372.910000,0.189003,0.545083,17.000000
南宁,1575007.340000,294744.420000,0.222204,0.589351,21.000000
济南,1334111.100000,276363.390000,0.221647,0.669294,19.000000
福州,1393086.990000,294966.050000,0.224106,0.665940,20.000000
昆明,1256158.610000,192286.840000,0.199012,0.625080,16.000000
广州,8003858.440000,1318315.650000,0.183156,0.556193,66.000000
太原,985216.520000,143723.550000,0.183128,0.593835,12.000000
无锡,1337658.110000,247252.980000,0.201229,0.521804,19.000000
绵阳,375640.960000,74613.380000,0.225169,0.618955,8.000000
苏州,3191001.050000,500150.750000,0.172595,0.569342,33.000000
呼和浩特,443412.030000,90786.930000,0.216942,0.474758,9.000000
上海,6304247.290000,885661.460000,0.189989,0.608104,50.000000
长沙,2805399.430000,473380.520000,0.197734,0.630675,29.000000
深圳,5299152.010000,517613.880000,0.130203,0.561827,42.000000
成都,2572753.560000,278150.530000,0.145463,0.578268,23.000000
海口,1940910.550000,256026.890000,0.188167,0.602268,24.000000
贵阳,1663440.720000,285924.100000,0.200035,0.585979,24.000000
南京,3133737.600000,405343.770000,0.174190,0.610632,27.000000
大连,1641676.460000,234285.540000,0.183923,0.568313,20.000000
武汉,4165835.650000,698737.000000,0.201742,0.572391,38.000000
天津,2908743.290000,442978.590000,0.194688,0.571440,28.000000
中山,1245983.960000,252810.390000,0.219714,0.616686,18.000000
珠海,1789726.540000,246659.570000,0.164981,0.652700,21.000000
南昌,1463807.720000,290727.980000,0.203055,0.602912,19.000000
石家庄,1172572.360000,132169.110000,0.131358,0.641379,13.000000
沈阳,4802675.640000,689720.880000,0.177457,0.599481,45.000000
长春,1581797.860000,330314.000000,0.218331,0.572110,22.000000
嘉兴,1172324.750000,249566.930000,0.222578,0.528601,18.000000
唐山,322271.660000,97980.860000,0.303390,0.613223,6.000000
三亚,712723.950000,142222.330000,0.198548,0.510278,10.000000
西安,2625171.200000,532038.350000,0.208528,0.528576,27.000000
哈尔滨,1175396.660000,188481.160000,0.184224,0.625328,16.000000
郑州,2915071.490000,402957.350000,0.160335,0.557082,30.000000
宁波,3401990.590000,661688.330000,0.206608,0.618146,34.000000
宜昌,378770.360000,68912.550000,0.194545,0.444301,7.000000
洛阳,462223.530000,92890.780000,0.215683,0.600550,8.000000
青岛,3593483.070000,691468.900000,0.218455,0.582150,36.000000
杭州,3753129.220000,456768.470000,0.165687,0.577342,30.000000
烟台,580063.450000,118111.500000,0.219653,0.606677,10.000000
合肥,1362849.880000,280335.880000,0.221997,0.573897,19.000000
兰州,547148.980000,54238.400000,0.165907,0.610329,9.000000
