城市层级,月份,月营收,店面贡献利润
二线,2026-04,10939297.940000,1804595.650000
新一线,2026-05,11409423.980000,1812138.320000
一线,2026-02,2976925.770000,359678.470000
三线,2026-03,1300424.090000,255224.300000
二线,2026-03,10797472.090000,1761264.980000
一线,2026-03,9263817.930000,1152314.100000
二线,2026-05,7572205.780000,1274817.760000
二线,2026-02,3498712.450000,587602.330000
新一线,2026-03,16623618.280000,2598392.490000
三线,2026-02,415077.840000,84539.480000
三线,2026-04,1267840.630000,259106.940000
三线,2026-05,827284.670000,163523.070000
一线,2026-04,9317177.940000,1200777.200000
一线,2026-05,6557951.130000,827163.710000
新一线,2026-04,16528230.570000,2612605.290000
新一线,2026-02,5407752.940000,859422.680000
