业务日期,GMV,GMV,GMV
2026-04-21,20.21万,12.36万,15.53万
2026-04-22,19.48万,12.25万,15.84万
2026-04-23,21.72万,11.80万,16.90万
2026-04-24,22.00万,13.53万,16.48万
2026-04-25,23.09万,14.08万,19.58万
2026-04-26,26.41万,13.83万,20.07万
2026-04-27,20.74万,11.99万,15.55万
2026-04-28,21.07万,11.31万,17.44万
2026-04-29,19.72万,11.84万,16.48万
2026-04-30,21.00万,11.86万,18.43万
2026-05-01,20.29万,11.97万,17.37万
2026-05-02,24.47万,14.80万,17.54万
2026-05-03,24.67万,14.76万,18.25万
2026-05-04,20.90万,13.34万,17.06万
2026-05-05,28.27万,14.80万,20.89万
2026-05-06,20.07万,12.85万,17.44万
2026-05-07,21.90万,13.93万,15.93万
2026-05-08,21.64万,12.48万,18.66万
2026-05-09,25.24万,13.40万,18.09万
2026-05-10,26.01万,14.47万,20.15万
2026-05-11,23.52万,12.88万,16.20万
2026-05-12,20.25万,12.42万,16.40万
2026-05-13,22.73万,12.70万,15.02万
2026-05-14,21.17万,13.14万,18.26万
2026-05-15,19.94万,12.24万,15.77万
2026-05-16,25.93万,15.17万,22.00万
2026-05-17,23.18万,15.07万,19.39万
2026-05-18,22.47万,14.08万,17.67万
2026-05-19,22.24万,11.94万,17.62万
2026-05-20,27.96万,16.54万,20.88万
