门店ID,GMV
S00504,4.64万
S01150,4.02万
S00497,3.92万
S01117,3.84万
S00472,3.80万
S00100,3.61万
S00723,3.57万
S00994,3.54万
S00137,3.53万
S00688,3.50万
S00646,3.47万
S00252,3.47万
S00895,3.45万
S00384,3.42万
S00038,3.41万
S00576,3.41万
S00597,3.34万
S00109,3.30万
S00566,3.29万
S00844,3.29万
S00168,3.27万
S00058,3.21万
S00591,3.21万
S00562,3.17万
S00980,3.16万
S00505,3.15万
S00069,3.13万
S00409,3.13万
S00771,3.12万
S00756,3.11万
S00742,3.09万
S00843,3.07万
S00355,3.05万
S00087,3.04万
S00055,2.98万
S00638,2.94万
S00523,2.91万
S00814,2.91万
S00045,2.89万
S00240,2.88万
S01103,2.82万
S00641,2.80万
S00563,2.79万
S00588,2.79万
S00952,2.79万
S00840,2.78万
S00918,2.78万
S00806,2.78万
S00300,2.77万
S00105,2.77万
S00625,2.75万
S00108,2.74万
S00554,2.73万
S00147,2.72万
S01187,2.72万
S00636,2.72万
S00784,2.70万
S01006,2.67万
S00373,2.66万
S00463,2.65万
S00197,2.64万
S00693,2.63万
S00097,2.63万
S00836,2.61万
S00683,2.61万
S00388,2.60万
S00313,2.59万
S00314,2.57万
S01010,2.57万
S00529,2.57万
S00807,2.57万
S00374,2.56万
S00185,2.56万
S00285,2.55万
S00089,2.55万
S00006,2.54万
S00714,2.54万
S00547,2.53万
S00402,2.52万
S00219,2.52万
S00653,2.50万
S01052,2.50万
S01154,2.50万
S00226,2.49万
S00816,2.49万
S00719,2.47万
S01119,2.46万
S00630,2.46万
S00550,2.46万
S00564,2.45万
S00541,2.45万
S00736,2.44万
S00295,2.42万
S01109,2.41万
S01086,2.40万
S00676,2.40万
S00479,2.37万
S00715,2.36万
S01097,2.34万
S01193,2.34万
S00470,2.33万
S01088,2.33万
S00115,2.33万
S01182,2.33万
S00334,2.33万
S00372,2.32万
S00708,2.32万
S00417,2.32万
S01120,2.30万
S00924,2.30万
S00339,2.30万
S00826,2.29万
S00717,2.29万
S01037,2.29万
S00713,2.28万
S00733,2.28万
S00368,2.26万
S00782,2.25万
S00063,2.23万
S00455,2.22万
S00928,2.22万
S00283,2.22万
S00926,2.21万
S00488,2.19万
S00567,2.19万
S00672,2.19万
S00655,2.18万
S00668,2.18万
S00931,2.16万
S00025,2.16万
S00449,2.14万
S00473,2.14万
S00577,2.14万
S00041,2.12万
S00600,2.12万
S00070,2.11万
S00003,2.11万
S00377,2.11万
S00102,2.11万
S00778,2.10万
S00812,2.10万
S00103,2.10万
S00754,2.10万
S00217,2.10万
S00908,2.09万
S00645,2.09万
S00620,2.08万
S01165,2.08万
S00002,2.08万
S00546,2.07万
S00298,2.07万
S01058,2.06万
S00507,2.06万
S00561,2.06万
S00988,2.06万
S00538,2.05万
S00446,2.05万
S01017,2.05万
S00325,2.05万
S00526,2.04万
S00067,2.04万
S00181,2.04万
S00705,2.04万
S00774,2.04万
S00015,2.03万
S01188,2.02万
S00937,2.02万
S00922,2.01万
S00116,2.01万
S00395,2.01万
S00467,2.00万
S00170,2.00万
S01064,1.99万
S00397,1.99万
S00673,1.99万
S00398,1.99万
S00857,1.98万
S00051,1.98万
S00769,1.97万
S00548,1.96万
S00343,1.96万
S00250,1.96万
S00159,1.96万
S00614,1.95万
S00598,1.95万
S00309,1.94万
S00086,1.94万
S00803,1.93万
S00617,1.93万
S00195,1.92万
S00030,1.92万
S00921,1.92万
S00145,1.91万
S00631,1.91万
S01127,1.91万
S00979,1.91万
S00241,1.91万
S00166,1.91万
S00648,1.90万
S00269,1.90万
